"proj_week","proj_player","proj_pos","proj_tm","proj_opp","proj_afpa","proj_afpa_rk","proj_ffpts","proj_comp","proj_pass_att","proj_pass_yds","proj_pass_td","proj_int","proj_rush_att","proj_rush_yds","proj_rush_td","proj_rec","proj_rec_yds","proj_rec_td","proj_field","prev_wk_field","prev_wk_opp","prev_wk_g#","prev_wk_rush_att","prev_wk_rush_yds","prev_wk_rush_yds_per_att","prev_wk_rush_td","prev_wk_rec_tgt","prev_wk_rec_rec","prev_wk_rec_yds","prev_wk_rec_yds_per_rec","prev_wk_rec_td","prev_wk_rec_ctch_per","prev_wk_rec_yds_per_tgt","prev_wk_fantasy_fantpt","prev_wk_fantasy_ppr","prev_wk_fantasy_dkpt","prev_wk_fantasy_fdpt","ytd_rush_g","ytd_rush_att","ytd_rush_yds","ytd_rush_td","ytd_rush_1d","ytd_rush_yds_per_att","ytd_rush_yds_per_gm","ytd_rush_fmb","ytd_rec_tm","ytd_rec_pos","ytd_rec_g","ytd_rec_target","ytd_rec_rec","ytd_rec_ctch_per","ytd_rec_yds","ytd_rec_yds_per_rec","ytd_rec_td","ytd_rec_1d","ytd_rec_yds_per_target","ytd_rec_rec_per_gm","ytd_rec_yds_per_gm","ytd_rec_fmb","rushing_twenty_att","rushing_twenty_yds","rushing_twenty_td","rushing_twenty_per_rush","rushing_ten_att","rushing_ten_yds","rushing_ten_td","rushing_ten_per_rush","rushing_five_att","rushing_five_yds","rushing_five_td","rushing_five_per_rush","receiving_twenty_tgt","receiving_twenty_rec","receiving_twenty_yds","receiving_twenty_td","receiving_twenty_per_tgt","receiving_ten_tgt","receiving_ten_rec","receiving_ten_yds","receiving_ten_td","receiving_ten_per_tgt","def_tot_g","def_tot_pf","def_tot_yds","def_tot_yds_per_play","def_tot_to","def_tot_first_dn","def_penalties_pen","def_tot_sc_per","def_tot_to_per","def_tot_exp","def_third_d_per","def_fourth_d_per","def_red_zone_att","def_red_zone_td","def_red_zone_pct","def_rush_td","def_rush_yds_per_att","def_rush_yds_per_gm","def_rush_exp","def_pass_comp_per","def_pass_yds","def_pass_td","def_pass_td_per","def_pass_int","def_pass_defended","def_pass_int_per","def_pass_yds_per_att","def_pass_ayds_per_att","def_pass_yds_per_catch","def_pass_yds_per_gm","def_pass_qb_rating_allowed","def_pass_sacks","def_pass_net_yds_per_att","def_pass_adj_net_yds_per_att","def_pass_exp","def_adv_dadot","def_adv_air","def_adv_yac","def_adv_bltz","def_adv_bltz_per","def_adv_hrry","def_adv_hrry_per","def_adv_qbkd","def_adv_qbkd_per","def_adv_sk","def_adv_prss","def_adv_prss_per","def_adv_mtkl","def_num_dr","def_plays","def_sc_per","def_to_per","def_avg_drive_plays","def_avg_drive_yds","def_avg_drive_start","def_avg_drive_time","def_avg_drive_pts","pts_vs_g","pts_vs_rush_att","pts_vs_rush_yds","pts_vs_rush_td","pts_vs_rec_tgt","pts_vs_rec_rec","pts_vs_rec_yds","pts_vs_rec_td","pts_vs_fantasy_per_game_fdpt","total_touches","high_value_touches","high_value_touches_per"
14,"Kenyan Drake","RB","ARI","NYG",16.9,16,12.6,0,0,0,0,0,15.5,60.2,0.6,2.3,17.6,0,2,1,"LAR",12,10,49,4.9,1,3,2,9,4.5,0,66.7,3,11.8,13.8,13.8,12.8,11,16.18,69.82,0.73,46,4.3,69.8,1,"ARI","RB",11,2.09,1.55,73.9,8.45,5.5,0,3,4,1.5,8.5,1,42,116,7,59.2,27,56,7,67.5,15,15,7,65.2,2,1,3,0,4.9,0,0,0,0,0,12,265,4068,5.4,20,256,62,39.8,14.6,-31.93,42.1,64.3,"39",21,53.8,10,4,96.7,5.4,67.1,2908,17,3.9,10,66,2.3,7.3,7,10.9,242.3,91.8,32,6.2,6,-51.06,7.6,1850,1456,134,"27.9%",39,"8.1%",50,"11.5%",32,121,"25.2%",69,123,784,39.8,14.6,6.4,33.1,-27.3,296,2.07,"12","228","966","7","101","74","622","4","21.7",18.27,4.54,0.25
14,"Wayne Gallman","RB","NYG","ARI",18.8,18,12.5,0,0,0,0,0,16.5,69.1,0.6,1.6,10.3,0,1,2,"SEA",12,16,135,8.44,0,0,0,0,NA,0,0,NA,13.5,13.5,16.5,13.5,11,9.91,45.82,0.55,28,4.6,45.8,0,"NYG","RB",11,1.91,1.45,76.2,6.55,4.5,0,3,3.4,1.5,6.5,0,17,34,6,40.5,11,21,6,52.4,10,13,6,58.8,4,4,1,0,7.8,0,0,0,0,0,12,296,4319,5.4,15,284,84,42.1,10.3,-88,42.6,60,"44",23,52.3,11,4.5,123,-24.37,66.3,2843,20,4.5,10,38,2.3,6.9,6.8,10.4,236.9,91.8,29,6,5.9,-74.41,7.2,1429,1652,198,"39.8%",54,"10.8%",40,"9.0%",29,123,"24.7%",87,126,826,42.1,10.3,6.6,34.2,-29.6,363,2.25,"12","263","1136","9","69","49","447","3","20.9",11.82,2.91,0.25
14,"JK Dobbins","RB","BAL","CLE",17.6,17,11.6,0,0,0,0,0,16.5,64.1,0.4,1.9,13.6,0.1,2,1,"DAL",12,11,71,6.45,1,0,0,0,NA,0,0,NA,13.1,13.1,13.1,13.1,11,7.55,41,0.36,23,5.4,41,0,"BAL","",11,2,1.55,77.3,9.36,6.1,0,3,4.7,1.5,9.4,0,14,42,4,20.9,6,13,4,15.4,4,7,3,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,321,4335,5.5,20,277,65,42.7,16.1,-93.5,43.2,86.4,"49",30,61.2,11,4.1,104.3,-11.41,65.3,3083,25,5.5,10,58,2.2,7.2,7.3,11.1,256.9,95.8,30,6.4,6.5,-89.98,8.3,1906,1481,112,"22.4%",42,"8.4%",18,"4.0%",30,90,"18.0%",67,124,809,42.7,16.1,6.5,34.8,-30.2,290,2.48,"12","241","984","9","68","55","432","1","18.6",9.55,2.55,0.27
14,"Clyde EdwardsHelaire","RB","KAN","MIA",16.7,13,11.4,0,0,0,0,0,14.4,59.3,0.4,2.3,17.8,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,13.73,62.91,0.36,35,4.6,62.9,0,"KAN","RB",11,4.18,2.73,65.2,21.27,7.8,0.09,9,5.1,2.7,21.3,0,25,81,3,51,13,6,1,46.4,8,0,1,57.1,6,3,20,1,10,3,2,9,1,8.1,12,212,4262,5.6,21,249,68,26.3,15.8,-2.75,32.2,45.5,"36",21,58.3,13,4.6,122.4,-28.77,62.4,2793,14,3.4,13,63,3.2,7.4,6.7,11.9,232.8,83.1,31,6.3,5.6,23.99,8.8,1590,1485,189,"41.1%",40,"8.7%",41,"10.0%",31,112,"24.3%",80,133,774,26.3,15.8,5.8,32,-25.5,280,1.6,"12","263","1161","8","66","54","404","1","19.6",17.91,5.36,0.3
14,"DAndre Swift","RB","DET","GNB",22.1,28,11.4,0,0,0,0,0,8.5,34,0.3,3.8,31.6,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7.78,36.78,0.44,19,4.7,36.8,1,"DET","RB",9,4.33,3.44,79.5,30.56,8.9,0.22,11,7.1,3.4,30.6,1,10,22,4,20.8,9,24,4,32.1,5,8,3,35.7,7,5,37,2,12.7,2,2,12,1,8,12,299,4071,5.6,13,249,64,40.2,10.7,-78.14,38.7,53.3,"36",24,66.7,11,4.6,114.6,-25.52,64.6,2696,21,5.3,8,48,2,7.4,7.5,11.4,224.7,95.9,31,6.4,6.5,-53.67,7.9,1637,1411,111,"24.8%",41,"9.2%",26,"6.6%",31,98,"21.9%",89,122,741,40.2,10.7,6.1,33.4,-28.6,281,2.25,"12","257","1180","11","84","68","601","5","26.0",12.11,5.33,0.44
14,"James Conner","RB","PIT","BUF",19.1,20,11.4,0,0,0,0,0,17.7,73.7,0.3,2,13.5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14.5,64.5,0.5,36,4.4,64.5,1,"PIT","RB",10,3,2.5,83.3,14.5,5.8,0,7,4.8,2.5,14.5,1,26,67,5,45.6,13,19,4,36.1,8,11,4,36.4,5,3,17,0,8.8,1,0,0,0,4,12,306,4506,5.8,19,280,70,45.5,15.7,-114.48,44,58.8,"49",30,61.2,16,4.7,126,-25.34,66.7,2994,19,4.5,10,50,2.4,7.4,7.3,11.2,249.5,93.8,30,6.6,6.4,-95.18,7,1812,1346,178,"37.2%",35,"7.3%",38,"9.0%",30,103,"21.5%",97,121,800,45.5,15.7,6.6,37.1,-27.6,293,2.52,"12","271","1230","10","77","56","450","1","21.7",17.5,4.3,0.25
14,"Melvin Gordon","RB","DEN","CAR",14.4,7,11.4,0,0,0,0,0,11.9,48.5,0.4,2.9,18.1,0.2,2,2,"KAN",12,15,131,8.73,0,2,1,11,11,0,50,5.5,14.2,15.2,18.2,14.7,11,13.55,62.27,0.55,29,4.6,62.3,4,"DEN","RB",11,2.82,1.91,67.7,8.91,4.7,0.09,4,3.2,1.9,8.9,4,16,36,4,50,10,25,4,55.6,5,6,4,50,3,1,16,1,7.3,2,0,0,0,9.5,12,300,4372,5.7,17,277,69,48.7,13.7,-104.85,51.3,66.7,"45",27,60,14,4.6,115.1,-4.19,68.7,2991,19,4.2,5,45,1.1,6.9,7.3,10.1,249.3,97.5,18,6.4,6.7,-106.9,7.4,1974,1451,109,"22.6%",44,"9.1%",31,"6.9%",18,93,"19.3%",92,117,796,48.7,13.7,6.8,37.1,-30.4,360,2.59,"12","257","1200","10","90","72","487","2","22.6",16.37,3.73,0.23
14,"DeAndre Washington","RB","MIA","KAN",20.3,22,11.2,0,0,0,0,0,13.5,49.1,0.6,2.1,18.9,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,18,0,NA,4,11,0,NA,1,3,0,NA,1,1,2,0,1.7,0,0,0,0,0,12,254,4298,5.6,19,259,73,36.6,15.4,-66.87,42,66.7,"33",25,75.8,10,4.8,132.4,-41.22,63,2709,19,4.7,14,42,3.4,6.9,6.3,11,225.8,84.6,20,6.3,5.7,-38.05,8.4,1469,1499,171,"37.7%",47,"10.4%",43,"10.5%",20,110,"24.3%",92,123,784,36.6,15.4,6.4,34.8,-25.3,296,2.04,"12","276","1281","6","78","60","520","2","21.2",NA,NA,NA
14,"Giovani Bernard","RB","CIN","DAL",23,29,10.8,0,0,0,0,0,13.3,42.5,0.4,3.2,18.8,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6.42,21.08,0.17,16,3.3,21.1,0,"CIN","RB",12,3.83,3,78.3,21.67,7.2,0.17,12,5.7,3,21.7,0,13,45,2,30.2,9,19,1,34.6,4,6,1,28.6,7,5,31,2,12.7,4,3,13,2,15.4,12,393,4603,5.9,11,267,66,48.1,8.3,-135.55,49.4,50,"44",28,63.6,17,5.2,167.8,-68.83,64.1,2589,27,7.3,5,29,1.4,7.4,8.2,11.5,215.8,105,22,6.6,7.4,-77.07,8.4,1517,1209,104,"25.2%",45,"10.9%",31,"8.4%",22,98,"23.7%",86,133,800,48.1,8.3,6,34.5,-32.7,291,2.77,"12","322","1638","13","56","42","240","0","23.7",10.25,4.58,0.45
14,"Cam Akers","RB","LAR","NWE",20.1,21,10.7,0,0,0,0,0,16.6,66.8,0.5,1.2,7.9,0,1,2,"ARI",12,21,72,3.43,1,1,1,22,22,0,100,22,15.4,16.4,16.4,15.9,11,9.91,48,0.18,21,4.8,48,0,"LAR","RB",11,0.64,0.55,85.7,6.55,12,0.09,3,10.3,0.5,6.5,0,23,67,2,28.7,17,45,2,30.9,6,2,1,24,1,1,4,1,2.2,1,1,4,1,5.3,13,279,4453,5.7,19,261,69,39.4,15,-66.3,40.1,36.4,"38",24,63.2,12,4.4,124,-15.65,66,2841,17,4.3,15,46,3.8,7.5,6.7,11.4,218.5,87,19,6.9,6.1,-51.12,8.5,1499,1404,107,"24.0%",68,"15.2%",35,"8.9%",19,122,"27.4%",70,127,804,39.4,15,6.3,34.9,-25.2,362,2.09,"13","298","1343","9","76","59","407","1","20.2",10.55,2.19,0.21
