"proj_week","proj_player","proj_pos","proj_tm","proj_opp","proj_afpa","proj_afpa_rk","proj_ffpts","proj_comp","proj_pass_att","proj_pass_yds","proj_pass_td","proj_int","proj_rush_att","proj_rush_yds","proj_rush_td","proj_rec","proj_rec_yds","proj_rec_td","proj_field","prev_wk_field","prev_wk_opp","prev_wk_g#","prev_wk_rec_tgt","prev_wk_rec_rec","prev_wk_rec_yds","prev_wk_rec_yds_per_rec","prev_wk_rec_td","prev_wk_rec_ctch_per","prev_wk_rec_yds_per_tgt","prev_wk_fantasy_fantpt","prev_wk_fantasy_ppr","prev_wk_fantasy_dkpt","prev_wk_fantasy_fdpt","ytd_rec_g","ytd_rec_target","ytd_rec_rec","ytd_rec_ctch_per","ytd_rec_yds","ytd_rec_yds_per_rec","ytd_rec_td","ytd_rec_1d","ytd_rec_yds_per_target","ytd_rec_rec_per_gm","ytd_rec_yds_per_gm","ytd_rec_fmb","receiving_twenty_tgt","receiving_twenty_rec","receiving_twenty_yds","receiving_twenty_td","receiving_twenty_per_tgt","receiving_ten_tgt","receiving_ten_rec","receiving_ten_yds","receiving_ten_td","receiving_ten_per_tgt","def_tot_g","def_tot_pf","def_tot_yds","def_tot_yds_per_play","def_tot_to","def_tot_first_dn","def_penalties_pen","def_tot_sc_per","def_tot_to_per","def_tot_exp","def_third_d_per","def_fourth_d_per","def_red_zone_att","def_red_zone_td","def_red_zone_pct","def_rush_td","def_rush_yds_per_att","def_rush_yds_per_gm","def_rush_exp","def_pass_comp_per","def_pass_yds","def_pass_td","def_pass_td_per","def_pass_int","def_pass_defended","def_pass_int_per","def_pass_yds_per_att","def_pass_ayds_per_att","def_pass_yds_per_catch","def_pass_yds_per_gm","def_pass_qb_rating_allowed","def_pass_sacks","def_pass_net_yds_per_att","def_pass_adj_net_yds_per_att","def_pass_exp","def_adv_dadot","def_adv_air","def_adv_yac","def_adv_bltz","def_adv_bltz_per","def_adv_hrry","def_adv_hrry_per","def_adv_qbkd","def_adv_qbkd_per","def_adv_sk","def_adv_prss","def_adv_prss_per","def_adv_mtkl","def_num_dr","def_plays","def_sc_per","def_to_per","def_avg_drive_plays","def_avg_drive_yds","def_avg_drive_start","def_avg_drive_time","def_avg_drive_pts","pts_vs_g","pts_vs_rec_tgt","pts_vs_rec_rec","pts_vs_rec_yds","pts_vs_rec_td","pts_vs_fantasy_per_game_fdpt","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
12,"Gunner Olszewski","WR","NWE","ARI",25.9,24,2,0,0,0,0,0,0,0,0,0.8,14.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.29,0.29,100,1.43,5,0,1,5,0.3,1.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,238,3677,5.5,12,238,72,41.5,10.4,-73.76,41,63.6,"35",18,51.4,6,4.6,124.7,-22.2,65.5,2430,19,5,8,33,2.1,6.9,7,10.6,243,93.6,25,6,6.1,-62.06,7.6,1296,1350,173,"40.3%",44,"10.3%",33,"8.8%",25,102,"23.8%",79,106,692,41.5,10.4,6.5,34.6,-28.2,361,2.19,"10","224","154","1765","13","33.5",NA,NA,NA,NA,NA,NA,NA
12,"Kalif Raymond","WR","TEN","IND",21.6,9,1.9,0,0,0,0,0,0,0,0,1,14.6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.2,0.9,75,18.7,20.8,0,7,15.6,0.9,18.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,208,2981,5,17,189,54,32.7,15.4,-10.9,40.8,50,"29",19,65.5,8,3.5,89.2,18.02,63.3,2089,14,4.3,12,51,3.7,6.9,6.1,11,208.9,82.7,22,6,5.3,-27.66,8.2,1319,1000,68,"18.6%",39,"10.7%",21,"6.5%",22,82,"22.4%",38,104,613,32.7,15.4,5.9,28.7,-24.8,285,1.83,"10","180","111","1522","9","26.2",NA,NA,NA,NA,NA,NA,NA
12,"James Washington","WR","PIT","BAL",19.7,5,1.9,0,0,0,0,0,0,0,0,0.9,10.5,0.1,1,2,"JAX",10,3,1,12,12,0,33.3,4,1.2,2.2,2.2,1.7,10,3.5,2.1,60,24.4,11.6,0.3,13,7,2.1,24.4,0,4,2,30,2,10,0,0,0,0,0,10,195,3330,5.2,15,212,42,30,13.6,-7.77,34.5,42.9,"26",18,69.2,8,4.6,116,15.62,64.8,2170,14,3.9,5,34,1.4,6.6,6.8,10.2,217,91,27,5.6,5.8,-35.13,7.8,1278,1155,179,"44.8%",37,"9.3%",37,"10.3%",27,101,"25.3%",80,110,652,30,13.6,5.9,30.1,-25.1,278,1.74,"10","191","125","1490","5","25.7",NA,NA,NA,NA,NA,NA,NA
12,"Marcus Johnson","WR","IND","TEN",26.5,27,1.7,0,0,0,0,0,0,0,0,1,8.4,0.1,1,1,"GNB",10,3,1,14,14,0,33.3,4.67,1.4,2.4,2.4,1.9,7,3.86,2,51.9,36.43,18.2,0,11,9.4,2,36.4,0,1,1,4,0,2.1,0,0,0,0,0,10,259,3889,5.7,15,238,65,43.1,13.7,-98.15,54,68.8,"39",27,69.2,10,4.4,121.5,-20.49,67.1,2674,21,5.3,10,62,2.5,7,6.9,10.5,267.4,94.4,12,6.6,6.5,-91.21,7.9,1582,1185,119,"28.1%",26,"6.1%",36,"9.1%",12,74,"17.5%",72,102,695,43.1,13.7,6.8,37.9,-27.2,369,2.51,"10","244","169","1873","10","33.7",NA,NA,NA,NA,NA,NA,NA
12,"Freddie Swain","WR","SEA","PHI",25.2,22,1.5,0,0,0,0,0,0,0,0,0.7,8.7,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.5,1,66.7,13.4,13.4,0.1,5,8.9,1,13.4,0,2,1,2,0,3.6,1,0,0,0,3.1,10,254,3427,5.1,11,216,72,36,8,-26.89,38.1,41.7,"32",21,65.6,15,4.2,133.4,7.67,66.2,2093,13,4,3,29,0.9,7.1,7.5,10.8,209.3,96.3,34,5.8,6.1,-34.81,7.7,1327,1077,90,"24.1%",31,"8.3%",29,"8.8%",34,94,"25.2%",69,125,697,36,8,5.6,27.3,-31.6,273,1.98,"10","191","125","1471","7","28.4",NA,NA,NA,NA,NA,NA,NA
12,"Cedrick Wilson","WR","DAL","WAS",19.6,4,1.5,0,0,0,0,0,0,0,0,0.5,8.4,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,18,0,12,3,2,8,0,14.3,11,243,3405,5,13,200,61,37.1,10.5,1.32,37.9,37.5,"31",15,48.4,9,4.3,114.9,2.64,64.7,2141,16,4.7,10,32,2.9,7,6.6,10.8,194.6,88.5,36,5.6,5.3,0.76,9.4,1279,966,111,"28.3%",36,"9.2%",21,"6.1%",36,93,"23.7%",83,124,700,37.1,10.5,5.6,27.4,-29.5,278,1.92,"11","199","127","1552","7","24.0",NA,NA,NA,NA,NA,NA,NA
12,"Isaiah Wright","WR","WAS","DAL",32.6,32,1.4,0,0,0,0,0,0.3,2.2,0,0.9,5.1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,2.56,85.2,18.67,7.3,0,9,6.2,2.6,18.7,3,3,2,13,0,8.6,2,1,8,0,16.7,11,359,4202,5.8,10,248,62,46.8,8.1,-116.05,49.7,46.2,"40",27,67.5,15,4.9,156.4,-47.21,63.8,2482,25,7.1,4,28,1.1,7.4,8.3,11.6,225.6,105.1,22,6.7,7.5,-78.53,8.6,1315,1074,95,"24.4%",37,"9.5%",28,"8.0%",22,87,"22.3%",70,124,743,46.8,8.1,6,33.9,-32.4,290,2.69,"11","207","136","1909","19","35.9",NA,NA,NA,NA,NA,NA,NA
12,"Tyron Johnson","WR","LAC","BUF",20.5,7,1.4,0,0,0,0,0,0,0,0,0.5,7,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.67,0.5,75,26.17,52.3,0.17,3,39.3,0.5,26.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,265,3737,5.8,16,232,58,48,16,-102.96,46.5,54.5,"40",25,62.5,15,4.8,135,-37.85,67.9,2387,15,4.5,7,39,2.1,7.6,7.5,11.2,238.7,96.5,27,6.6,6.6,-70.7,7.2,1463,1063,140,"36.5%",22,"5.7%",27,"8.1%",27,76,"19.8%",79,100,659,48,16,6.6,37.2,-27.6,296,2.64,"10","192","127","1538","9","27.7",NA,NA,NA,NA,NA,NA,NA
12,"TreQuan Smith","WR","NOR","DEN",22.8,10,1.4,0,0,0,0,0,0,0,0,0.7,7.9,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.5,2.6,74.3,30.5,11.7,0.3,16,8.7,2.6,30.5,1,5,2,16,2,8.9,1,1,2,1,4.5,10,267,3463,5.2,10,200,61,41.5,8.5,-30.93,38.7,44.4,"37",18,48.6,10,4.3,121.5,8.23,65.8,2248,15,4.2,7,41,1.9,6.7,6.7,10.2,224.8,90.8,28,5.8,5.8,-45.62,8,1425,1090,120,"29.7%",48,"11.9%",28,"7.8%",28,104,"25.7%",54,118,695,41.5,8.5,5.9,29.1,-33.1,279,2.09,"10","205","131","1546","12","30.2","Slot Corner",8.2,76.5,"10.77","1.59","N","plus"
12,"Miles Boykin","WR","BAL","PIT",24.9,20,1.3,0,0,0,0,0,0,0,0,0.7,7.7,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2.3,1.4,60.9,15.3,10.9,0.1,9,6.7,1.4,15.3,0,2,1,6,1,6.1,2,1,6,1,9.5,10,174,3069,4.9,21,177,65,27,17.4,41.49,38.8,26.7,"25",14,56,5,4.3,103.4,6.62,54.8,2035,15,4.3,15,53,4.3,6.7,5.6,12.1,203.5,71.8,38,5.3,4.3,29.87,9.6,1494,798,167,"41.9%",58,"14.5%",41,"11.9%",38,137,"34.3%",59,115,635,27,17.4,5.5,26.6,-27.3,265,1.5,"10","198","116","1598","13","29.4",NA,NA,NA,NA,NA,NA,NA
