Pos,Player,Tm,Opp,FD Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,FD LEV
WR,Diontae Johnson,PIT,SEA,4500,0.50%,3%,0%,0%,0.01
WR,Tavon Austin,DAL,#NAME?,4500,0.50%,3%,0%,0%,0.01
WR,Isaiah McKenzie,BUF,#NAME?,4500,0.50%,3%,0%,0%,0.01
WR,Javon Wims,CHI,#NAME?,4500,0.50%,3%,0%,0%,0.01
WR,Darius Jennings,TEN,IND,4500,0.50%,2%,0%,0%,0
TE,James O'Shaughnessy,JAX,#NAME?,4500,0.50%,26%,3%,2%,3.36
TE,Blake Jarwin,DAL,#NAME?,4500,0.50%,24%,2%,1%,2.9
TE,Tyler Higbee,LAR,NO,4500,0.50%,22%,2%,1%,2.2
TE,Geoff Swaim,JAX,#NAME?,4500,0.50%,17%,1%,1%,1.24
TE,Ryan Izzo,NE,#NAME?,4500,0.50%,15%,1%,0%,0.96
RB,Wayne Gallman,NYG,BUF,4500,0.50%,14%,0%,0%,0.27
RB,DeAndre Washington,OAK,KC,4500,0.50%,9%,0%,0%,0.08
RB,Trayveon Williams,CIN,SF,4500,0.50%,9%,0%,0%,0.07
RB,Ryquell Armstead,JAX,#NAME?,4500,0.50%,6%,0%,0%,0.03
RB,Darwin Thompson,KC,#NAME?,4500,0.50%,5%,0%,0%,0.01
RB,Ty Johnson,DET,LAC,4500,0.50%,5%,0%,0%,0.01
RB,C.J. Prosise,SEA,#NAME?,4500,0.50%,4%,0%,0%,0.01
RB,James Develin,NE,#NAME?,4500,0.50%,3%,0%,0%,0
RB,Benny Snell Jr.,PIT,SEA,4500,0.50%,3%,0%,0%,0
RB,Wendell Smallwood,WAS,DAL,4500,0.50%,3%,0%,0%,0
RB,Mark Walton,MIA,NE,4500,0.50%,3%,0%,0%,0
RB,Jamize Olawale,DAL,#NAME?,4500,0.50%,3%,0%,0%,0
RB,Troymaine Pope,LAC,#NAME?,4500,0.50%,2%,0%,0%,0
RB,Devontae Booker,DEN,CHI,4500,0.50%,2%,0%,0%,0
RB,Dexter Williams,GB,MIN,4500,0.50%,2%,0%,0%,0
RB,Mike Boone,MIN,#NAME?,4500,0.50%,2%,0%,0%,0
RB,Zach Line,NO,#NAME?,4500,0.50%,2%,0%,0%,0
DEF,Denver Broncos,DEN,CHI,4500,3.00%,38%,1%,3%,1.13
DEF,Chicago Bears,CHI,#NAME?,4500,12.50%,43%,3%,7%,0.55
