"","vs_cb_wr","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","Damiere Byrd",11.6,48.9,"13.83","1.17","N","minus"
"2","Larry Fitzgerald",15.9,55.8,"14.29","1.77","N","plus"
"3","Christian Kirk",14.1,49.2,"11.50","1.25","N","minus"
"4","Julio Jones",13.7,58.6,"12.24","1.41","Y","minus"
"5","Russell Gage",14,45.5,"15.40","1.29","N","minus"
"6","Calvin Ridley",14,50,"13.73","1.60","N","plus"
"7","Seth Roberts",19.5,66.7,"11.04","1.72","N","plus"
"8","Willie Snead",10.5,52.4,"8.18","1.24","N","minus"
"9","Marquise Brown",15.5,46.4,"11.91","1.02","Y","minus"
"10","John Brown",13.7,47.6,"11.80","1.32","N","minus"
"11","Cole Beasley",15.6,52.4,"12.45","1.37","N","minus"
"12","Isaiah McKenzie",13.8,59.3,"13.77","1.72","N","plus"
"13","DJ Moore",16,64.5,"13.33","1.89","N","plus"
"14","Jarius Wright",11.4,67.7,"11.52","1.65","N","plus"
"15","Curtis Samuel",11.9,58.1,"17.00","2.34","N","plus"
"16","Allen Robinson",11.9,55.6,"11.96","1.49","N","neutral"
"17","Anthony Miller",10.2,56.5,"16.69","1.51","N","neutral"
"18","Javon Wims",16.3,54.3,"15.37","1.63","N","plus"
"19","Auden Tate",14.6,56.8,"14.10","1.37","N","minus"
"20","Tyler Boyd",12.8,69.2,"12.07","1.84","N","plus"
"21","John Ross",18.6,45.1,"15.96","1.29","N","minus"
"22","KhaDarel Hodge",11.6,55.3,"15.48","1.57","N","neutral"
"23","Jarvis Landry",12.4,38.9,"7.14","0.67","N","minus"
"24","Odell Beckham",11.3,60,"21.05","2.03","N","plus"
"25","Michael Gallup",NA,NA,"-","-","N","plus"
"26","Randall Cobb",11.9,56.1,"10.26","1.43","N","neutral"
"27","Amari Cooper",13.9,62.5,"14.03","1.78","N","plus"
"28","Courtland Sutton",13.1,58.1,"19.12","2.67","N","plus"
"29","DaeSean Hamilton",15.5,67.6,"13.63","1.95","N","plus"
"30","Tim Patrick",17.1,64.3,"12.14","1.64","N","plus"
"31","Kenny Golladay",15.5,78.7,"12.46","2.16","N","plus"
"32","Danny Amendola",14,53.6,"9.93","1.50","N","neutral"
"33","Marvin Jones",19.2,63.6,"11.86","1.75","N","plus"
"34","Davante Adams",17.6,52.6,"12.37","1.39","N","minus"
"35","Geronimo Allison",9.5,71.4,"9.60","1.40","N","neutral"
"36","Allen Lazard",10.9,72.7,"12.92","2.03","N","plus"
"37","DeAndre Hopkins",9.8,60,"19.13","2.20","Y","plus"
