"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",10.1,48.2,"10.15","1.29","Y","minus"
"2","Larry Fitzgerald","Slot Corner",10.1,62.5,"10.91","1.41","N","neutral"
"3","Christian Kirk","Left Corner",11.6,44.3,"14.59","1.19","N","minus"
"4","Julio Jones","Right Corner",11.7,56.9,"10.62","1.76","N","plus"
"5","Russell Gage","Slot Corner",9.8,74.5,"13.97","2.37","N","plus"
"6","Calvin Ridley","Left Corner",15.4,57.3,"12.98","1.65","N","plus"
"7","Miles Boykin","Right Corner",13.5,44.9,"15.45","1.32","N","neutral"
"8","Willie Snead","Slot Corner",12.6,61.7,"12.24","1.50","N","neutral"
"9","Marquise Brown","Left Corner",15.7,50,"12.32","1.48","N","neutral"
"10","John Brown","Right Corner",13.4,41.4,"15.31","1.39","Y","minus"
"11","Cole Beasley","Slot Corner",13.3,60,"14.00","1.44","N","neutral"
"12","Stefon Diggs","Left Corner",11.2,55.1,"16.15","1.69","Y","plus"
"13","DJ Moore","Right Corner",14.9,57.7,"14.49","1.92","N","plus"
"14","Curtis Samuel","Slot Corner",7.1,68.2,"17.80","1.90","N","plus"
"15","Robby Anderson","Left Corner",13.3,56.5,"13.03","1.59","N","neutral"
"16","Allen Robinson","Right Corner",10.6,57.9,"14.59","1.74","N","plus"
"17","Anthony Miller","Slot Corner",10.4,56.8,"11.76","1.51","N","neutral"
"18","Darnell Mooney","Left Corner",13.7,40.3,"11.15","1.03","N","minus"
"19","AJ Green","Right Corner",15.4,74.3,"11.73","1.79","N","plus"
"20","Tyler Boyd","Slot Corner",11.4,66.7,"9.88","1.83","N","plus"
"21","Tee Higgins","Left Corner",16.3,59.1,"9.85","1.30","N","minus"
"22","Rashard Higgins","Right Corner",13.5,51.4,"12.64","1.68","N","plus"
"23","Jarvis Landry","Slot Corner",11.6,53.3,"11.31","1.34","N","minus"
"24","Donovan PeoplesJones","Left Corner",NA,NA,"-","-","N","plus"
"25","Michael Gallup","Right Corner",10.8,56.1,"14.39","2.25","N","plus"
"26","CeeDee Lamb","Slot Corner",3.8,80,"12.25","2.18","N","plus"
"27","Amari Cooper","Left Corner",10.8,56.7,"12.12","1.55","Y","neutral"
"28","Jerry Jeudy","Right Corner",11.6,78.3,"15.56","2.26","N","plus"
"29","KJ Hamler","Slot Corner",11.8,64.4,"11.17","1.50","N","neutral"
"30","Tim Patrick","Left Corner",11.8,58.1,"13.22","1.54","N","neutral"
"31","Mohamed Sanu","Right Corner",18,56.7,"12.03","1.65","N","plus"
"32","Danny Amendola","Slot Corner",14.3,67.1,"12.94","2.05","N","plus"
"33","Marvin Jones","Left Corner",15.4,70.4,"12.68","2.04","N","plus"
"34","Davante Adams","Right Corner",16.9,83.3,"10.90","2.74","N","plus"
"35","Allen Lazard","Slot Corner",14.6,75,"11.41","2.07","N","plus"
"36","Marquez ValdesScantling","Left Corner",11.4,55.2,"11.81","1.47","N","neutral"
"37","Chad Hansen","Right Corner",12.8,83.3,"10.80","3.73","N","plus"
"38","Keke Coutee","Slot Corner",7.8,66.7,"10.95","1.76","N","plus"
"39","Brandin Cooks","Left Corner",16,60.6,"11.57","1.55","Y","neutral"
"40","Michael Pittman Jr","Right Corner",20.6,65,"12.15","2.04","N","plus"
"41","Zach Pascal","Slot Corner",10.4,62.7,"14.44","1.89","N","plus"
"42","TY Hilton","Left Corner",12.5,76,"13.58","2.51","N","plus"
"43","DJ Chark","Right Corner",12.4,44.4,"15.11","1.50","N","neutral"
"44","Keelan Cole","Slot Corner",11.2,57.6,"11.76","1.36","N","minus"
"45","Laviska Shenault","Left Corner",13.9,61.5,"13.09","1.65","N","plus"
"46","Mecole Hardman","Right Corner",15.5,60.2,"12.38","1.57","N","neutral"
"47","Byron Pringle","Slot Corner",8.8,60,"16.80","2.57","N","plus"
"48","Demarcus Robinson","Left Corner",15.3,48.6,"17.47","1.59","N","neutral"
"49","Mike Williams","Right Corner",13.4,47.5,"11.95","1.34","N","minus"
"50","KJ Hill","Slot Corner",16.6,51.3,"9.85","1.17","N","minus"
"51","Jalen Guyton","Left Corner",6.5,75,"15.00","1.88","N","plus"
"52","Josh Reynolds","Right Corner",17.8,50,"15.75","2.04","N","plus"
"53","Van Jefferson","Slot Corner",13.3,56.9,"11.67","1.44","N","neutral"
"54","Robert Woods","Left Corner",10.6,61.5,"14.08","2.04","N","plus"
"55","Nelson Agholor","Right Corner",13.8,58.2,"15.33","1.74","N","plus"
"56","Hunter Renfrow","Slot Corner",6.6,77.8,"12.43","1.74","N","plus"
"57","Henry Ruggs","Left Corner",17.7,60.6,"13.25","1.41","N","minus"
"58","DeVante Parker","Right Corner",10.4,50,"13.59","1.51","Y","neutral"
"59","Lynn Bowden","Slot Corner",12.8,63.8,"12.16","1.52","N","neutral"
"60","Mack Hollins","Left Corner",14.4,53.8,"13.75","1.63","N","plus"
"61","Justin Jefferson","Right Corner",13.1,66.7,"10.23","1.89","N","plus"
"62","Chad Beebe","Slot Corner",10.1,76.9,"12.55","2.43","N","plus"
"63","Adam Thielen","Left Corner",13.7,53.5,"17.82","1.74","N","plus"
"64","Damiere Byrd","Right Corner",13.3,63.5,"10.52","1.65","N","plus"
"65","Jakobi Meyers","Slot Corner",7.4,85.7,"8.33","1.57","N","neutral"
"66","NKeal Harry","Left Corner",13.9,68.3,"10.93","1.72","N","plus"
"67","Juwan Johnson","Right Corner",14.3,51,"10.32","1.40","N","neutral"
"68","Marquez Callaway","Slot Corner",8.2,50,"14.67","1.23","N","minus"
"69","Emmanuel Sanders","Left Corner",13.2,58.5,"14.26","1.97","N","plus"
"70","Darius Slayton","Right Corner",17.6,55.1,"15.89","1.77","N","plus"
"71","Golden Tate","Slot Corner",9.7,61.4,"8.67","1.42","N","neutral"
"72","Sterling Shepard","Left Corner",14.8,58.8,"18.40","2.20","N","plus"
"73","Denzel Mims","Right Corner",14.4,53.8,"14.34","1.77","N","plus"
"74","Jamison Crowder","Slot Corner",17.3,60.3,"10.15","1.57","N","neutral"
"75","Bredshad Perriman","Left Corner",8.7,66.7,"15.95","2.46","N","neutral"
"76","Jalen Reagor","Right Corner",13.5,50.8,"12.69","1.63","N","plus"
"77","Greg Ward","Slot Corner",10.7,63.4,"8.69","1.19","N","minus"
"78","Alshon Jeffery","Left Corner",14.5,53.2,"13.21","1.31","N","minus"
"79","Diontae Johnson","Right Corner",12.6,53.9,"12.24","1.44","N","neutral"
"80","JuJu SmithSchuster","Slot Corner",11.9,82.4,"9.29","1.94","N","plus"
"81","Chase Claypool","Left Corner",9.2,65.6,"11.00","1.57","N","neutral"
"82","River Cracraft","Right Corner",11.4,57.9,"12.27","1.45","N","neutral"
"83","Kendrick Bourne","Slot Corner",9.1,56.3,"9.72","1.11","N","minus"
"84","Richie James","Left Corner",13.7,60.9,"12.12","1.78","N","plus"
"85","DK Metcalf","Right Corner",11.7,66,"10.09","1.45","N","neutral"
"86","Tyler Lockett","Slot Corner",8.8,60,"5.89","0.95","N","minus"
"87","David Moore","Left Corner",11.7,52.6,"14.40","1.60","N","plus"
"88","Mike Evans","Right Corner",13.6,48.7,"9.68","1.11","N","minus"
"89","Chris Godwin","Slot Corner",12.2,60.7,"14.89","2.00","N","plus"
"90","Antonio Brown","Left Corner",14.1,64.9,"12.98","1.88","N","plus"
"91","AJ Brown","Right Corner",14.8,65.3,"13.73","1.79","N","plus"
"92","Cameron Batson","Slot Corner",12.3,75,"10.83","2.31","N","plus"
"93","Corey Davis","Left Corner",11.9,52.9,"15.44","1.35","N","minus"
"94","Terry McLaurin","Right Corner",15.1,71,"13.59","1.94","Y","plus"
"95","Steven Sims","Slot Corner",9.1,71.4,"13.64","2.20","N","plus"
"96","Cam Sims","Left Corner",24.1,70,"20.93","2.77","N","plus"
