"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"QB","Patrick Mahomes","KC","LV","$9,000","12.5%","68%","39%","10%","0.79"
"RB","Ezekiel Elliott","DAL","NYG","$9,000","32.5%","58%","18%","20%","0.61"
"QB","Lamar Jackson","BAL","CIN","$8,900","7.5%","68%","38%","10%","1.29"
"WR","DeAndre Hopkins","ARI","@NYJ","$8,700","12.5%","57%","18%","17%","1.36"
"QB","Dak Prescott","DAL","NYG","$8,700","12.5%","68%","38%","10%","0.78"
"QB","Kyler Murray","ARI","@NYJ","$8,300","7.5%","64%","34%","9%","1.16"
"WR","Calvin Ridley","ATL","CAR","$8,300","22.5%","49%","13%","12%","0.54"
"RB","Josh Jacobs","LV","@KC","$8,200","7.5%","52%","13%","14%","1.91"
"WR","Tyreek Hill","KC","LV","$8,200","22.5%","58%","20%","19%","0.84"
"QB","Deshaun Watson","HOU","JAX","$7,900","7.5%","65%","34%","9%","1.14"
"RB","Clyde Edwards-Helaire","KC","LV","$7,900","42.5%","70%","26%","28%","0.66"
"TE","Travis Kelce","KC","LV","$7,800","17.5%","57%","25%","14%","0.80"
"WR","Amari Cooper","DAL","NYG","$7,800","22.5%","52%","13%","12%","0.55"
"QB","Matt Ryan","ATL","CAR","$7,700","7.5%","55%","23%","6%","0.77"
"RB","Miles Sanders","PHI","@PIT","$7,500","3.0%","45%","8%","8%","2.72"
"QB","Jared Goff","LAR","@WAS","$7,500","3.0%","44%","15%","4%","1.25"
"TE","Mark Andrews","BAL","CIN","$7,500","7.5%","42%","14%","8%","1.07"
"QB","Ben Roethlisberger","PIT","PHI","$7,400","3.0%","44%","14%","4%","1.21"
"QB","Joe Burrow","CIN","@BAL","$7,300","3.0%","47%","17%","4%","1.48"
"WR","JuJu Smith-Schuster","PIT","PHI","$7,300","7.5%","42%","8%","8%","1.01"
"QB","Carson Wentz","PHI","@PIT","$7,200","0.5%","37%","12%","3%","5.95"
"WR","Cooper Kupp","LAR","@WAS","$7,200","7.5%","50%","14%","12%","1.66"
"QB","Gardner Minshew","JAX","@HOU","$7,200","7.5%","51%","20%","5%","0.68"
"RB","Jonathan Taylor","IND","@CLE","$7,100","7.5%","55%","13%","14%","1.89"
"QB","Ryan Fitzpatrick","MIA","@SF","$7,100","3.0%","45%","16%","4%","1.38"
"TE","George Kittle","SF","MIA","$7,100","22.5%","65%","29%","17%","0.74"
"QB","Teddy Bridgewater","CAR","@ATL","$7,100","7.5%","52%","20%","5%","0.68"
"RB","Kareem Hunt","CLE","IND","$7,000","17.5%","60%","16%","18%","1.02"
"RB","James Conner","PIT","PHI","$7,000","12.5%","52%","12%","13%","1.01"
"WR","D.J. Chark","JAX","@HOU","$7,000","12.5%","50%","12%","11%","0.88"
"QB","Daniel Jones","NYG","@DAL","$7,000","7.5%","48%","19%","5%","0.64"
"RB","Joe Mixon","CIN","@BAL","$6,900","7.5%","54%","11%","11%","1.53"
