"Position","Player","Team","Vs","M/U","Open $","Current $","% of Cap","SeasonChange","Last Week","WeekChange"
"TE","James O'Shaughnessy","JAX","DET","5","4000","4000","6.67","0","4000","0"
"WR","Scott Miller","TB","GB","14","4500","5200","8.67","700","5300","-100"
"WR","Anthony Miller","CHI","@CAR","8","5500","5200","8.67","-300","5500","-300"
"RB","Sony Michel","NE","DEN","5","6000","5000","8.33","-1000","5500","-500"
"RB","Ty Montgomery","NO","BYE","0","4600","--","7.50","-100","4500","--"
"WR","David Moore","SEA","BYE","0","4900","--","8.17","0","4900","--"
"WR","Jason Moore","LAC","BYE","0","4500","--","7.50","0","4500","--"
"TE","Foster Moreau","LV","BYE","0","4100","--","7.00","100","4200","--"
"QB","James Morgan","NYJ","@MIA","11","6000","6000","10.00","0","6000","0"
"TE","Thaddeus Moss","WAS","@NYG","2","4000","4000","6.67","0","4000","0"
"RB","Zack Moss","BUF","KC","19","4800","--","8.33","200","5000","--"
"RB","Raheem Mostert","SF","LAR","28","6200","--","10.83","300","6500","--"
"QB","Nick Mullens","SF","LAR","4","6000","--","11.33","800","6800","--"
"TE","Johnny Mundt","LAR","@SF","6","4000","--","6.67","0","4000","--"
"QB","Kyler Murray","ARI","@DAL","22","7700","--","13.83","600","8300","--"
"RB","Latavius Murray","NO","BYE","0","5100","--","8.67","100","5200","--"
"RB","Jamize Olawale","DAL","ARI","17","4500","--","7.50","0","4500","--"
"TE","Nick O'Leary","LV","BYE","0","4000","--","6.67","0","4000","--"
"TE","Greg Olsen","SEA","BYE","0","4900","--","8.33","100","5000","--"
"WR","K.J. Osborn","MIN","ATL","2","4500","4500","7.50","0","4500","0"
"RB","Devine Ozigbo","JAX","DET","25","4500","4500","7.50","0","4500","0"
"WR","DeVante Parker","MIA","NYJ","18","6700","6400","10.67","-300","6400","0"
"TE","Colby Parkinson","SEA","BYE","0","4000","--","6.67","0","4000","--"
"WR","Tim Patrick","DEN","@NE","20","4600","5400","9.00","800","5200","200"
"WR","Kalif Raymond","TEN","HOU","12","4600","5000","8.33","400","4900","100"
"WR","Dezmon Patmon","IND","CIN","24","4500","4500","7.50","0","4500","0"
"WR","Cordarrelle Patterson","CHI","@CAR","8","5000","4700","7.83","-300","4700","0"
"RB","Elijhaa Penny","NYG","WAS","12","4500","4500","7.50","0","4500","0"
"WR","Donovan Peoples-Jones","CLE","@PIT","29","4500","4500","7.50","0","4500","0"
"RB","La'Mical Perine","NYJ","@MIA","23","4500","4600","7.67","100","4600","0"
"TE","Joshua Perkins","PHI","BAL","23","4000","4000","6.67","0","4000","0"
"WR","Breshad Perriman","NYJ","@MIA","6","5700","5000","8.33","-700","5000","0"
"RB","Malcolm Perry","MIA","NYJ","24","4500","4500","7.50","0","4500","0"
"WR","Zach Pascal","IND","CIN","24","5200","5100","8.50","-100","5300","-200"
"RB","Rashaad Penny","SEA","BYE","0","4800","--","7.50","-300","4500","--"
