"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"QB","Patrick Mahomes","KC","HOU","9200","17.5%","60%","30%","10%","0.60"
"RB","Ezekiel Elliott","DAL","@NYJ","8500","12.5%","60%","19%","21%","1.69"
"WR","Julio Jones","ATL","@ARI","8500","17.5%","57%","19%","18%","1.01"
"QB","Deshaun Watson","HOU","@KC","8400","12.5%","58%","29%","10%","0.80"
"WR","DeAndre Hopkins","HOU","@KC","8400","22.5%","57%","18%","17%","0.76"
"RB","Dalvin Cook","MIN","PHI","8200","22.5%","70%","26%","29%","1.28"
"WR","Michael Thomas","NO","@JAX","8200","12.5%","51%","14%","13%","1.03"
"QB","Lamar Jackson","BAL","CIN","8200","12.5%","63%","32%","11%","0.91"
"QB","Matt Ryan","ATL","@ARI","8100","12.5%","57%","25%","9%","0.70"
"WR","Amari Cooper","DAL","@NYJ","8100","17.5%","47%","12%","11%","0.63"
"QB","Russell Wilson","SEA","@CLE","8000","7.5%","55%","24%","8%","1.12"
"QB","Dak Prescott","DAL","@NYJ","8000","7.5%","53%","23%","8%","1.07"
"RB","Alvin Kamara","NO","@JAX","7900","7.5%","58%","15%","17%","2.22"
"RB","Nick Chubb","CLE","SEA","7800","12.5%","62%","19%","21%","1.67"
"WR","Cooper Kupp","LAR","SF","7800","17.5%","53%","14%","13%","0.77"
"QB","Kyler Murray","ARI","ATL","7700","12.5%","58%","27%","9%","0.74"
"WR","Odell Beckham","CLE","SEA","7600","12.5%","49%","12%","11%","0.88"
"QB","Jared Goff","LAR","SF","7600","7.5%","47%","16%","6%","0.75"
"QB","Carson Wentz","PHI","@MIN","7500","3.0%","36%","11%","4%","1.27"
"RB","Mark Ingram","BAL","CIN","7500","12.5%","54%","13%","15%","1.19"
"TE","Travis Kelce","KC","HOU","7500","17.5%","54%","21%","16%","0.92"
"QB","Baker Mayfield","CLE","SEA","7400","3.0%","38%","11%","4%","1.31"
"WR","Tyreek Hill","KC","HOU","7400","12.5%","47%","10%","10%","0.79"
"QB","Teddy Bridgewater","NO","@JAX","7300","3.0%","38%","11%","4%","1.31"
"RB","Leonard Fournette","JAX","NO","7300","22.5%","65%","20%","22%","0.98"
"QB","Jimmy Garoppolo","SF","@LAR","7200","3.0%","39%","12%","4%","1.34"
"WR","Adam Thielen","MIN","PHI","7200","12.5%","50%","12%","12%","0.94"
"RB","Chris Carson","SEA","@CLE","7200","17.5%","56%","14%","16%","0.91"
"WR","Robert Woods","LAR","SF","7100","7.5%","42%","8%","8%","1.04"
