"team","home_or_away","line","total","favorite","implied_total"
"DET","home",8.5,55.5,0,23.5
"JAX","home",7.5,53,0,22.75
"CIN","home",3,44,0,20.5
"NYG","home",3,47,0,22
"CHI","home",1,46,0,22.5
"CAR","home",-4,45.5,1,24.75
"TAM","home",-7,52.5,1,29.75
"MIA","home",7,51.5,0,22.25
"LVR","home",2.5,51.5,0,24.5
"SEA","home",-16.5,48.5,1,32.5
"LAC","home",-1.5,49,1,25.25
"PHI","home",7.5,42,0,17.25
"SFO","home",0,43.5,1,21.75
"GNB","away",-8.5,55.5,1,32
"TEN","away",-7.5,53,1,30.25
"DAL","away",-3,44,1,23.5
"ARI","away",-3,47,1,25
"HOU","away",-1,46,1,23.5
"DEN","away",4,45.5,0,20.75
"MIN","away",7,52.5,0,22.75
"KAN","away",-7,51.5,1,29.25
"IND","away",-2.5,51.5,1,27
"NYJ","away",16.5,48.5,0,16
"ATL","away",1.5,49,0,23.75
"NOR","away",-7.5,42,1,24.75
"WAS","away",0,43.5,0,21.75
