"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",11.3,69,10.48,1.56,"N","neutral"
"2","Larry Fitzgerald","Slot Corner",10.9,57.1,6.25,0.93,"N","minus"
"3","Christian Kirk","Left Corner",8.9,61.1,11.91,2.34,"N","plus"
"4","Christian Blake","Right Corner",11.4,48.8,12.57,1.66,"N","plus"
"5","Russell Gage","Slot Corner",16.5,47.1,10.44,1.14,"N","minus"
"6","Calvin Ridley","Left Corner",11.2,57.4,12.81,1.82,"N","plus"
"7","Miles Boykin","Right Corner",10.5,59.5,14.77,2.28,"Y","plus"
"8","Willie Snead","Slot Corner",9.9,51.9,13.36,1.21,"Y","minus"
"9","Marquise Brown","Left Corner",11.2,55.9,12.3,1.55,"Y","neutral"
"10","John Brown","Right Corner",8.4,65.5,17.26,2.41,"Y","plus"
"11","Cole Beasley","Slot Corner",17.3,59,10.72,1.62,"N","plus"
"12","Stefon Diggs","Left Corner",14.1,52.5,13.39,1.53,"N","neutral"
"13","DJ Moore","Right Corner",13.6,50.8,12.9,1.67,"N","plus"
"14","Curtis Samuel","Slot Corner",10.6,60.5,8.13,1.1,"N","minus"
"15","Robby Anderson","Left Corner",14.5,55.4,13.46,1.38,"N","minus"
"16","Allen Robinson","Right Corner",17.9,50,17.4,2.57,"N","plus"
"17","Anthony Miller","Slot Corner",10.7,65.3,14.44,1.96,"N","plus"
"18","Darnell Mooney","Left Corner",13.4,73.9,14.06,2.56,"N","plus"
"19","AJ Green","Right Corner",15.2,63.4,13.76,1.76,"N","plus"
"20","Alex Erickson","Slot Corner",8.9,68.2,13.37,2.28,"N","plus"
"21","Tee Higgins","Left Corner",4.9,60,15.67,1.54,"N","plus"
"22","Derrick Willies","Right Corner",13.5,64.4,10.31,1.71,"N","plus"
"23","JaMarcus Bradley","Slot Corner",7.4,85.7,8.33,1.57,"N","neutral"
"24","Marvin Hall","Left Corner",15.1,66.7,10.54,1.7,"N","plus"
