"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"78","Jalen Reagor","Left Corner",10.7,63.2,14.08,2.05,"N","plus"
"79","Diontae Johnson","Right Corner",13,46.7,14.89,1.36,"Y","minus"
"80","JuJu SmithSchuster","Slot Corner",12.8,66.7,12.58,1.66,"N","plus"
"81","Chase Claypool","Left Corner",16.8,80,11.93,2.47,"N","plus"
"82","Brandon Aiyuk","Right Corner",12.7,60,17.92,2.28,"N","plus"
"83","Kendrick Bourne","Slot Corner",10.6,63.2,8.63,1.49,"N","neutral"
"84","Richie James","Left Corner",14.1,67.9,14.11,2.28,"N","plus"
"85","DK Metcalf","Right Corner",13.4,51.9,13.5,1.77,"N","plus"
"86","Tyler Lockett","Slot Corner",10.8,59.5,8.45,1.1,"N","minus"
"87","David Moore","Left Corner",14.8,54.9,13.59,1.38,"N","minus"
"88","Mike Evans","Right Corner",13.6,48.7,9.68,1.11,"N","minus"
"89","Chris Godwin","Slot Corner",12.1,61.5,15.94,2.06,"N","plus"
"90","Antonio Brown","Left Corner",14,66.7,12.67,1.99,"N","plus"
"91","AJ Brown","Right Corner",12.7,69,9.9,1.79,"N","plus"
"92","Cameron Batson","Slot Corner",10.7,77.3,11.59,1.94,"N","plus"
"93","Corey Davis","Left Corner",14.5,51.6,17.7,1.71,"N","plus"
"94","Terry McLaurin","Right Corner",10.9,66.7,13.38,1.81,"N","plus"
"95","Steven Sims","Slot Corner",8.8,51.9,8.43,0.96,"N","minus"
"96","Cam Sims","Left Corner",14.1,63.6,12.06,1.95,"N","plus"
