"team","home_or_away","line","total","favorite","implied_total"
"Chicago","home",2.5,43,0,20.25
"Detroit","home",3,54,0,25.5
"Carolina","home",3,51.5,0,24.25
"Cincinnati","home",-2.5,49,1,25.75
"Dallas","home",-4.5,56,1,30.25
"Houston","home",-3.5,53.5,1,28.5
"Miami","home",5.5,54,0,24.25
"Tampa_Bay","home",-7,42.5,1,24.75
"Tennessee","home",1,NA,0,NA
"Washington","home",14,45.5,0,15.75
"LA_Rams","home",-13,48,1,30.5
"Kansas","home",-6.5,52.5,1,29.5
"Las_Vegas","home",3,52.5,0,24.75
"Indianapolis","away",-2.5,43,1,22.75
"New_Orleans","away",-3,54,1,28.5
"Arizona","away",-3,51.5,1,27.25
"Jacksonville","away",2.5,49,0,23.25
"Cleveland","away",4.5,56,0,25.75
"Minnesota","away",3.5,53.5,0,25
"Seattle","away",-5.5,54,1,29.75
"LA_Chargers","away",7,42.5,0,17.75
"Pittsburgh","away",-1,NA,1,NA
"Baltimore","away",-14,45.5,1,29.75
"NY_Giants","away",13,48,0,17.5
"New_England","away",6.5,52.5,0,23
"Buffalo","away",-3,52.5,1,27.75
