"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Adrian Peterson","WAS","DET","5800","0.5%","28%","2%","3%","5.05"
"WR","Terry McLaurin","WAS","DET","5800","7.5%","46%","9%","10%","1.30"
"TE","Jacob Hollister","SEA","@PHI","5800","7.5%","31%","5%","5%","0.70"
"RB","Tarik Cohen","CHI","NYG","5700","0.5%","31%","2%","3%","6.34"
"WR","Danny Amendola","DET","@WAS","5700","0.5%","25%","2%","2%","4.29"
"WR","Curtis Samuel","CAR","@NO","5700","3.0%","39%","6%","7%","2.29"
"WR","Chris Conley","JAX","@TEN","5700","3.0%","28%","3%","3%","0.99"
"WR","Diontae Johnson","PIT","@CIN","5600","0.5%","30%","3%","4%","7.27"
"WR","Tyler Boyd","CIN","PIT","5600","3.0%","38%","5%","6%","1.92"
"WR","Taylor Gabriel","CHI","NYG","5600","3.0%","30%","4%","4%","1.27"
"RB","Miles Sanders","PHI","SEA","5600","7.5%","44%","6%","7%","0.99"
"RB","Kareem Hunt","CLE","MIA","5600","7.5%","39%","4%","6%","0.74"
"TE","Ryan Griffin","NYJ","OAK","5600","7.5%","32%","6%","6%","0.74"
"RB","Kalen Ballage","MIA","@CLE","5500","0.5%","27%","2%","2%","4.30"
"RB","Peyton Barber","TB","@ATL","5500","0.5%","15%","0%","1%","1.04"
"RB","J.D. McKissic","DET","@WAS","5500","0.5%","15%","0%","0%","0.90"
"RB","Brian Hill","ATL","TB","5500","7.5%","36%","3%","4%","0.59"
"RB","Latavius Murray","NO","CAR","5400","0.5%","32%","3%","4%","7.26"
"WR","Robby Anderson","NYJ","OAK","5400","3.0%","34%","4%","4%","1.48"
"WR","Phillip Dorsett","NE","DAL","5400","3.0%","30%","3%","4%","1.17"
"RB","Rex Burkhead","NE","DAL","5400","0.5%","16%","0%","1%","1.17"
"RB","Derrius Guice","WAS","DET","5400","3.0%","32%","2%","3%","0.96"
"WR","Tim Patrick","DEN","@BUF","5400","3.0%","26%","2%","2%","0.82"
"RB","Frank Gore","BUF","DEN","5400","0.5%","13%","0%","0%","0.60"
"TE","Cameron Brate","TB","@ATL","5400","7.5%","27%","4%","4%","0.48"
"RB","Trey Edmunds","PIT","@CIN","5400","0.5%","9%","0%","0%","0.21"
