Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2019,9,wilsor1,Russell Wilson,QB,SEA,TB,22.9,31,23.7,24.2,37.0,297.8,2.2,0.4,4.8,22.9,0.3,0.0,0.0,0.0,14.2,1.5,0.0,0.2,0.0,0.0,A-Game
2019,9,watsod1,Deshaun Watson,QB,HOU,@JAX,17.7,20,22.0,22.6,35.2,263.3,1.7,0.6,4.7,27.7,0.5,0.0,0.0,0.0,12.7,1.8,0.0,0.2,0.0,0.0,A-Game
2019,9,prescd1,Dak Prescott,QB,DAL,@NYG,18.9,23,21.9,24.6,34.4,282.3,2.0,0.7,4.5,21.5,0.3,0.0,0.0,0.0,13.7,1.4,0.0,0.2,0.0,0.0,A-Game
2019,9,rodgea1,Aaron Rodgers,QB,GB,@LAC,14.5,10,19.5,24.6,35.0,271.0,1.8,0.2,2.7,14.6,0.1,0.0,0.0,0.0,13.3,1.0,0.0,0.2,0.0,0.0,A-Game
2019,9,jacksl1,Lamar Jackson,QB,BAL,NE,8.7,2,19.0,17.6,31.5,216.3,1.2,1.1,10.6,55.4,0.3,0.0,0.0,0.0,10.3,3.6,0.0,0.4,0.0,0.0,A-Game
2019,9,allenj3,Josh Allen,QB,BUF,WAS,18.3,21,19.0,20.5,30.6,216.5,1.3,1.1,6.4,37.1,0.5,0.0,0.0,0.0,10.7,2.4,0.0,0.3,0.0,0.0,A-Game
2019,9,staffm1,Matthew Stafford,QB,DET,@OAK,23.6,32,18.8,25.1,37.9,288.3,2.0,0.7,1.6,5.9,0.0,0.0,0.0,0.0,14.0,0.4,0.0,0.2,0.0,0.0,A-Game
2019,9,winstj1,Jameis Winston,QB,TB,@SEA,17.4,19,18.5,23.9,38.9,280.4,1.8,1.1,2.1,11.9,0.1,0.0,0.0,0.0,13.5,0.8,0.0,0.2,0.0,0.0,A-Game
2019,9,minshg1,Gardner Minshew,QB,JAX,HOU,20.4,26,18.4,22.4,35.3,268.3,1.6,0.9,4.3,21.4,0.1,0.0,0.0,0.0,12.9,1.4,0.0,0.3,0.0,0.0,A-Game
2019,9,cousik1,Kirk Cousins,QB,MIN,@KC,16.4,17,18.1,21.8,32.2,263.3,1.8,0.8,3.5,12.0,0.1,0.0,0.0,0.0,12.6,0.8,0.0,0.2,0.0,0.0,A-Game
