"team","home_or_away","line","total","favorite","implied_total"
"DET","home",0,50,0,25
"GNB","home",-6,50,1,28
"BUF","home",-4.5,40.5,1,22.5
"CIN","home",7,51,0,22
"CLE","home",-2.5,49,1,25.75
"KAN","home",-20,49,1,34.5
"MIA","home",3.5,45.5,0,21
"CHI","home",4.5,42.5,0,19
"SEA","home",0,54,1,27
"DEN","home",3,44.5,0,20.75
"BAL","home",-4,46.5,1,25.25
"IND","away",0,50,1,25
"MIN","away",6,50,0,22
"NWE","away",4.5,40.5,0,18
"TEN","away",-7,51,1,29
"LVR","away",2.5,49,0,23.25
"NYJ","away",20,49,0,14.5
"LAR","away",-3.5,45.5,1,24.5
"NOR","away",-4.5,42.5,1,23.5
"SFO","away",0,54,0,27
"LAC","away",-3,44.5,1,23.75
"PIT","away",4,46.5,0,21.25
