"team","home_or_away","line","total","favorite","implied_total"
"Atlanta","home",-2,54,1,28
"Kansas","home",-13,56.5,1,34.75
"New_England","home",-5,48.5,1,26.75
"Washington","home",-7,45,1,26
"Houston","home",-6,54.5,1,30.25
"Tennessee","home",-1,49,1,25
"NY_Jets","home",-7,47,1,27
"Pittsburgh","home",-7,44,1,25.5
"Baltimore","home",-13,51,1,32
"San_Francisco","home",-9,49.5,1,29.25
"Dallas","home",-9.5,54,1,31.75
"Cleveland","home",-1.5,46,1,23.75
"Carolina","away",2,54,0,26
"Las_Vegas","away",13,56.5,0,21.75
"Denver","away",5,48.5,0,21.75
"LA_Rams","away",7,45,0,19
"Jacksonville","away",6,54.5,0,24.25
"Buffalo","away",1,49,0,24
"Arizona","away",7,47,0,20
"Philadelphia","away",7,44,0,18.5
"Cincinnati","away",13,51,0,19
"Miami","away",9,49.5,0,20.25
"NY_Giants","away",9.5,54,0,22.25
"Indianapolis","away",1.5,46,0,22.25
