"pos","player","tm","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"RB","Derrick Henry","TEN",10200,32.5,58,20,26,0.81
"RB","Dalvin Cook","MIN",9400,12.5,58,19,25,2.01
"WR","Tyreek Hill","KAN",9300,17.5,58,21,21,1.22
"QB","Patrick Mahomes","KAN",8900,12.5,57,27,8,0.64
"WR","DeAndre Hopkins","ARI",8600,12.5,47,11,11,0.88
"TE","Travis Kelce","KAN",8500,17.5,53,23,17,0.94
"WR","Calvin Ridley","ATL",8400,17.5,57,18,18,1.04
"QB","Russell Wilson","SEA",8400,7.5,54,23,7,0.92
"WR","AJ Brown","TEN",8300,17.5,53,16,16,0.9
"WR","DK Metcalf","SEA",8200,12.5,49,13,13,1
"QB","Lamar Jackson","BAL",8200,12.5,59,29,9,0.69
"QB","Deshaun Watson","HOU",8100,3,50,21,6,2.11
"QB","Kyler Murray","ARI",8000,12.5,57,27,8,0.63
"QB","Tom Brady","TAM",7900,7.5,52,20,6,0.79
"RB","Alvin Kamara","NOR",7800,27.5,72,25,33,1.18
"QB","Jared Goff","LAR",7800,7.5,51,20,6,0.79
"QB","Ryan Tannehill","TEN",7700,3,54,23,7,2.21
"WR","Justin Jefferson","MIN",7600,7.5,45,9,9,1.25
"RB","Chris Carson","SEA",7600,12.5,43,8,10,0.83
"WR","Adam Thielen","MIN",7500,7.5,46,11,11,1.42
"QB","Drew Brees","NOR",7500,12.5,46,14,4,0.34
"QB","Matt Ryan","ATL",7400,3,42,14,4,1.34
"WR","Robert Woods","LAR",7400,12.5,49,13,12,1
"WR","Tyler Lockett","SEA",7400,7.5,38,7,7,0.9
"RB","Jonathan Taylor","IND",7400,27.5,53,11,15,0.54
"QB","Cam Newton","NWE",7300,0.5,42,14,4,8.17
"QB","Matthew Stafford","DET",7300,0.5,40,12,4,7.3
"WR","Allen Robinson","CHI",7300,17.5,51,12,12,0.7
"RB","David Montgomery","CHI",7300,22.5,49,10,13,0.56
