"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",11.4,56.4,"12.65","1.60","Y","plus"
"2","Larry Fitzgerald","Slot Corner",9.5,50,"12.77","1.14","N","minus"
"3","Christian Kirk","Left Corner",10.2,53.6,"16.33","2.27","N","plus"
"4","Julio Jones","Right Corner",14,60.7,"11.57","1.50","N","neutral"
"5","Russell Gage","Slot Corner",9.8,56.3,"16.89","2.26","N","plus"
"6","Calvin Ridley","Left Corner",15.4,45.6,"17.92","1.59","N","neutral"
"7","Dez Bryant","Right Corner",13.3,55.2,"14.30","1.52","N","neutral"
"8","Willie Snead","Slot Corner",9.3,68,"11.18","1.68","N","plus"
"9","Marquise Brown","Left Corner",14.1,50,"11.21","1.49","N","neutral"
"10","Gabriel Davis","Right Corner",11.5,54.2,"13.08","1.75","N","plus"
"11","Cole Beasley","Slot Corner",11.8,61.1,"13.64","1.78","N","plus"
"12","Stefon Diggs","Left Corner",14.5,44.1,"12.62","1.20","N","minus"
"13","DJ Moore","Right Corner",15.2,58.2,"15.91","1.83","N","plus"
"14","Curtis Samuel","Slot Corner",NA,NA,"#N/A","#N/A","N","plus"
"15","Robby Anderson","Left Corner",6,66.7,"22.00","4.13","N","plus"
"16","Allen Robinson","Right Corner",15.8,63.5,"14.38","1.74","N","plus"
"17","Anthony Miller","Slot Corner",7.7,63.6,"13.38","2.03","N","plus"
"18","Darnell Mooney","Left Corner",18.7,62.1,"15.00","2.59","N","plus"
"19","AJ Green","Right Corner",13.9,60,"10.33","2.42","N","plus"
"20","Tyler Boyd","Slot Corner",10.6,62.5,"9.25","1.58","N","neutral"
"21","Tee Higgins","Left Corner",11.1,100,"42.00","5.20","N","plus"
"22","Rashard Higgins","Right Corner",8.3,40,"7.30","0.69","N","minus"
"23","Jarvis Landry","Slot Corner",15.6,63.9,"9.36","1.24","N","minus"
"24","Khadarel Hodge","Left Corner",12,59.3,"13.66","1.74","N","plus"
"25","Michael Gallup","Right Corner",16.6,78.7,"12.03","2.37","N","plus"
"26","CeeDee Lamb","Slot Corner",11.9,61.8,"12.05","1.54","N","neutral"
"27","Amari Cooper","Left Corner",12.8,44.6,"15.24","1.34","Y","minus"
"28","Jerry Jeudy","Right Corner",15.3,62.9,"11.23","1.85","N","plus"
"29","KJ Hamler","Slot Corner",9.3,65.4,"11.88","1.66","N","plus"
"30","Tim Patrick","Left Corner",13.5,57.4,"11.13","1.55","N","neutral"
"31","Mohamed Sanu","Right Corner",11.5,53.6,"14.20","1.73","N","plus"
"32","Danny Amendola","Slot Corner",10.1,51.4,"11.11","1.26","N","minus"
"33","Marvin Jones","Left Corner",13.8,42.3,"11.73","1.15","N","minus"
"34","Marquez ValdesScantling","Right Corner",14.9,50,"17.03","1.45","N","neutral"
