"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"QB","Patrick Mahomes","KC","@DET","9200","17.5%","62%","31%","10%","0.55"
"RB","Christian McCaffrey","CAR","@HOU","9000","22.5%","60%","20%","21%","0.95"
"WR","DeAndre Hopkins","HOU","CAR","8700","17.5%","49%","13%","11%","0.63"
"WR","Julio Jones","ATL","TEN","8500","12.5%","50%","13%","11%","0.87"
"RB","Dalvin Cook","MIN","@CHI","8300","17.5%","59%","17%","18%","1.06"
"QB","Lamar Jackson","BAL","CLE","8300","7.5%","62%","32%","10%","1.33"
"QB","Deshaun Watson","HOU","CAR","8200","7.5%","52%","23%","7%","0.98"
"WR","Keenan Allen","LAC","@MIA","8100","32.5%","73%","31%","27%","0.82"
"RB","Austin Ekeler","LAC","@MIA","8100","42.5%","74%","30%","32%","0.76"
"WR","Odell Beckham","CLE","@BAL","7900","7.5%","52%","13%","11%","1.50"
"QB","Matt Ryan","ATL","TEN","7900","7.5%","48%","18%","6%","0.76"
"RB","Mark Ingram","BAL","CLE","7800","12.5%","49%","11%","12%","0.99"
"QB","Russell Wilson","SEA","@ARI","7800","7.5%","59%","27%","9%","1.14"
"QB","Tom Brady","NE","@BUF","7800","7.5%","47%","16%","5%","0.68"
"QB","Philip Rivers","LAC","@MIA","7800","12.5%","48%","17%","5%","0.42"
"WR","Mike Evans","TB","@LAR","7700","12.5%","45%","10%","8%","0.66"
"QB","Jared Goff","LAR","TB","7700","7.5%","49%","18%","6%","0.74"
"TE","Travis Kelce","KC","@DET","7600","12.5%","59%","26%","14%","1.12"
"QB","Kyler Murray","ARI","SEA","7600","7.5%","50%","20%","6%","0.85"
"QB","Jameis Winston","TB","@LAR","7500","3.0%","40%","13%","4%","1.34"
"QB","Baker Mayfield","CLE","@BAL","7500","3.0%","38%","11%","4%","1.19"
"QB","Josh Allen","BUF","NE","7400","3.0%","45%","17%","5%","1.76"
"WR","Brandin Cooks","LAR","TB","7300","12.5%","47%","9%","8%","0.64"
"RB","Nick Chubb","CLE","@BAL","7300","7.5%","49%","9%","10%","1.37"
"RB","Marlon Mack","IND","OAK","7300","22.5%","59%","15%","16%","0.72"
"QB","Daniel Jones","NYG","WAS","7300","7.5%","49%","18%","6%","0.76"
"QB","Jacoby Brissett","IND","OAK","7300","7.5%","46%","17%","5%","0.71"
"QB","Case Keenum","WAS","@NYG","7200","0.5%","38%","11%","3%","6.72"
"WR","Chris Godwin","TB","@LAR","7100","7.5%","45%","9%","8%","1.02"
"WR","Robert Woods","LAR","TB","7100","7.5%","41%","7%","6%","0.84"
"WR","Adam Thielen","MIN","@CHI","7000","3.0%","40%","7%","6%","2.02"
"WR","Allen Robinson","CHI","MIN","7000","3.0%","40%","6%","5%","1.76"
"WR","Cooper Kupp","LAR","TB","7000","12.5%","53%","15%","12%","0.99"
"RB","Derrick Henry","TEN","@ATL","7000","7.5%","52%","11%","13%","1.67"
"RB","Chris Carson","SEA","@ARI","7000","17.5%","58%","15%","16%","0.93"
"WR","Julian Edelman","NE","@BUF","6900","7.5%","41%","7%","6%","0.82"
"WR","Sammy Watkins","KC","@DET","6900","17.5%","54%","15%","13%","0.74"
"RB","Phillip Lindsay","DEN","JAX","6900","7.5%","44%","7%","7%","0.97"
"QB","Marcus Mariota","TEN","@ATL","6900","0.5%","40%","13%","4%","7.96"
"QB","Kirk Cousins","MIN","@CHI","6900","0.5%","23%","5%","1%","2.89"
"QB","Matthew Stafford","DET","KC","6900","3.0%","50%","17%","5%","1.80"
"TE","Evan Engram","NYG","WAS","6800","17.5%","68%","32%","17%","0.99"
"RB","Todd Gurley","LAR","TB","6800","7.5%","47%","9%","10%","1.33"
"RB","David Johnson","ARI","SEA","6800","12.5%","53%","11%","12%","0.97"
"QB","Mitch Trubisky","CHI","MIN","6800","0.5%","35%","10%","3%","6.12"
"QB","Derek Carr","OAK","@IND","6800","0.5%","34%","8%","3%","5.32"
"QB","Kyle Allen","CAR","@HOU","6800","3.0%","42%","13%","4%","1.38"
"WR","Kenny Golladay","DET","KC","6700","7.5%","49%","12%","10%","1.35"
"WR","Demarcus Robinson","KC","@DET","6700","7.5%","41%","8%","7%","0.89"
"TE","Darren Waller","OAK","@IND","6700","12.5%","51%","15%","8%","0.67"
"QB","Gardner Minshew","JAX","@DEN","6700","3.0%","41%","13%","4%","1.33"
"WR","Tyler Lockett","SEA","@ARI","6600","22.5%","58%","17%","14%","0.64"
"WR","Mecole Hardman","KC","@DET","6500","7.5%","41%","8%","7%","0.88"
"WR","Sterling Shepard","NYG","WAS","6500","12.5%","47%","10%","9%","0.70"
"RB","Kerryon Johnson","DET","KC","6500","3.0%","46%","7%","8%","2.66"
"WR","D.J. Moore","CAR","@HOU","6400","7.5%","44%","9%","7%","0.97"
"TE","Austin Hooper","ATL","TEN","6400","7.5%","44%","12%","7%","0.88"
"RB","Leonard Fournette","JAX","@DEN","6400","7.5%","53%","9%","10%","1.38"
"QB","Joe Flacco","DEN","JAX","6400","0.5%","34%","8%","2%","4.98"
"WR","Terry McLaurin","WAS","@NYG","6300","22.5%","48%","11%","9%","0.40"
"RB","LeSean McCoy","KC","@DET","6300","3.0%","31%","3%","3%","0.99"
"WR","Jarvis Landry","CLE","@BAL","6200","3.0%","34%","5%","4%","1.33"
"WR","Josh Gordon","NE","@BUF","6200","7.5%","45%","9%","7%","0.96"
"RB","Devonta Freeman","ATL","TEN","6200","3.0%","44%","6%","7%","2.27"
"RB","James White","NE","@BUF","6200","3.0%","30%","2%","3%","0.85"
"RB","Justin Jackson","LAC","@MIA","6200","7.5%","33%","3%","3%","0.42"
"QB","Josh Rosen","MIA","LAC","6200","0.5%","27%","5%","2%","3.31"
"WR","DK Metcalf","SEA","@ARI","6100","3.0%","43%","8%","7%","2.21"
"WR","Stefon Diggs","MIN","@CHI","6100","3.0%","35%","5%","4%","1.30"
"WR","Mike Williams","LAC","@MIA","6100","7.5%","42%","8%","7%","0.87"
"TE","Mark Andrews","BAL","CLE","6100","7.5%","49%","14%","8%","1.01"
"RB","Sony Michel","NE","@BUF","6100","3.0%","32%","3%","3%","0.97"
"WR","D.J. Chark","JAX","@DEN","6000","3.0%","42%","7%","6%","1.94"
"TE","Greg Olsen","CAR","@HOU","6000","7.5%","48%","13%","7%","0.95"
"RB","Josh Jacobs","OAK","@IND","6000","3.0%","46%","7%","7%","2.46"
"RB","David Montgomery","CHI","MIN","6000","3.0%","44%","6%","7%","2.23"
"QB","Dwayne Haskins","WAS","@NYG","6000","0.5%","2%","0%","0%","0.04"
"WR","Tyrell Williams","OAK","@IND","5900","3.0%","46%","9%","8%","2.65"
"WR","Will Fuller","HOU","CAR","5900","3.0%","37%","5%","5%","1.51"
"WR","Phillip Dorsett","NE","@BUF","5900","3.0%","36%","5%","4%","1.50"
"WR","Christian Kirk","ARI","SEA","5900","7.5%","47%","9%","8%","1.07"
"WR","Larry Fitzgerald","ARI","SEA","5900","12.5%","52%","12%","10%","0.79"
"WR","Marvin Jones","DET","KC","5900","12.5%","47%","9%","8%","0.62"
"TE","O.J. Howard","TB","@LAR","5900","3.0%","30%","5%","3%","0.91"
"RB","Carlos Hyde","HOU","CAR","5900","3.0%","35%","3%","3%","1.10"
"WR","Calvin Ridley","ATL","TEN","5800","3.0%","46%","10%","8%","2.77"
"WR","Curtis Samuel","CAR","@HOU","5800","3.0%","44%","8%","7%","2.31"
"RB","Tarik Cohen","CHI","MIN","5800","0.5%","26%","1%","2%","3.27"
"RB","Wayne Gallman","NYG","WAS","5800","12.5%","34%","3%","4%","0.29"
"WR","Mohamed Sanu","ATL","TEN","5700","0.5%","28%","3%","2%","4.41"
"WR","Courtland Sutton","DEN","JAX","5700","3.0%","39%","6%","5%","1.60"
"WR","Marquise Brown","BAL","CLE","5700","7.5%","50%","11%","9%","1.23"
"TE","Delanie Walker","TEN","@ATL","5700","3.0%","45%","11%","6%","2.01"
"RB","Peyton Barber","TB","@LAR","5700","0.5%","29%","2%","2%","4.05"
"RB","Frank Gore","BUF","NE","5700","0.5%","28%","2%","2%","3.55"
"WR","John Brown","BUF","NE","5600","3.0%","47%","9%","7%","2.40"
"WR","Parris Campbell","IND","OAK","5600","0.5%","19%","1%","1%","1.68"
"RB","Rex Burkhead","NE","@BUF","5600","7.5%","29%","2%","2%","0.30"
"WR","Emmanuel Sanders","DEN","JAX","5500","3.0%","43%","7%","6%","2.07"
"RB","Royce Freeman","DEN","JAX","5500","0.5%","39%","4%","4%","8.28"
"RB","Adrian Peterson","WAS","@NYG","5500","0.5%","35%","3%","3%","6.50"
"RB","Malcolm Brown","LAR","TB","5500","0.5%","27%","2%","2%","3.28"
