Pos,Player,Tm,Opp,FD Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,FD LEV
RB,Chris Thompson,JAX,IND,4800,0.50%,29%,1%,2%,4.16
WR,Greg Ward,PHI,@WAS,4800,0.50%,18%,1%,1%,1.51
TE,Irv Smith Jr.,MIN,GB,4800,3.00%,27%,3%,2%,0.83
DEF,Baltimore Ravens,BAL,CLE,4800,12.50%,38%,2%,10%,0.78
RB,Jalen Richard,LV,@CAR,4800,0.50%,13%,0%,0%,0.51
TE,Chris Herndon,NYJ,@BUF,4800,7.50%,32%,5%,4%,0.49
RB,Frank Gore,NYJ,@BUF,4800,0.50%,11%,0%,0%,0.37
WR,Phillip Dorsett,SEA,@ATL,4800,0.50%,7%,0%,0%,0.1
RB,Mike Boone,MIN,GB,4800,0.50%,6%,0%,0%,0.06
RB,Ito Smith,ATL,SEA,4800,0.50%,6%,0%,0%,0.05
WR,Tajae Sharpe,MIN,GB,4800,0.50%,4%,0%,0%,0.03
WR,KeeSean Johnson,ARI,@SF,4800,0.50%,4%,0%,0%,0.02
RB,Gus Edwards,BAL,CLE,4800,0.50%,4%,0%,0%,0.01
RB,Zack Moss,BUF,NYJ,4700,0.50%,29%,2%,3%,5.53
WR,Tre'Quan Smith,NO,TB,4700,0.50%,26%,2%,2%,4.4
TE,O.J. Howard,TB,@NO,4700,0.50%,25%,3%,2%,4.34
TE,Dawson Knox,BUF,NYJ,4700,0.50%,25%,3%,2%,4.05
RB,Brian Hill,ATL,SEA,4700,0.50%,19%,1%,1%,1.77
RB,Boston Scott,PHI,@WAS,4700,3.00%,34%,3%,4%,1.48
DEF,Buffalo Bills,BUF,NYJ,4700,22.50%,50%,7%,32%,1.44
WR,David Moore,SEA,@ATL,4700,0.50%,13%,0%,0%,0.59
WR,Devin Duvernay,BAL,CLE,4700,0.50%,9%,0%,0%,0.25
WR,Marquez Valdes-Scantling,GB,@MIN,4700,0.50%,9%,0%,0%,0.24
TE,Trey Burton,IND,@JAX,4700,0.50%,7%,0%,0%,0.18
WR,Seth Roberts,CAR,LV,4700,0.50%,6%,0%,0%,0.09
WR,Jakobi Meyers,NE,MIA,4700,0.50%,5%,0%,0%,0.05
RB,Peyton Barber,WAS,PHI,4700,0.50%,5%,0%,0%,0.04
WR,Justin Watson,TB,@NO,4700,0.50%,3%,0%,0%,0.02
