"pos","player","tm","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"WR","Tyreek Hill","KAN",9400,22.5,64,26,30,1.32
"QB","Patrick Mahomes","KAN",9400,17.5,62,33,11,0.62
"RB","Nick Chubb","CLE",9000,27.5,50,13,22,0.8
"TE","Travis Kelce","KAN",8800,17.5,56,27,20,1.13
"QB","Lamar Jackson","BAL",8800,7.5,55,27,9,1.16
"WR","Calvin Ridley","ATL",8700,27.5,56,18,20,0.74
"QB","Deshaun Watson","HOU",8500,7.5,57,28,9,1.22
"QB","Jalen Hurts","PHI",8200,17.5,59,30,10,0.55
"QB","Justin Herbert","LAC",8200,7.5,53,23,8,1.02
"WR","Keenan Allen","LAC",8000,7.5,38,8,9,1.15
"QB","Russell Wilson","SEA",7900,7.5,49,20,6,0.86
"RB","David Montgomery","CHI",7800,37.5,59,17,28,0.75
"WR","DK Metcalf","SEA",7700,12.5,45,10,11,0.92
"QB","Matt Ryan","ATL",7700,7.5,43,15,5,0.65
"QB","Baker Mayfield","CLE",7600,7.5,35,10,3,0.44
"WR","Allen Robinson","CHI",7500,12.5,53,13,15,1.22
"RB","Jonathan Taylor","IND",7500,7.5,44,7,12,1.58
"QB","Ben Roethlisberger","PIT",7500,3,38,11,4,1.19
"QB","Jared Goff","LAR",7400,3,44,15,5,1.63
"RB","Miles Sanders","PHI",7300,17.5,51,12,19,1.08
"WR","Robert Woods","LAR",7300,17.5,49,12,13,0.75
"RB","Kareem Hunt","CLE",7200,12.5,39,6,10,0.81
"WR","DJ Moore","CAR",7200,12.5,44,9,10,0.83
"QB","Mitchell Trubisky","CHI",7200,7.5,51,20,7,0.87
"RB","Chris Carson","SEA",7100,7.5,47,9,15,2.05
"QB","Teddy Bridgewater","CAR",7100,3,45,16,5,1.75
"RB","Austin Ekeler","LAC",7000,27.5,57,11,18,0.66
"WR","Brandin Cooks","HOU",7000,12.5,37,6,7,0.53
"TE","Mark Andrews","BAL",7000,7.5,47,15,11,1.53
"RB","Ezekiel Elliott","DAL",7000,3,26,2,4,1.2
"QB","Philip Rivers","IND",7000,3,40,11,4,1.23
"WR","Tyler Lockett","SEA",6900,7.5,39,6,7,0.98
"RB","Mike Davis","CAR",6900,3,39,6,9,3.16
"QB","Andy Dalton","DAL",6900,3,45,14,5,1.56
"WR","Cooper Kupp","LAR",6800,7.5,44,8,10,1.27
"WR","JuJu SmithSchuster","PIT",6800,3,36,6,6,2.16
"QB","Drew Lock","DEN",6800,3,43,14,5,1.51
"RB","David Johnson","HOU",6700,7.5,51,10,17,2.24
"WR","Diontae Johnson","PIT",6700,7.5,42,8,9,1.19
"QB","Sam Darnold","NYJ",6700,0.5,42,14,5,9.18
"QB","Alex Smith","WAS",6700,0.5,28,6,2,3.79
"RB","Antonio Gibson","WAS",6600,7.5,41,7,11,1.48
"WR","Amari Cooper","DAL",6600,7.5,46,10,11,1.49
"WR","Robby Anderson","CAR",6600,3,38,5,6,2.06
"QB","Brandon Allen","CIN",6600,0.5,33,8,3,5.52
"QB","Daniel Jones","NYG",6500,0.5,33,8,3,5.48
