"team","home_or_away","line","total","favorite","implied_total"
"IND","home",-7,51.5,1,29.25
"TEN","home",-9.5,53.5,1,31.5
"LAR","home",-17,44.5,1,30.75
"ATL","home",6.5,49,0,21.25
"MIA","home",-1.5,41,1,21.25
"WAS","home",6.5,43.5,0,18.5
"MIN","home",0,47,1,23.5
"BAL","home",-13,48,1,30.5
"ARI","home",-6.5,49.5,1,28
"NOR","home",3,53.5,0,25.25
"DAL","home",3.5,45,0,20.75
"HOU","away",7,51.5,0,22.25
"DET","away",9.5,53.5,0,22
"NYJ","away",17,44.5,0,13.75
"TAM","away",-6.5,49,1,27.75
"NWE","away",1.5,41,0,19.75
"SEA","away",-6.5,43.5,1,25
"CHI","away",0,47,0,23.5
"JAX","away",13,48,0,17.5
"PHI","away",6.5,49.5,0,21.5
"KAN","away",-3,53.5,1,28.25
"SFO","away",-3.5,45,1,24.25
