"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",9.4,50,"14.64","1.66","Y","plus"
"2","Larry Fitzgerald","Slot Corner",13.7,73,"12.78","1.82","N","plus"
"3","Christian Kirk","Left Corner",15,82.4,"9.43","1.95","N","plus"
"4","Devin Duvernay","Right Corner",14.6,57.7,"11.47","1.47","N","neutral"
"5","Willie Snead","Slot Corner",21.3,50,"12.90","1.30","N","minus"
"6","Marquise Brown","Left Corner",12.8,56,"14.50","1.61","N","plus"
"7","John Brown","Right Corner",14.9,79.4,"10.67","1.99","N","plus"
"8","Cole Beasley","Slot Corner",13.9,50,"13.39","1.34","N","minus"
"9","Stefon Diggs","Left Corner",10.5,52.8,"14.63","1.63","Y","plus"
"10","DJ Moore","Right Corner",13.5,55,"11.77","1.65","Y","plus"
"11","Curtis Samuel","Slot Corner",8.2,82.6,"14.26","2.79","N","plus"
"12","Robby Anderson","Left Corner",14.3,50,"9.23","1.19","N","minus"
"13","Allen Robinson","Right Corner",20.4,64.7,"12.45","2.16","N","plus"
"14","Anthony Miller","Slot Corner",16.4,67.4,"13.77","2.25","N","plus"
"15","Darnell Mooney","Left Corner",13.8,86.7,"9.92","2.13","N","plus"
"16","AJ Green","Right Corner",10.5,66.7,"14.18","2.16","N","plus"
"17","Tyler Boyd","Slot Corner",14.2,61.1,"13.64","1.78","N","plus"
"18","Tee Higgins","Left Corner",13.4,48.8,"13.14","1.41","N","neutral"
"19","Rashard Higgins","Right Corner",18.5,63,"15.14","1.85","N","plus"
"20","Jarvis Landry","Slot Corner",8.3,66.7,"14.06","2.10","N","plus"
"21","KhaDarel Hodge","Left Corner",9.1,66.7,"9.93","2.19","N","neutral"
"22","Jerry Jeudy","Right Corner",10.6,62.5,"12.93","1.93","N","plus"
"23","KJ Hamler","Slot Corner",11.7,66.7,"10.95","1.60","N","plus"
"24","Tim Patrick","Left Corner",9.9,63,"12.24","1.84","N","plus"
"25","Kenny Golladay","Right Corner",12,38.1,"7.63","0.67","N","minus"
"26","Danny Amendola","Slot Corner",10.4,57.9,"8.73","1.08","N","minus"
"27","Marvin Jones","Left Corner",13.6,62.9,"13.41","1.47","N","neutral"
"28","Davante Adams","Right Corner",18.6,45.5,"16.30","1.20","N","minus"
"29","Allen Lazard","Slot Corner",9.4,66.7,"16.81","2.29","N","plus"
"30","Marquez ValdesScantling","Left Corner",17.9,62.5,"14.28","1.97","N","plus"
"31","Will Fuller","Right Corner",14.6,54,"13.96","1.29","N","minus"
"32","Randall Cobb","Slot Corner",7.2,70,"8.43","1.29","N","minus"
"33","Brandin Cooks","Left Corner",12.7,53.7,"12.27","1.78","N","plus"
"34","Michael Pittman","Right Corner",19.7,41.7,"9.60","0.82","N","minus"
"35","Zach Pascal","Slot Corner",7.7,68.8,"10.82","1.43","N","minus"
"36","TY Hilton","Left Corner",18.7,60.3,"12.55","1.55","Y","plus"
"37","DJ Chark","Right Corner",15.5,62.5,"9.73","1.48","Y","neutral"
"38","Keelan Cole","Slot Corner",8.1,46.7,"12.00","1.03","N","minus"
"39","Laviska Shenault","Left Corner",10.7,61.5,"13.75","1.92","N","plus"
"40","Mike Williams","Right Corner",10.1,50,"11.50","1.38","N","minus"
"41","Keenan Allen","Slot Corner",12.8,64,"14.38","1.56","N","neutral"
"42","Jalen Guyton","Left Corner",11.6,45.7,"16.94","1.57","N","plus"
"43","Josh Reynolds","Right Corner",13.9,71.4,"12.92","1.81","N","plus"
"44","Cooper Kupp","Slot Corner",9.4,62.5,"11.00","1.31","N","minus"
"45","Robert Woods","Left Corner",15.2,53.8,"15.05","1.96","N","plus"
"46","Nelson Agholor","Right Corner",15,55.3,"16.04","1.82","N","plus"
"47","Hunter Renfrow","Slot Corner",9.9,57.1,"9.19","1.10","N","minus"
"48","Henry Ruggs","Left Corner",16.3,64.3,"11.78","1.83","N","plus"
