"pos","player","tm","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"RB","Derrick Henry","TEN",9500,27.5,57,19,25,0.89
"RB","Dalvin Cook","MIN",9200,12.5,46,11,15,1.18
"QB","Patrick Mahomes","KAN",9200,12.5,64,35,11,0.9
"WR","Davante Adams","GNB",9100,27.5,56,18,18,0.67
"RB","Alvin Kamara","NOR",9000,17.5,56,16,22,1.23
"QB","Russell Wilson","SEA",8700,12.5,60,30,10,0.76
"QB","Aaron Rodgers","GNB",8400,7.5,48,19,6,0.83
"QB","Lamar Jackson","BAL",8300,7.5,51,22,7,0.95
"RB","Kareem Hunt","CLE",8200,32.5,62,20,26,0.81
"QB","Josh Allen","BUF",8200,3,50,21,7,2.29
"WR","Tyreek Hill","KAN",8100,17.5,55,18,19,1.08
"TE","Travis Kelce","KAN",7900,12.5,52,21,12,0.95
"WR","DK Metcalf","SEA",7800,22.5,52,14,15,0.67
"RB","Josh Jacobs","LVR",7800,7.5,42,8,11,1.43
"TE","George Kittle","SFO",7700,22.5,63,29,16,0.73
"WR","Adam Thielen","MIN",7700,12.5,48,12,13,1.02
"QB","Justin Herbert","LAC",7700,7.5,52,21,7,0.92
"WR","Kenny Golladay","DET",7600,7.5,48,11,11,1.52
"QB","Joe Burrow","CIN",7600,7.5,47,18,6,0.79
"RB","Chris Carson","SEA",7600,7.5,14,1,1,0.13
"QB","Drew Brees","NOR",7600,3,37,10,3,1.12
"WR","AJ Brown","TEN",7500,22.5,53,14,15,0.67
"RB","Clyde EdwardsHelaire","KAN",7500,7.5,41,6,8,1.08
"QB","Ryan Tannehill","TEN",7500,7.5,54,23,7,0.97
"WR","Keenan Allen","LAC",7400,22.5,51,12,13,0.57
"QB","Cam Newton","NWE",7400,3,42,15,5,1.63
"RB","Jonathan Taylor","IND",7300,12.5,60,17,22,1.77
"WR","Cooper Kupp","LAR",7300,7.5,42,9,9,1.23
"QB","Jared Goff","LAR",7300,7.5,46,16,5,0.68
"QB","Derek Carr","LVR",7300,7.5,42,13,4,0.56
"WR","Tyler Lockett","SEA",7200,22.5,54,15,15,0.68
"QB","Baker Mayfield","CLE",7200,7.5,40,12,4,0.52
"QB","Matthew Stafford","DET",7200,3,44,15,5,1.58
"WR","Stefon Diggs","BUF",7100,7.5,49,11,11,1.52
"QB","Ben Roethlisberger","PIT",7100,3,40,12,4,1.25
"QB","Kirk Cousins","MIN",7100,3,38,11,4,1.17
"RB","Jamaal Williams","GNB",7000,27.5,63,18,24,0.87
"TE","Mark Andrews","BAL",7000,7.5,39,12,7,0.9
"WR","Robert Woods","LAR",7000,7.5,44,10,10,1.36
"QB","Drew Lock","DEN",7000,0.5,33,8,3,5.25
"RB","James Conner","PIT",6900,3,38,5,6,2
"QB","Philip Rivers","IND",6900,3,44,13,4,1.43
"TE","Darren Waller","LVR",6800,12.5,40,11,6,0.48
"WR","Allen Robinson","CHI",6800,3,46,9,9,3.11
"QB","Tua Tagovailoa","MIA",6800,0.5,40,13,4,8.02
"RB","Melvin Gordon","DEN",6700,3,34,4,5,1.58
"QB","Nick Foles","CHI",6700,0.5,36,10,3,6.3
"WR","Justin Jefferson","MIN",6600,12.5,46,9,9,0.75
"QB","Jimmy Garoppolo","SFO",6600,7.5,49,16,5,0.67
"WR","JuJu SmithSchuster","PIT",6500,3,34,5,5,1.69
"QB","Sam Darnold","NYJ",6500,0.5,27,6,2,3.89
"RB","Alexander Mattison","MIN",6500,0.5,6,0,0,0.14
"WR","Tyler Boyd","CIN",6400,12.5,46,9,10,0.76
"RB","DAndre Swift","DET",6300,7.5,41,5,7,0.96
"WR","Diontae Johnson","PIT",6200,7.5,41,7,7,0.98
"RB","Darrell Henderson","LAR",6100,7.5,45,6,8,1.04
"TE","Jonnu Smith","TEN",6100,7.5,40,10,6,0.77
"WR","DeVante Parker","MIA",6100,3,41,7,7,2.39
"WR","Tee Higgins","CIN",6000,12.5,45,9,9,0.76
"TE","TJ Hockenson","DET",6000,3,38,9,5,1.74
"WR","Chase Claypool","PIT",6000,3,41,7,8,2.51
"RB","LeVeon Bell","KAN",6000,3,35,4,5,1.56
"RB","Jerick McKinnon","SFO",6000,3,7,0,0,0.02
"RB","Phillip Lindsay","DEN",6000,0.5,24,1,2,3.19
"RB","Giovani Bernard","CIN",5900,22.5,53,9,12,0.52
"WR","Brandon Aiyuk","SFO",5900,17.5,55,14,15,0.84
"WR","Marquise Brown","BAL",5900,7.5,49,10,10,1.34
"RB","Joshua Kelley","LAC",5900,3,33,3,4,1.25
"WR","Mike Williams","LAC",5900,3,37,6,6,1.97
"TE","Robert Tonyan","GNB",5900,3,31,6,3,1.13
"WR","Jarvis Landry","CLE",5800,7.5,43,8,8,1.06
"WR","AJ Green","CIN",5800,7.5,39,6,6,0.85
"RB","David Montgomery","CHI",5800,3,42,5,6,2.01
"TE","Jared Cook","NOR",5800,3,38,9,5,1.66
"RB","Justin Jackson","LAC",5800,3,32,2,3,0.96
"RB","Myles Gaskin","MIA",5700,7.5,47,6,8,1.05
"RB","Devin Singletary","BUF",5700,3,29,2,2,0.81
"WR","Henry Ruggs","LVR",5700,3,32,4,4,1.4
"TE","Noah Fant","DEN",5700,0.5,36,7,4,7.97
"TE","Tyler Higbee","LAR",5700,0.5,29,5,3,5.37
"TE","Hunter Henry","LAC",5600,7.5,42,10,6,0.74
"RB","JaMycal Hasty","SFO",5600,3,32,2,3,1.02
"WR","Jerry Jeudy","DEN",5600,3,37,5,5,1.79
"WR","John Brown","BUF",5600,3,27,3,3,0.87
"WR","Rashard Higgins","CLE",5500,7.5,32,4,4,0.53
"WR","TY Hilton","IND",5500,3,37,5,6,1.89
"WR","Marvin Jones","DET",5500,3,32,4,4,1.34
"TE","Mike Gesicki","MIA",5500,0.5,34,6,3,6.89
"RB","Damien Harris","NWE",5500,0.5,27,1,2,3.39
"WR","Corey Davis","TEN",5400,7.5,43,7,7,0.99
"WR","Mecole Hardman","KAN",5400,3,32,4,4,1.35
"WR","Tim Patrick","DEN",5400,3,29,3,3,1.05
"TE","Jimmy Graham","CHI",5400,0.5,35,7,4,7.89
"RB","Zack Moss","BUF",5400,0.5,28,2,2,4.9
"RB","Adrian Peterson","DET",5400,0.5,20,1,1,1.84
"WR","Cole Beasley","BUF",5300,3,35,4,5,1.51
"WR","TreQuan Smith","NOR",5300,3,34,4,4,1.49
"WR","Demarcus Robinson","KAN",5300,3,32,4,4,1.37
"TE","Trey Burton","IND",5300,0.5,35,6,4,7.12
"RB","James White","NWE",5300,0.5,29,2,2,4.36
"RB","LaMical Perine","NYJ",5300,0.5,29,2,2,4.67
"WR","Preston Williams","MIA",5200,3,33,4,5,1.51
"WR","Zach Pascal","IND",5200,3,30,3,3,1.15
"RB","Malcolm Brown","LAR",5200,0.5,28,2,2,4.2
"WR","Darnell Mooney","CHI",5200,0.5,22,1,1,2.72
"RB","Rex Burkhead","NWE",5200,0.5,14,0,0,0.72
"WR","Donovan PeoplesJones","CLE",5200,0.5,13,0,0,0.7
"RB","JK Dobbins","BAL",5100,3,38,3,4,1.45
"WR","Marquez ValdesScantling","GNB",5100,3,34,4,4,1.47
"WR","Hunter Renfrow","LVR",5100,3,26,2,2,0.71
"TE","Eric Ebron","PIT",5100,0.5,34,5,3,5.95
"RB","Latavius Murray","NOR",5100,0.5,29,2,2,4.13
"WR","Jalen Guyton","LAC",5100,0.5,28,3,3,5.24
"WR","Anthony Miller","CHI",5100,0.5,21,1,1,2.42
"RB","Benny Snell Jr","PIT",5100,0.5,9,0,0,0.18
"RB","Royce Freeman","DEN",5100,0.5,2,0,0,0
"DEF","Kansas City Chiefs","KAN",5000,22.5,61,23,62,2.76
"TE","Harrison Bryant","CLE",5000,7.5,37,7,4,0.52
"WR","Kendrick Bourne","SFO",5000,3,34,4,4,1.41
"WR","Nelson Agholor","LVR",5000,3,34,4,4,1.43
"TE","David Njoku","CLE",5000,3,25,3,2,0.53
"WR","Adam Humphries","TEN",5000,3,26,2,2,0.64
"WR","Josh Reynolds","LAR",5000,0.5,24,2,2,3.51
"RB","Frank Gore","NYJ",5000,0.5,17,0,0,0.95
"WR","James Washington","PIT",5000,0.5,13,0,0,0.61
"RB","Cam Akers","LAR",5000,0.5,3,0,0,0.01
"RB","Tevin Coleman","SFO",5000,0.5,25,1,2,3.08
"WR","Denzel Mims","NYJ",4900,7.5,39,5,5,0.73
"DEF","Los Angeles Rams","LAR",4900,7.5,33,1,4,0.53
"RB","Nyheim Hines","IND",4900,0.5,29,2,2,4.34
"RB","Travis Homer","SEA",4900,0.5,25,1,2,3.26
"TE","Greg Olsen","SEA",4900,0.5,25,3,2,3.21
"WR","Damiere Byrd","NWE",4900,0.5,26,2,2,4.08
"WR","David Moore","SEA",4900,0.5,24,2,2,3.37
"WR","Danny Amendola","DET",4900,0.5,21,1,1,2.29
"RB","Kerryon Johnson","DET",4900,0.5,5,0,0,0.03
"WR","Gabriel Davis","BUF",4900,0.5,2,0,0,0.01
"DEF","Indianapolis Colts","IND",4800,3,26,0,1,0.36
"TE","Anthony Firkser","TEN",4800,0.5,24,3,1,2.9
"RB","Matt Breida","MIA",4800,0.5,18,0,1,1.22
"TE","Tyler Kroft","BUF",4800,0.5,19,2,1,1.76
"TE","Jack Doyle","IND",4800,0.5,17,1,1,1.3
"WR","KJ Hamler","DEN",4800,0.5,18,1,1,1.46
"WR","Isaiah Ford","MIA",4800,0.5,18,1,1,1.39
"WR","Devin Duvernay","BAL",4800,0.5,17,1,1,1.22
"RB","AJ Dillon","GNB",4800,0.5,11,0,0,0.23
"RB","Devontae Booker","LVR",4800,0.5,9,0,0,0.16
"RB","DErnest Johnson","CLE",4800,0.5,6,0,0,0.04
"WR","Byron Pringle","KAN",4800,0.5,6,0,0,0.06
"WR","Kalif Raymond","TEN",4800,0.5,3,0,0,0.01
"WR","Braxton Berrios","NYJ",4700,3,35,4,4,1.46
"DEF","Baltimore Ravens","BAL",4700,3,23,0,0,0.16
"WR","Deonte Harris","NOR",4700,0.5,32,3,3,6.95
