"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",16.4,47.4,16.56,1.26,"N","minus"
"2","Larry Fitzgerald","Slot Corner",11.3,62.5,11,1.31,"N","minus"
"3","Christian Kirk","Left Corner",16.9,69.8,13,2.16,"N","plus"
"4","Julio Jones","Right Corner",15.7,42.9,13.42,1,"N","minus"
"5","Russell Gage","Slot Corner",11.3,56.3,9.89,1.87,"N","plus"
"6","Calvin Ridley","Left Corner",15.6,71.4,13.4,2.53,"N","plus"
"7","John Brown","Right Corner",14.3,57.9,11.09,1.22,"N","minus"
"8","Cole Beasley","Slot Corner",12.2,72.7,9.56,1.42,"N","minus"
"9","Stefon Diggs","Left Corner",16.9,75,13.95,2.44,"N","plus"
"10","DJ Moore","Right Corner",12.5,70,17.36,2.52,"N","plus"
"11","Curtis Samuel","Slot Corner",6.9,50,9.5,1.48,"N","neutral"
"12","Robby Anderson","Left Corner",15.1,50,11.89,1.09,"N","minus"
"13","Allen Robinson","Right Corner",11.3,76,11.53,1.64,"N","plus"
"14","Anthony Miller","Slot Corner",10.9,46.2,9,1.34,"N","minus"
"15","Darnell Mooney","Left Corner",9.8,50,16.18,1.58,"N","plus"
"16","AJ Green","Right Corner",15.8,53.7,14.23,1.3,"N","minus"
"17","Tyler Boyd","Slot Corner",6.8,80,7,1.36,"N","minus"
"18","Tee Higgins","Left Corner",12.6,50,12.33,1.92,"N","plus"
"19","Rashard Higgins","Right Corner",13.5,48.5,10.25,1.35,"N","minus"
"20","Jarvis Landry","Slot Corner",10.5,64.3,15.11,2.04,"N","plus"
"21","Odell Beckham","Left Corner",23.9,74.1,12.7,2.35,"N","plus"
"22","Michael Gallup","Right Corner",10.4,18.2,12.5,0.41,"N","minus"
"23","CeeDee Lamb","Slot Corner",11.2,66.7,9.4,1.29,"N","minus"
"24","Amari Cooper","Left Corner",12.6,58.3,15,1.46,"N","neutral"
"25","KJ Hamler","Right Corner",9.1,33.3,2,0.4,"N","minus"
