"team","home_or_away","line","total","favorite","implied_total"
"Carolina","home",-1.5,45,1,23.25
"Jacksonville","home",3,54.5,0,25.75
"Minnesota","home",-4,54,1,29
"Tennessee","home",-3,52.5,1,27.75
"NY_Giants","home",0,43,1,21.5
"Pittsburgh","home",-3,51,1,27
"Philadelphia","home",7.5,47.5,0,20
"Indianapolis","home",-7.5,46.5,1,27
"Tampa_Bay","home",1,55,0,27
"Miami","home",-9.5,47,1,28.25
"New_England","home",-10,45,1,27.5
"Chicago","away",1.5,45,0,21.75
"Detroit","away",-3,54.5,1,28.75
"Atlanta","away",4,54,0,25
"Houston","away",3,52.5,0,24.75
"Washington","away",0,43,0,21.5
"Cleveland","away",3,51,0,24
"Baltimore","away",-7.5,47.5,1,27.5
"Cincinnati","away",7.5,46.5,0,19.5
"Green_Bay","away",-1,55,1,28
"NY_Jets","away",9.5,47,0,18.75
"Denver","away",10,45,0,17.5
