"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Christian McCaffrey","CAR","NO","11000","27.5%","51%","17%","17%","0.61"
"RB","Saquon Barkley","NYG","PHI","9300","7.5%","47%","11%","11%","1.41"
"WR","Michael Thomas","NO","@CAR","9200","32.5%","64%","24%","25%","0.76"
"RB","Derrick Henry","TEN","@HOU","8800","12.5%","49%","13%","12%","0.99"
"RB","Ezekiel Elliott","DAL","WAS","8700","32.5%","64%","22%","22%","0.68"
"QB","Patrick Mahomes","KC","LAC","8600","7.5%","50%","21%","6%","0.85"
"WR","Julio Jones","ATL","@TB","8500","22.5%","54%","16%","17%","0.74"
"QB","Drew Brees","NO","@CAR","8400","7.5%","47%","17%","5%","0.68"
"WR","Davante Adams","GB","@DET","8400","32.5%","53%","15%","16%","0.50"
"QB","Aaron Rodgers","GB","@DET","8300","12.5%","47%","18%","6%","0.44"
"WR","DeAndre Hopkins","HOU","TEN","8300","17.5%","26%","3%","3%","0.19"
"WR","Tyreek Hill","KC","LAC","8200","17.5%","46%","11%","12%","0.67"
"QB","Jameis Winston","TB","ATL","8100","7.5%","50%","20%","6%","0.84"
"QB","Deshaun Watson","HOU","TEN","8000","0.5%","32%","10%","3%","6.06"
"RB","Aaron Jones","GB","@DET","8000","27.5%","81%","38%","38%","1.37"
"QB","Dak Prescott","DAL","WAS","8000","12.5%","47%","18%","6%","0.45"
"RB","Nick Chubb","CLE","@CIN","7900","3.0%","53%","12%","12%","4.06"
"QB","Jared Goff","LAR","ARI","7900","3.0%","34%","10%","3%","0.99"
"RB","Alvin Kamara","NO","@CAR","7900","22.5%","59%","16%","16%","0.69"
"QB","Ryan Tannehill","TEN","@HOU","7900","12.5%","46%","18%","5%","0.44"
"WR","Allen Robinson","CHI","@MIN","7800","7.5%","48%","11%","12%","1.56"
"RB","Todd Gurley","LAR","ARI","7800","0.5%","14%","1%","1%","1.31"
"QB","Matt Ryan","ATL","@TB","7800","12.5%","49%","18%","6%","0.45"
"QB","Kyler Murray","ARI","@LAR","7700","0.5%","18%","3%","1%","2.07"
"WR","Robert Woods","LAR","ARI","7700","7.5%","37%","7%","8%","1.01"
"QB","Kirk Cousins","MIN","CHI","7700","0.5%","11%","1%","0%","0.83"
"QB","Carson Wentz","PHI","@NYG","7700","7.5%","46%","16%","5%","0.68"
"QB","Josh Allen","BUF","NYJ","7600","0.5%","22%","5%","1%","2.96"
"WR","Breshad Perriman","TB","ATL","7600","7.5%","41%","8%","9%","1.16"
"QB","Tom Brady","NE","MIA","7600","7.5%","48%","17%","5%","0.71"
"QB","Daniel Jones","NYG","PHI","7500","0.5%","43%","15%","5%","9.02"
"WR","Stefon Diggs","MIN","CHI","7500","0.5%","13%","1%","1%","1.46"
"TE","Travis Kelce","KC","LAC","7500","12.5%","46%","15%","11%","0.85"
"WR","Amari Cooper","DAL","WAS","7500","12.5%","44%","10%","10%","0.83"
"WR","Julian Edelman","NE","MIA","7500","17.5%","49%","12%","13%","0.72"
"QB","Baker Mayfield","CLE","@CIN","7400","0.5%","39%","12%","4%","7.42"
"QB","Ryan Fitzpatrick","MIA","@NE","7400","0.5%","32%","9%","3%","5.68"
"QB","Philip Rivers","LAC","@KC","7400","0.5%","32%","8%","2%","4.87"
"WR","Kenny Golladay","DET","GB","7400","3.0%","42%","8%","9%","2.88"
"RB","Miles Sanders","PHI","@NYG","7400","7.5%","51%","11%","11%","1.49"
