"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",15.2,53.8,"15.05","1.96","N","plus"
"2","Larry Fitzgerald","Slot Corner",9.4,62.5,"11.00","1.31","N","minus"
"3","Christian Kirk","Left Corner",11,69.2,"15.00","1.73","N","plus"
"4","Julio Jones","Right Corner",13.1,63.2,"14.79","2.20","Y","plus"
"5","Russell Gage","Slot Corner",11.3,65.6,"10.86","1.56","N","plus"
"6","Calvin Ridley","Left Corner",11,54.8,"12.71","1.44","N","neutral"
"7","Devin Duvernay","Right Corner",18.1,60.3,"12.00","1.50","N","neutral"
"8","Willie Snead","Slot Corner",7.4,72.2,"12.15","1.60","N","plus"
"9","Marquise Brown","Left Corner",NA,NA,"-","-","N","plus"
"10","DJ Moore","Right Corner",15.6,63.2,"13.75","1.82","Y","plus"
"11","Curtis Samuel","Slot Corner",11.3,72.7,"7.38","1.26","N","minus"
"12","Robby Anderson","Left Corner",14.6,48.9,"15.55","1.25","N","minus"
"13","AJ Green","Right Corner",12.4,46.2,"13.75","1.56","N","neutral"
"14","Tyler Boyd","Slot Corner",10,55,"8.73","1.03","N","minus"
"15","Tee Higgins","Left Corner",13.1,63.2,"12.88","1.44","N","neutral"
"16","Rashard Higgins","Right Corner",15,61.5,"14.00","1.48","N","neutral"
"17","Jarvis Landry","Slot Corner",9.1,75,"13.20","2.04","N","plus"
"18","KhaDarel Hodge","Left Corner",13.6,67.4,"12.72","1.67","N","plus"
"19","Michael Gallup","Right Corner",20.4,64.7,"12.45","2.16","N","plus"
"20","CeeDee Lamb","Slot Corner",16.4,67.4,"13.77","2.25","N","plus"
"21","Amari Cooper","Left Corner",13.8,86.7,"9.92","2.13","N","plus"
"22","Jerry Jeudy","Right Corner",12,57.1,"12.06","1.48","N","neutral"
"23","KJ Hamler","Slot Corner",12,59.3,"14.38","1.44","N","neutral"
"24","Tim Patrick","Left Corner",12.2,46.3,"15.47","1.62","N","plus"
"25","Kenny Golladay","Right Corner",12.7,55,"11.36","1.48","Y","neutral"
"26","Danny Amendola","Slot Corner",8.1,63.2,"12.83","1.44","N","neutral"
"27","Marvin Jones","Left Corner",15.3,62.9,"11.23","1.85","Y","plus"
"28","Davante Adams","Right Corner",13.9,38.5,"17.13","1.35","N","minus"
"29","Allen Lazard","Slot Corner",11,51.6,"14.94","1.48","N","neutral"
"30","Marquez ValdesScantling","Left Corner",14,60,"9.72","1.18","N","minus"
"31","Will Fuller V","Right Corner",15.9,51.3,"14.15","1.70","N","plus"
"32","Randall Cobb","Slot Corner",17.9,53.5,"12.57","1.35","N","minus"
"33","Brandin Cooks","Left Corner",12.8,56,"14.50","1.61","N","plus"
"34","TY Hilton","Right Corner",12.4,41.9,"10.46","1.05","Y","minus"
"35","Zach Pascal","Slot Corner",9.8,50,"11.00","1.32","N","minus"
"36","Michael Pittman Jr","Left Corner",10.7,61.5,"13.75","1.92","Y","plus"
"37","DJ Chark","Right Corner",11.1,60,"13.42","2.01","N","plus"
"38","Keelan Cole","Slot Corner",14.2,61.1,"13.64","1.78","N","plus"
"39","Laviska Shenault","Left Corner",14.2,48.1,"12.44","1.31","N","minus"
"40","Sammy Watkins","Right Corner",10.3,75,"19.78","2.73","N","plus"
"41","Tyreek Hill","Slot Corner",11.7,66.7,"10.95","1.60","N","plus"
"42","Mecole Hardman","Left Corner",11,62.9,"13.55","1.82","N","plus"
"43","Mike Williams","Right Corner",12.6,60.6,"12.30","1.72","N","plus"
"44","Keenan Allen","Slot Corner",5.9,100,"15.00","2.50","N","plus"
"45","Jalen Guyton","Left Corner",6.7,100,"20.00","3.00","N","plus"
"46","Josh Reynolds","Right Corner",13.1,53.5,"11.57","1.71","N","plus"
"47","Cooper Kupp","Slot Corner",7.9,79.2,"14.26","2.67","N","plus"
"48","Robert Woods","Left Corner",14.5,52.6,"10.30","1.28","N","minus"
"49","Nelson Agholor","Right Corner",7.8,35.7,"7.00","0.61","N","minus"
"50","Hunter Renfrow","Slot Corner",13.7,43.8,"12.86","1.38","N","minus"
"51","Henry Ruggs","Left Corner",11.4,64.3,"12.83","2.11","N","plus"
"52","Jakeem Grant","Right Corner",10.3,56.3,"8.67","1.05","N","minus"
"53","Malcolm Perry","Slot Corner",9.3,75,"11.00","1.58","N","plus"
"54","DeVante Parker","Left Corner",16.1,66.7,"12.33","1.82","N","plus"
"55","Justin Jefferson","Right Corner",8.5,33.3,"20.50","2.02","N","plus"
"56","Chad Beebe","Slot Corner",11,60.7,"8.71","1.56","N","plus"
"57","Adam Thielen","Left Corner",13,65.2,"10.87","1.62","N","plus"
"58","Damiere Byrd","Right Corner",9.1,65.2,"9.87","2.08","N","plus"
"59","Jakobi Meyers","Slot Corner",8.3,66.7,"14.06","2.10","N","plus"
"60","NKeal Harry","Left Corner",17.7,62.5,"15.23","1.83","N","plus"
"61","Michael Thomas","Right Corner",15.9,42.3,"10.73","1.11","N","minus"
"62","TreQuan Smith","Slot Corner",12.9,61.9,"17.12","2.11","N","plus"
"63","Emmanuel Sanders","Left Corner",10.5,67.7,"15.00","2.27","N","plus"
"64","Breshad Perriman","Right Corner",13.8,66.7,"12.09","1.72","N","plus"
"65","Jamison Crowder","Slot Corner",6.5,60,"6.33","2.18","N","plus"
"66","Denzel Mims","Left Corner",15.3,44,"16.77","1.42","N","minus"
"67","Travis Fulgham","Right Corner",13.3,54,"13.96","1.29","N","minus"
"68","Greg Ward","Slot Corner",7.5,66.7,"8.13","1.21","N","minus"
"69","Jalen Reagor","Left Corner",12.9,52.2,"11.88","1.66","N","plus"
"70","Diontae Johnson","Right Corner",17.4,44.4,"22.67","1.67","N","plus"
"71","JuJu SmithSchuster","Slot Corner",9.4,69.2,"15.50","2.23","N","plus"
"72","Chase Claypool","Left Corner",17.4,62.2,"13.86","2.02","N","plus"
"73","DK Metcalf","Right Corner",11.4,57.8,"14.42","1.94","Y","plus"
"74","Tyler Lockett","Slot Corner",14.2,57.1,"12.21","1.41","N","minus"
"75","David Moore","Left Corner",15.6,73.8,"10.42","1.79","N","plus"
"76","Mike Evans","Right Corner",9.9,45.5,"11.47","1.34","N","minus"
"77","Chris Godwin","Slot Corner",10.1,76.5,"11.27","1.63","N","plus"
