"team","home_or_away","line","total","favorite","implied_total"
"PIT","home",-6.5,45.5,1,26
"DET","home",0,45.5,1,22.75
"CLE","home",-4.5,46,1,25.25
"GNB","home",-13.5,47,1,30.25
"NYG","home",4.5,46,0,20.75
"CAR","home",6,49.5,0,21.75
"LVR","home",0,50.5,1,25.25
"ARI","home",-3,56,1,29.5
"LAR","home",-2.5,55,1,28.75
"NOR","home",-9.5,49.5,1,29.5
"MIA","home",-2.5,49,1,25.75
"CIN","away",6.5,45.5,0,19.5
"WAS","away",0,45.5,0,22.75
"HOU","away",4.5,46,0,20.75
"JAX","away",13.5,47,0,16.75
"PHI","away",-4.5,46,1,25.25
"TAM","away",-6,49.5,1,27.75
"DEN","away",0,50.5,0,25.25
"BUF","away",3,56,0,26.5
"SEA","away",2.5,55,0,26.25
"SFO","away",9.5,49.5,0,20
"LAC","away",2.5,49,0,23.25
