"pos","player","tm","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"RB","Dalvin Cook","MIN",10500,27.5,59,22,32,1.17
"RB","Alvin Kamara","NOR",9700,17.5,47,13,19,1.07
"WR","Davante Adams","GNB",9500,22.5,54,17,17,0.76
"QB","Aaron Rodgers","GNB",9000,7.5,41,15,5,0.71
"QB","Justin Herbert","LAC",8500,12.5,57,28,10,0.78
"QB","Lamar Jackson","BAL",8400,17.5,60,29,10,0.59
"RB","Aaron Jones","GNB",8200,12.5,43,9,13,1.06
"WR","Michael Thomas","NOR",8200,12.5,31,5,5,0.37
"RB","Derrick Henry","TEN",8200,7.5,44,9,13,1.72
"WR","Julio Jones","ATL",8100,12.5,48,12,12,0.98
"RB","Nick Chubb","CLE",8100,7.5,42,8,12,1.58
"WR","Keenan Allen","LAC",8000,22.5,48,11,11,0.51
"QB","Ben Roethlisberger","PIT",8000,12.5,52,20,7,0.56
"RB","Ezekiel Elliott","DAL",8000,7.5,39,6,9,1.2
"WR","Adam Thielen","MIN",7900,7.5,45,11,11,1.49
"WR","Calvin Ridley","ATL",7800,7.5,43,9,9,1.25
"QB","Matt Ryan","ATL",7800,7.5,47,17,6,0.8
"QB","Deshaun Watson","HOU",7700,12.5,54,24,8,0.66
"QB","Joe Burrow","CIN",7700,12.5,47,18,6,0.51
"RB","Miles Sanders","PHI",7700,7.5,41,7,10,1.27
"QB","Cam Newton","NWE",7600,7.5,48,20,7,0.92
"WR","AJ Brown","TEN",7500,3,44,9,9,3.1
"QB","Matthew Stafford","DET",7500,0.5,42,14,5,9.5
"RB","Mike Davis","CAR",7400,12.5,46,9,13,1.07
"QB","Carson Wentz","PHI",7400,3,48,19,7,2.18
"WR","Terry McLaurin","WAS",7300,22.5,50,12,12,0.54
"QB","Ryan Tannehill","TEN",7300,3,43,15,5,1.73
"RB","James Robinson","JAX",7200,7.5,48,9,13,1.72
"QB","Jameis Winston","NOR",7200,0.5,1,0,0,0.02
"WR","Will Fuller","HOU",7100,7.5,43,9,9,1.17
"WR","DJ Moore","CAR",7100,3,36,6,6,1.99
"QB","Kirk Cousins","MIN",7100,3,44,13,5,1.56
"RB","James Conner","PIT",7000,12.5,46,8,12,0.98
"QB","Baker Mayfield","CLE",7000,3,43,14,5,1.58
"QB","Philip Rivers","IND",7000,3,44,13,5,1.51
"WR","Amari Cooper","DAL",6900,3,38,6,6,1.9
"QB","Andy Dalton","DAL",6900,3,43,14,5,1.64
"WR","Travis Fulgham","PHI",6800,3,34,5,5,1.68
"QB","Drew Lock","DEN",6800,0.5,34,10,3,6.72
"WR","Justin Jefferson","MIN",6700,22.5,48,10,10,0.46
"RB","Todd Gurley","ATL",6700,7.5,39,6,8,1.1
"RB","Kareem Hunt","CLE",6700,3,46,7,10,3.32
"QB","Tua Tagovailoa","MIA",6700,3,46,16,6,1.89
"WR","Tyler Boyd","CIN",6600,7.5,45,9,9,1.23
"WR","Jamison Crowder","NYJ",6600,3,37,6,6,1.86
"QB","Alex Smith","WAS",6600,3,46,14,5,1.67
"RB","Antonio Gibson","WAS",6500,17.5,48,9,13,0.74
"WR","JuJu SmithSchuster","PIT",6500,12.5,50,11,11,0.89
"WR","Tee Higgins","CIN",6500,12.5,45,9,9,0.73
"TE","Mark Andrews","BAL",6500,7.5,47,15,9,1.24
