"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"QB","Lamar Jackson","BAL","@WAS","9600","12.5%","64%","36%","9%","0.69"
"RB","Ezekiel Elliott","DAL","CLE","9000","17.5%","52%","15%","16%","0.91"
"QB","Russell Wilson","SEA","@MIA","9000","12.5%","62%","32%","8%","0.62"
"RB","Alvin Kamara","NO","@DET","8800","37.5%","77%","35%","38%","1.01"
"WR","DeAndre Hopkins","ARI","@CAR","8700","22.5%","64%","24%","19%","0.87"
"QB","Patrick Mahomes","KC","NE","8700","12.5%","64%","32%","8%","0.63"
"RB","Dalvin Cook","MIN","@HOU","8700","32.5%","60%","19%","20%","0.62"
"QB","Josh Allen","BUF","@LV","8600","12.5%","67%","37%","9%","0.72"
"QB","Kyler Murray","ARI","@CAR","8400","12.5%","65%","35%","8%","0.67"
"RB","Nick Chubb","CLE","@DAL","8300","7.5%","45%","10%","10%","1.37"
"QB","Dak Prescott","DAL","CLE","8200","12.5%","65%","35%","8%","0.67"
"RB","Josh Jacobs","LV","BUF","8000","7.5%","47%","10%","11%","1.46"
"WR","Tyreek Hill","KC","NE","8000","17.5%","55%","17%","14%","0.78"
"QB","Cam Newton","NE","@KC","7900","7.5%","58%","27%","7%","0.88"
"QB","Deshaun Watson","HOU","MIN","7800","7.5%","64%","33%","8%","1.05"
"QB","Drew Brees","NO","@DET","7700","7.5%","46%","15%","4%","0.48"
"TE","Travis Kelce","KC","NE","7600","17.5%","62%","29%","17%","0.95"
"RB","Jonathan Taylor","IND","@CHI","7500","7.5%","54%","13%","14%","1.86"
"QB","Jared Goff","LAR","NYG","7500","7.5%","53%","20%","5%","0.66"
"WR","Tyler Lockett","SEA","@MIA","7500","22.5%","55%","16%","13%","0.57"
"QB","Gardner Minshew","JAX","@CIN","7400","0.5%","47%","17%","4%","8.23"
"QB","Joe Burrow","CIN","JAX","7400","3.0%","59%","26%","6%","2.13"
"WR","Mike Evans","TB","LAC","7400","7.5%","48%","12%","9%","1.25"
"RB","Clyde Edwards-Helaire","KC","NE","7400","17.5%","54%","13%","14%","0.81"
"TE","Mark Andrews","BAL","@WAS","7400","12.5%","40%","13%","7%","0.58"
"QB","Tom Brady","TB","LAC","7300","3.0%","44%","14%","3%","1.10"
"WR","Kenny Golladay","DET","NO","7300","7.5%","40%","8%","7%","0.87"
"QB","Matthew Stafford","DET","NO","7200","3.0%","49%","17%","4%","1.39"
"WR","Cooper Kupp","LAR","NYG","7200","12.5%","53%","15%","12%","0.97"
"QB","Nick Foles","CHI","IND","7100","0.5%","34%","9%","2%","4.23"
"QB","Ryan Fitzpatrick","MIA","SEA","7100","3.0%","49%","18%","4%","1.48"
"WR","Adam Thielen","MIN","@HOU","7100","7.5%","44%","9%","7%","0.99"
"WR","Amari Cooper","DAL","CLE","7100","17.5%","48%","11%","9%","0.50"
"QB","Baker Mayfield","CLE","@DAL","7000","0.5%","47%","15%","4%","7.46"
"WR","Allen Robinson","CHI","IND","7000","7.5%","51%","12%","9%","1.23"
"RB","Kenyan Drake","ARI","@CAR","7000","12.5%","54%","12%","13%","1.01"
"WR","Stefon Diggs","BUF","@LV","7000","17.5%","51%","12%","9%","0.53"
"QB","Derek Carr","LV","BUF","6900","0.5%","46%","15%","4%","7.09"
"RB","Austin Ekeler","LAC","@TB","6900","7.5%","53%","10%","11%","1.41"
"WR","Keenan Allen","LAC","@TB","6900","7.5%","46%","9%","7%","0.94"
"WR","DK Metcalf","SEA","@MIA","6900","22.5%","55%","15%","12%","0.54"
"QB","Teddy Bridgewater","CAR","ARI","6800","0.5%","47%","16%","4%","7.64"
"QB","Kirk Cousins","MIN","@HOU","6800","0.5%","45%","14%","3%","6.79"
"RB","Joe Mixon","CIN","JAX","6800","3.0%","47%","8%","9%","2.99"
"WR","D.J. Moore","CAR","ARI","6800","3.0%","47%","10%","8%","2.68"
"QB","Philip Rivers","IND","@CHI","6700","0.5%","38%","10%","2%","4.84"
