"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Jason Huntley","PHI","LAR","4500","0.5%","3%","0%","0%","0.00"
"RB","Patrick Ricard","BAL","@HOU","4500","0.5%","2%","0%","0%","0.00"
"RB","Mike Boone","MIN","@IND","4500","0.5%","2%","0%","0%","0.00"
"RB","Mike Davis","CAR","@TB","4500","0.5%","2%","0%","0%","0.00"
"RB","Wayne Gallman","NYG","@CHI","4500","0.5%","2%","0%","0%","0.00"
"RB","Buddy Howell","HOU","BAL","4500","0.5%","2%","0%","0%","0.00"
"RB","Darwin Thompson","KC","@LAC","4500","0.5%","2%","0%","0%","0.00"
"TE","Dan Arnold","ARI","WAS","4400","0.5%","27%","3%","2%","4.11"
"TE","Nick Boyle","BAL","@HOU","4400","0.5%","25%","2%","2%","3.32"
"TE","Gerald Everett","LAR","@PHI","4300","0.5%","20%","1%","1%","1.80"
"TE","Darren Fells","HOU","BAL","4300","0.5%","18%","1%","1%","1.50"
"TE","Robert Tonyan","GB","DET","4300","0.5%","17%","1%","1%","1.30"
"DEF","Kansas City Chiefs","KC","@LAC","4300","12.5%","44%","2%","6%","0.50"
"DEF","Tennessee Titans","TEN","JAX","4200","7.5%","51%","4%","11%","1.53"
"TE","Cameron Brate","TB","CAR","4200","0.5%","11%","0%","0%","0.39"
"TE","Marcedes Lewis","GB","DET","4200","0.5%","6%","0%","0%","0.10"
"TE","Jesse James","DET","@GB","4100","0.5%","17%","1%","1%","1.12"
"TE","Ryan Griffin","NYJ","SF","4100","0.5%","14%","0%","0%","0.64"
"TE","Virgil Green","LAC","KC","4100","0.5%","14%","0%","0%","0.64"
"TE","Anthony Firkser","TEN","JAX","4100","0.5%","11%","0%","0%","0.42"
"TE","Kaden Smith","NYG","@CHI","4100","0.5%","11%","0%","0%","0.39"
"TE","Josiah Deguara","GB","DET","4100","0.5%","11%","0%","0%","0.36"
"TE","Maxx Williams","ARI","WAS","4100","0.5%","11%","0%","0%","0.34"
"TE","Cole Kmet","CHI","NYG","4100","0.5%","10%","0%","0%","0.32"
"TE","Jace Sternberger","GB","DET","4100","0.5%","9%","0%","0%","0.21"
"DEF","Denver Broncos","DEN","@PIT","4100","0.5%","25%","0%","0%","0.20"
"DEF","Minnesota Vikings","MIN","@IND","4100","3.0%","32%","0%","0%","0.16"
"TE","Dalton Schultz","DAL","ATL","4000","0.5%","30%","3%","2%","4.48"
"DEF","Chicago Bears","CHI","NYG","4000","7.5%","54%","4%","13%","1.68"
"DEF","Philadelphia Eagles","PHI","LAR","4000","0.5%","34%","0%","1%","1.01"
"TE","Mo Alie-Cox","IND","MIN","4000","0.5%","14%","0%","0%","0.65"
"TE","Nick Vannett","DEN","@PIT","4000","0.5%","14%","0%","0%","0.60"
