"team","home_or_away","line","total","favorite","implied_total"
"BUF","home",3,55,0,26
"ATL","home",-4.5,50,1,27.25
"TEN","home",-6,46.5,1,26.25
"MIN","home",-3,51.5,1,27.25
"IND","home",-1,48,1,24.5
"KAN","home",-10,51.5,1,30.75
"JAX","home",0,49,0,24.5
"WAS","home",-3,43,1,23
"LAC","home",1,52.5,0,25.75
"DAL","home",14,44,0,15
"ARI","home",-6,49,1,27.5
"SEA","away",-3,55,1,29
"DEN","away",4.5,50,0,22.75
"CHI","away",6,46.5,0,20.25
"DET","away",3,51.5,0,24.25
"BAL","away",1,48,0,23.5
"CAR","away",10,51.5,0,20.75
"HOU","away",0,49,1,24.5
"NYG","away",3,43,0,20
"LVR","away",-1,52.5,1,26.75
"PIT","away",-14,44,1,29
"MIA","away",6,49,0,21.5
