Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2020,18,allenj3,Josh Allen,QB,BUF,IND,17.6,14,24.5,24.3,36.7,286.5,2.1,0.6,6.3,27.0,0.6,0.0,0.0,0.0,13.8,1.8,0.0,0.2,0.0,0.0,A-Game
2020,18,jacksl1,Lamar Jackson,QB,BAL,@TEN,22.8,29,24.3,21.2,31.1,231.7,1.8,0.7,8.4,67.2,0.5,0.0,0.0,0.0,11.4,4.4,0.0,0.2,0.0,0.0,A-Game
2020,18,bradyt1,Tom Brady,QB,TB,@WAS,16.3,9,18.2,24.5,37.1,283.6,1.9,0.7,0.4,1.0,0.1,0.0,0.0,0.0,13.7,0.1,0.0,0.2,0.0,0.0,A-Game
2020,18,tanner1,Ryan Tannehill,QB,TEN,BAL,16.6,10,18.2,22.6,33.4,268.7,1.8,0.9,2.8,12.5,0.2,0.0,0.0,0.0,12.9,0.8,0.0,0.2,0.0,0.0,A-Game
2020,18,wilsor1,Russell Wilson,QB,SEA,LAR,10.3,1,18.1,22.1,33.8,244.3,1.6,0.6,6.1,28.9,0.1,0.0,0.0,0.0,12.0,1.9,0.0,0.2,0.0,0.0,A-Game
2020,18,breesd1,Drew Brees,QB,NO,CHI,18.0,19,17.4,23.1,33.5,268.1,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.2,0.0,0.0,A-Game
2020,18,roethb1,Ben Roethlisberger,QB,PIT,CLE,19.4,24,16.0,24.0,37.1,272.2,1.8,0.8,0.3,1.0,0.0,0.0,0.0,0.0,13.2,0.1,0.0,0.2,0.0,0.0,B-Game
2020,18,wolfoj1,John Wolford,QB,LAR,@SEA,18.0,18,15.3,21.9,33.9,227.1,0.9,1.0,6.7,31.0,0.3,0.0,0.0,0.0,11.3,2.0,0.0,0.3,0.0,0.0,B-Game
2020,18,riverp1,Philip Rivers,QB,IND,@BUF,17.8,16,14.6,22.9,34.8,262.0,1.6,1.0,0.3,1.2,0.0,0.0,0.0,0.0,12.7,0.1,0.0,0.2,0.0,0.0,B-Game
2020,18,mayfib1,Baker Mayfield,QB,CLE,@PIT,13.9,3,14.0,20.8,32.5,235.6,1.4,0.8,2.2,7.6,0.0,0.0,0.0,0.0,11.4,0.5,0.0,0.2,0.0,0.0,C-Game
2020,18,trubim1,Mitch Trubisky,QB,CHI,@NO,10.9,2,13.8,22.0,35.0,238.8,1.3,1.0,2.8,12.5,0.1,0.0,0.0,0.0,11.7,0.8,0.0,0.3,0.0,0.0,C-Game
2020,18,smitha4,Alex Smith,QB,WAS,TB,22.9,30,12.2,21.7,34.8,236.5,1.3,1.1,0.6,1.8,0.0,0.0,0.0,0.0,11.6,0.1,0.0,0.3,0.0,0.0,C-Game
2020,18,hillt2,Taysom Hill,QB,NO,CHI,18.0,19,2.8,0.1,0.2,1.3,0.0,0.0,3.9,18.5,0.2,0.0,0.0,0.0,0.1,1.2,0.0,0.0,0.0,0.0,C-Game
2020,18,brissj1,Jacoby Brissett,QB,IND,@BUF,17.8,16,1.1,0.0,0.0,0.0,0.0,0.0,0.6,2.3,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,C-Game
2020,18,kamara1,Alvin Kamara,RB,NO,CHI,12.0,1,18.5,0.0,0.0,0.0,0.0,0.0,14.1,60.6,0.8,4.4,36.4,0.4,0.0,3.0,1.7,0.1,0.0,0.0,A-Game
2020,18,henryd1,Derrick Henry,RB,TEN,BAL,18.9,18,16.7,0.0,0.0,0.0,0.0,0.0,23.3,104.9,0.8,1.4,8.1,0.1,0.0,5.3,0.4,0.2,0.0,0.0,A-Game
2020,18,tayloj2,Jonathan Taylor,RB,IND,@BUF,19.4,20,15.6,0.0,0.0,0.0,0.0,0.0,20.3,86.8,0.6,2.4,21.0,0.1,0.0,4.4,1.0,0.2,0.0,0.0,A-Game
2020,18,chubbn1,Nick Chubb,RB,CLE,@PIT,15.3,9,14.2,0.0,0.0,0.0,0.0,0.0,16.4,81.4,0.7,1.4,13.0,0.1,0.0,4.1,0.6,0.1,0.0,0.0,A-Game
2020,18,dobbij1,J.K. Dobbins,RB,BAL,@TEN,19.4,19,13.3,0.0,0.0,0.0,0.0,0.0,14.3,64.3,0.8,1.6,11.6,0.1,0.0,3.2,0.5,0.1,0.0,0.0,B-Game
2020,18,montgd1,David Montgomery,RB,CHI,@NO,13.9,5,13.2,0.0,0.0,0.0,0.0,0.0,15.3,56.0,0.5,3.2,28.7,0.1,0.0,2.8,1.3,0.1,0.0,0.0,B-Game
2020,18,connej2,James Conner,RB,PIT,CLE,15.8,11,12.6,0.0,0.0,0.0,0.0,0.0,16.0,64.6,0.5,2.4,16.3,0.1,0.0,3.2,0.8,0.1,0.0,0.0,B-Game
2020,18,carsoc1,Chris Carson,RB,SEA,LAR,14.5,7,12.2,0.0,0.0,0.0,0.0,0.0,12.8,51.1,0.4,2.8,22.0,0.2,0.0,2.6,1.0,0.1,0.0,0.0,B-Game
2020,18,gibsoa1,Antonio Gibson,RB,WAS,TB,13.5,4,12.0,0.0,0.0,0.0,0.0,0.0,16.3,63.3,0.5,2.4,16.6,0.1,0.0,3.2,0.8,0.2,0.0,0.0,B-Game
2020,18,jonesr1,Ronald Jones,RB,TB,@WAS,16.0,12,11.4,0.0,0.0,0.0,0.0,0.0,18.2,76.3,0.4,1.0,7.1,0.0,0.0,3.8,0.3,0.1,0.0,0.0,B-Game
2020,18,akersc1,Cam Akers,RB,LAR,@SEA,20.2,22,10.3,0.0,0.0,0.0,0.0,0.0,14.4,51.7,0.5,1.8,11.4,0.0,0.0,2.6,0.5,0.1,0.0,0.0,C-Game
2020,18,edwarg1,Gus Edwards,RB,BAL,@TEN,19.4,19,9.9,0.0,0.0,0.0,0.0,0.0,7.9,49.0,0.3,2.1,23.2,0.0,0.0,2.5,1.1,0.1,0.0,0.0,C-Game
2020,18,hinesn1,Nyheim Hines,RB,IND,@BUF,19.4,20,9.2,0.0,0.0,0.0,0.0,0.0,4.8,22.4,0.1,4.6,30.1,0.2,0.0,1.1,1.4,0.1,0.0,0.0,C-Game
2020,18,huntk1,Kareem Hunt,RB,CLE,@PIT,15.3,9,9.2,0.0,0.0,0.0,0.0,0.0,9.6,38.1,0.1,2.5,23.6,0.2,0.0,1.9,1.1,0.1,0.0,0.0,C-Game
2020,18,mckisj1,J.D. McKissic,RB,WAS,TB,13.5,4,9.0,0.0,0.0,0.0,0.0,0.0,1.9,9.0,0.1,5.2,41.4,0.2,0.0,0.4,1.9,0.1,0.0,0.0,C-Game
2020,18,singld1,Devin Singletary,RB,BUF,IND,17.6,14,7.9,0.0,0.0,0.0,0.0,0.0,7.8,36.2,0.1,2.3,17.2,0.1,0.0,1.8,0.8,0.1,0.0,0.0,C-Game
2020,18,mossz1,Zack Moss,RB,BUF,IND,17.6,14,7.8,0.0,0.0,0.0,0.0,0.0,12.3,44.9,0.3,1.1,7.2,0.1,0.0,2.2,0.3,0.1,0.0,0.0,C-Game
