"Day","Tm","WR","Pos","Opp","CB","M/U","Tar %","C %","YPR","YPT","FP/T","Shad","( /-)"
"Sun","ARI","Andy Isabella","LWR","LAR","Troy Hill","15","16.0%","45.5%","11.60","5.27","1.16","N","-"
"Sun","ARI","Larry Fitzgerald","SWR","LAR","Nickell Robey-Coleman","21","9.2%","50.0%","12.13","6.07","1.31","N","-"
"Sun","ARI","Christian Kirk","RWR","LAR","Jalen Ramsey","21","15.4%","60.0%","12.37","7.42","1.48","Y","N"
"Sun","BAL","Seth Roberts","LWR","SF","Emmanuel Moseley","5","11.2%","50.0%","14.71","7.36","1.45","N","N"
"Sun","BAL","Willie Snead","SWR","SF","K'Waun Williams","5","12.7%","64.3%","9.78","6.29","1.27","N","-"
"Sun","BAL","Marquise Brown","RWR","SF","Richard Sherman","5","10.7%","58.8%","8.85","5.21","1.29","N","-"
"Sun","CAR","D.J. Moore","LWR","WAS","Quinton Dunbar","7","20.6%","50.0%","13.00","6.50","1.28","N","-"
"Sun","CAR","Jarius Wright","SWR","WAS","Jimmy Moreland","7","11.7%","76.5%","9.08","6.94","1.46","N","N"
"Sun","CAR","Curtis Samuel","RWR","WAS","Fabian Moreau","7","12.4%","77.8%","12.48","9.70","2.19","N"," "
"Sun","CIN","Auden Tate","LWR","NYJ","Darryl Roberts","28","21.0%","63.1%","10.76","6.78","1.68","N"," "
"Sun","CIN","Tyler Boyd","SWR","NYJ","Brian Poole","28","13.4%","56.5%","9.38","5.30","1.23","N","-"
"Sun","CIN","Alex Erickson","RWR","NYJ","Arthur Maulet","28","12.9%","61.5%","8.75","5.38","1.15","N","-"
"Sun","CLE","Odell Beckham","LWR","PIT","Steven Nelson","11","12.5%","46.5%","14.10","6.56","1.12","N","-"
"Sun","CLE","Jarvis Landry","SWR","PIT","Mike Hilton","11","15.5%","58.8%","13.90","8.18","1.76","N"," "
"Sun","CLE","Rashard Higgins","RWR","PIT","Joe Haden","11","15.1%","51.8%","11.24","5.82","1.31","N","-"
"Sun","DEN","Courtland Sutton","LWR","LAC","Casey Hayward Jr","3","10.7%","52.8%","11.05","5.83","1.28","Y","-"
"Sun","DEN","DaeSean Hamilton","SWR","LAC","Desmond King II","3","7.8%","61.9%","10.31","6.38","1.54","N","N"
"Sun","DEN","Tim Patrick","RWR","LAC","Brandon Facyson","3","15.7%","68.8%","13.55","9.31","1.99","N"," "
"Sun","GB","Allen Lazard","LWR","NYG","Deandre Baker","20","14.9%","60.4%","15.48","9.35","1.91","N"," "
"Sun","GB","Geronimo Allison","SWR","NYG","Corey Ballentine","20","35.2%","68.4%","17.54","12.00","2.20","N"," "
"Sun","GB","Davante Adams","RWR","NYG","Janoris Jenkins","20","17.0%","47.4%","15.07","7.14","1.40","N","N"
"Sun","HOU","DeAndre Hopkins","LWR","NE","Stephon Gilmore","1","17.4%","44.3%","11.96","5.30","0.97","Y","-"
"Sun","HOU","Kenny Stills","SWR","NE","Jonathan Jones","1","15.0%","45.2%","11.63","5.26","1.26","N","-"
"Sun","HOU","Will Fuller","RWR","NE","J.C. Jackson","1","15.8%","40.0%","8.21","3.29","0.73","N","-"
"Sun","IND","Zach Paschal","LWR","TEN","Tye Smith","17","-","-","-","-","-","N"," "
"Sun","IND","Chester Rogers","SWR","TEN","Logan Ryan","17","17.6%","55.2%","12.89","7.12","1.62","N"," "
"Sun","IND","T.Y. Hilton","RWR","TEN","Adoree' Jackson","17","13.9%","61.0%","12.56","7.66","1.52","Y","N"
"Sun","JAX","Chris Conley","LWR","TB","Jamel Dean","32","39.1%","44.0%","16.36","7.20","1.88","N"," "
"Sun","JAX","Dede Westbrook","SWR","TB","Sean Murphy-Bunting","32","16.2%","63.9%","11.22","7.17","2.02","N"," "
"Sun","JAX","D.J. Chark","RWR","TB","Carlton Davis","32","21.4%","46.3%","12.61","5.84","1.49","N","N"
"Sun","KC","Demarcus Robinson","LWR","OAK","Daryl Worley","19","16.1%","44.6%","16.24","7.25","1.49","N","N"
"Sun","KC","Sammy Watkins","SWR","OAK","Lamarcus Joyner","19","10.8%","71.0%","10.77","7.65","1.86","N"," "
"Sun","KC","Tyreek Hill","RWR","OAK","Trayvon Mullen","19","16.9%","62.5%","14.45","9.03","1.72","N"," "
"Sun","LAC","Mike Williams","LWR","DEN","Davontae Harris","9","21.6%","60.5%","10.54","6.37","1.66","N"," "
"Sun","LAC","Keenan Allen","SWR","DEN","Duke Dawson Jr","9","6.8%","66.7%","14.25","9.50","2.12","N"," "
"Sun","LAC","Andre Patton","RWR","DEN","Chris Harris Jr","9","9.8%","57.1%","21.35","12.20","2.31","N"," "
"Sun","LAR","Brandin Cooks","LWR","ARI","Patrick Peterson","26","16.0%","67.6%","13.65","9.24","2.13","Y"," "
"Sun","LAR","Cooper Kupp","SWR","ARI","Tramaine Brock Sr","26","13.0%","54.3%","15.42","8.37","1.72","N"," "
"Sun","LAR","Robert Woods","RWR","ARI","Byron Murphy","26","16.0%","63.4%","9.71","6.15","1.93","N"," "
"Sun","MIA","DeVante Parker","LWR","PHI","Ronald Darby","12","23.4%","58.7%","14.96","8.78","1.86","N"," "
"Sun","MIA","Albert Wilson","SWR","PHI","Avonte Maddox","12","18.1%","57.9%","12.91","7.47","1.33","N","-"
"Sun","MIA","Allen Hurns","RWR","PHI","Jalen Mills","12","17.0%","50.0%","13.00","6.50","1.15","N","-"
"Mon","MIN","Stefon Diggs","LWR","SEA","Tre Flowers","15","17.9%","56.9%","13.97","7.95","1.46","N","N"
"Mon","MIN","Olabasi Johnson","SWR","SEA","Akeem King","15","14.0%","100.0%","17.71","17.71","2.77","N"," "
"Mon","MIN","Adam Thielen","RWR","SEA","Shaquill Griffin","15","13.9%","53.4%","11.29","6.03","1.34","N","-"
"Sun","NE","Phillip Dorsett","LWR","HOU","Gareon Conley","27","13.1%","58.1%","19.12","11.12","2.67","N"," "
"Sun","NE","Julian Edelman","SWR","HOU","Bradley Roby","27","14.6%","51.4%","14.22","7.31","1.42","N","N"
"Sun","NE","Mohamed Sanu","RWR","HOU","Johnathan Joseph","27","17.6%","66.0%","12.39","8.18","1.72","N"," "
"Sun","NYG","Darius Slayton","LWR","GB","Kevin King","14","18.4%","60.7%","19.03","11.55","1.98","Y"," "
"Sun","NYG","Sterling Shepard","SWR","GB","Tramon Williams","14","7.8%","52.2%","18.83","9.83","2.03","N"," "
"Sun","NYG","Cody Latimer","RWR","GB","Jaire Alexander","14","17.9%","43.9%","16.34","7.18","1.43","Y","N"
"Sun","NYJ","Demaryius Thomas","LWR","CIN","William Jackson","16","13.0%","50.0%","16.56","8.28","1.52","N","N"
"Sun","NYJ","Jamison Crowder","SWR","CIN","Darqueze Dennard","16","18.8%","53.8%","7.14","3.85","0.92","N","-"
"Sun","NYJ","Robby Anderson","RWR","CIN","B.W. Webb","16","13.4%","61.3%","21.89","13.42","2.15","N"," "
"Sun","OAK","Tyrell Williams","LWR","KC","Charvarius Ward","6","13.1%","50.9%","15.04","7.66","1.39","N","-"
"Sun","OAK","Trevor Davis","SWR","KC","Kendall Fuller","6","7.8%","69.2%","18.22","12.62","2.88","N"," "
"Sun","OAK","Zay Jones","RWR","KC","Bashaud Breeland","6","12.4%","47.7%","16.76","8.00","1.82","N"," "
"Sun","PHI","Alshon Jeffery","LWR","MIA","Ryan Lewis","29","22.1%","52.2%","16.92","8.83","1.67","N"," "
"Sun","PHI","Nelson Agholor","SWR","MIA","Jomal Wiltz","29","15.0%","64.5%","13.50","8.71","2.29","N"," "
"Sun","PHI","J.J. Arcega-Whiteside","RWR","MIA","Nik Needham","29","25.1%","50.0%","11.55","5.77","1.35","N","-"
"Sun","PIT","Diontae Johnson","LWR","CLE","Greedy Williams","22","17.6%","55.9%","12.47","6.97","1.26","N","-"
"Sun","PIT","Johnny Holton","SWR","CLE","Eric Murray","22","7.9%","53.8%","16.86","9.08","1.91","N"," "
"Sun","PIT","James Washington","RWR","CLE","Denzel Ward","22","23.0%","42.9%","15.00","6.43","1.19","N","-"
"Mon","SEA","DK Metcalf","LWR","MIN","Xavier Rhodes","31","14.4%","76.8%","11.47","8.80","1.97","N"," "
"Mon","SEA","Tyler Lockett","SWR","MIN","Mackensie Alexander","31","13.3%","53.8%","10.43","5.62","1.56","N","N"
"Mon","SEA","Josh Gordon","RWR","MIN","Trae Waynes","31","18.8%","63.5%","12.10","7.68","1.78","N"," "
"Sun","SF","Deebo Samuel","LWR","BAL","Jimmy Smith","13","13.5%","53.8%","9.86","5.31","1.53","N","N"
"Sun","SF","Kendrick Bourne","SWR","BAL","Marlon Humphrey","13","14.2%","48.0%","14.67","7.04","1.42","N","N"
"Sun","SF","Emmanuel Sanders","RWR","BAL","Marcus Peters","13","13.3%","55.1%","13.96","7.69","1.57","N","N"
"Sun","TB","Mike Evans","LWR","JAX","A.J. Bouye","18","16.6%","67.9%","14.24","9.66","1.97","Y"," "
"Sun","TB","Chris Godwin","SWR","JAX","D.J. Hayden","18","9.0%","52.4%","9.36","4.90","1.01","N","-"
"Sun","TB","Breshad Perriman","RWR","JAX","Tre Herndon","18","18.0%","44.2%","15.57","6.88","1.36","N","-"
"Sun","TEN","A.J. Brown","LWR","IND","Rock Ya-Sin","23","12.3%","65.8%","16.36","10.76","2.05","N"," "
"Sun","TEN","Adam Humphries","SWR","IND","Kenny Moore II","23","13.5%","66.7%","11.04","7.36","1.40","N","-"
"Sun","TEN","Corey Davis","RWR","IND","Pierre Desir","23","15.2%","59.4%","17.00","10.09","1.98","N"," "
"Sun","WAS","Terry McLaurin","LWR","CAR","James Bradberry","25","15.4%","57.9%","12.45","7.21","1.41","Y","-"
"Sun","WAS","Steve Sims","SWR","CAR","Ross Cockrell","25","14.0%","43.9%","16.28","7.15","1.30","N","-"
"Sun","WAS","Paul Richardson","RWR","CAR","Donte Jackson","25","15.4%","52.5%","13.43","7.05","1.68","N"," "
