"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Christian McCaffrey","CAR","@SF","9600","12.5%","63%","22%","20%","1.58"
"RB","Saquon Barkley","NYG","@DET","8600","17.5%","66%","24%","21%","1.21"
"QB","Russell Wilson","SEA","@ATL","8600","12.5%","63%","33%","10%","0.82"
"WR","Michael Thomas","NO","ARI","8500","27.5%","74%","33%","30%","1.08"
"QB","Deshaun Watson","HOU","OAK","8400","17.5%","66%","35%","11%","0.62"
"WR","DeAndre Hopkins","HOU","OAK","8200","22.5%","65%","23%","21%","0.94"
"WR","Chris Godwin","TB","@TEN","8100","7.5%","50%","13%","11%","1.52"
"RB","Chris Carson","SEA","@ATL","8000","17.5%","58%","17%","15%","0.85"
"QB","Jared Goff","LAR","CIN","8000","7.5%","51%","19%","6%","0.79"
"QB","Tom Brady","NE","CLE","7900","12.5%","51%","19%","6%","0.48"
"WR","Julio Jones","ATL","SEA","7800","12.5%","51%","14%","13%","1.01"
"RB","Nick Chubb","CLE","@NE","7700","3.0%","49%","10%","9%","2.96"
"RB","Leonard Fournette","JAX","NYJ","7700","17.5%","65%","21%","19%","1.06"
"QB","Josh Allen","BUF","PHI","7700","7.5%","53%","23%","7%","0.95"
"QB","Matthew Stafford","DET","NYG","7700","7.5%","52%","20%","6%","0.81"
"WR","Cooper Kupp","LAR","CIN","7700","17.5%","53%","15%","13%","0.76"
"WR","T.Y. Hilton","IND","DEN","7600","7.5%","45%","11%","10%","1.30"
"WR","Keenan Allen","LAC","@CHI","7500","0.5%","34%","5%","5%","9.38"
"QB","Jacoby Brissett","IND","DEN","7500","7.5%","43%","15%","5%","0.61"
"QB","Sam Darnold","NYJ","@JAX","7400","0.5%","34%","10%","3%","5.88"
"QB","Kyler Murray","ARI","@NO","7400","3.0%","51%","21%","7%","2.17"
"QB","Jameis Winston","TB","@TEN","7400","3.0%","44%","15%","5%","1.54"
"WR","Mike Evans","TB","@TEN","7400","7.5%","49%","12%","11%","1.45"
"QB","Carson Wentz","PHI","@BUF","7400","3.0%","40%","13%","4%","1.33"
"RB","Todd Gurley","LAR","CIN","7400","12.5%","55%","14%","12%","0.97"
"QB","Jimmy Garoppolo","SF","CAR","7400","3.0%","34%","9%","3%","0.96"
"WR","Odell Beckham","CLE","@NE","7400","7.5%","37%","6%","6%","0.75"
"QB","Philip Rivers","LAC","@CHI","7300","0.5%","35%","9%","3%","5.52"
"QB","Baker Mayfield","CLE","@NE","7300","0.5%","23%","5%","2%","3.01"
"RB","Josh Jacobs","OAK","@HOU","7200","3.0%","50%","10%","9%","2.97"
"QB","Drew Brees","NO","ARI","7200","7.5%","54%","19%","6%","0.79"
"WR","Tyler Lockett","SEA","@ATL","7200","17.5%","53%","14%","13%","0.72"
"WR","Allen Robinson","CHI","LAC","7100","7.5%","42%","8%","7%","0.99"
"QB","Kyle Allen","CAR","@SF","7000","0.5%","27%","6%","2%","3.82"
"QB","Daniel Jones","NYG","@DET","7000","3.0%","44%","15%","5%","1.58"
"WR","Robert Woods","LAR","CIN","7000","7.5%","44%","9%","8%","1.11"
"RB","LeVeon Bell","NYJ","@JAX","7000","12.5%","57%","13%","11%","0.89"
"QB","Gardner Minshew","JAX","NYJ","6900","3.0%","47%","17%","5%","1.70"
"QB","Ryan Tannehill","TEN","TB","6900","3.0%","45%","14%","4%","1.48"
"RB","Derrick Henry","TEN","TB","6900","7.5%","54%","12%","11%","1.44"
"QB","Derek Carr","OAK","@HOU","6900","3.0%","41%","12%","4%","1.21"
"QB","Andy Dalton","CIN","@LAR","6900","3.0%","37%","10%","3%","1.07"
"WR","Brandin Cooks","LAR","CIN","6900","7.5%","41%","8%","7%","0.95"
"TE","George Kittle","SF","CAR","6900","12.5%","51%","17%","12%","0.95"
"RB","Austin Ekeler","LAC","@CHI","6800","3.0%","45%","6%","5%","1.71"
"RB","Marlon Mack","IND","DEN","6800","7.5%","52%","10%","9%","1.23"
"TE","Darren Waller","OAK","@HOU","6800","17.5%","50%","16%","11%","0.66"
"QB","Mitch Trubisky","CHI","LAC","6700","0.5%","34%","9%","3%","5.35"
"WR","Kenny Golladay","DET","NYG","6700","7.5%","53%","15%","13%","1.77"
"TE","Hunter Henry","LAC","@CHI","6700","12.5%","44%","12%","9%","0.69"
"WR","Alshon Jeffery","PHI","@BUF","6600","3.0%","36%","5%","5%","1.63"
"TE","Austin Hooper","ATL","SEA","6600","7.5%","48%","15%","11%","1.41"
"QB","Matt Schaub","ATL","SEA","6600","3.0%","43%","12%","4%","1.23"
"WR","Julian Edelman","NE","CLE","6600","12.5%","54%","15%","13%","1.06"
"WR","DK Metcalf","SEA","@ATL","6600","7.5%","38%","6%","6%","0.77"
"QB","Joe Flacco","DEN","@IND","6500","0.5%","31%","7%","2%","4.31"
"RB","Sony Michel","NE","CLE","6500","12.5%","51%","10%","8%","0.68"
"WR","Jarvis Landry","CLE","@NE","6400","3.0%","31%","4%","3%","1.07"
"RB","Melvin Gordon","LAC","@CHI","6400","3.0%","36%","4%","3%","1.05"
"RB","Phillip Lindsay","DEN","@IND","6300","3.0%","45%","6%","6%","1.90"
"WR","D.J. Chark","JAX","NYJ","6300","7.5%","50%","12%","11%","1.44"
"TE","Zach Ertz","PHI","@BUF","6300","7.5%","41%","10%","7%","0.97"
"WR","Marvin Jones","DET","NYG","6300","12.5%","49%","12%","11%","0.87"
"TE","Evan Engram","NYG","@DET","6300","12.5%","47%","13%","9%","0.76"
"RB","Tevin Coleman","SF","CAR","6200","3.0%","46%","7%","6%","2.05"
"WR","Robby Anderson","NYJ","@JAX","6200","3.0%","38%","6%","6%","1.89"
"RB","Latavius Murray","NO","ARI","6200","32.5%","78%","30%","27%","0.83"
"RB","Devonta Freeman","ATL","SEA","6200","7.5%","46%","6%","6%","0.76"
"RB","Carlos Hyde","HOU","OAK","6100","3.0%","37%","4%","4%","1.18"
"WR","Golden Tate","NYG","@DET","6100","7.5%","46%","9%","8%","1.08"
"TE","Gerald Everett","LAR","CIN","6100","7.5%","30%","6%","4%","0.53"
