"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",10.2,80,"9.25","1.54","N","neutral"
"2","Larry Fitzgerald","Slot Corner",11.8,80,"10.00","2.40","N","plus"
"3","Christian Kirk","Left Corner",NA,NA,"#N/A","#N/A","N","plus"
"4","Julio Jones","Right Corner",16.2,57.9,"14.55","2.37","N","plus"
"5","Russell Gage","Slot Corner",16.2,58.3,"16.93","1.82","N","plus"
"6","Calvin Ridley","Left Corner",12.5,58.3,"13.29","1.86","N","plus"
"7","Miles Boykin","Right Corner",8.9,61.1,"9.73","1.54","N","neutral"
"8","Willie Snead","Slot Corner",9.3,90.9,"10.90","2.45","N","plus"
"9","Marquise Brown","Left Corner",14.6,58.6,"10.88","1.22","Y","minus"
"10","John Brown","Right Corner",8.3,50,"2.00","0.60","N","minus"
"11","Cole Beasley","Slot Corner",15.6,41.7,"13.70","1.49","N","neutral"
"12","Stefon Diggs","Left Corner",12.4,66.7,"15.38","2.69","N","plus"
"13","DJ Moore","Right Corner",NA,NA,"#N/A","#N/A","N","minus"
"14","Curtis Samuel","Slot Corner",13.2,61.9,"9.85","1.23","N","minus"
"15","Robby Anderson","Left Corner",15.1,50,"12.19","1.30","N","minus"
"16","Allen Robinson","Right Corner",9.6,61.1,"10.36","1.24","Y","minus"
"17","Anthony Miller","Slot Corner",8.5,37.5,"9.67","0.74","N","minus"
"18","Darnell Mooney","Left Corner",6.2,57.1,"14.00","3.09","N","plus"
"19","AJ Green","Right Corner",12.8,42.1,"17.50","1.47","N","neutral"
"20","Tyler Boyd","Slot Corner",10.2,50,"14.88","1.24","N","minus"
"21","Tee Higgins","Left Corner",9.3,55.6,"10.20","1.12","N","minus"
"22","Rashard Higgins","Right Corner",11.4,55,"16.64","2.37","N","plus"
"23","Jarvis Landry","Slot Corner",15.5,61.1,"13.64","1.78","N","plus"
"24","Odell Beckham","Left Corner",10.2,50,"18.33","1.75","N","plus"
"25","Michael Gallup","Right Corner",11.7,75,"10.75","1.56","N","neutral"
"26","CeeDee Lamb","Slot Corner",14.1,40,"14.40","1.22","N","minus"
"27","Amari Cooper","Left Corner",10.4,45,"13.67","1.37","Y","minus"
"28","KJ Hamler","Right Corner",12.1,73.3,"9.64","1.84","N","plus"
"29","Jerry Jeudy","Slot Corner",20.5,53.8,"11.64","1.40","N","neutral"
"30","Tim Patrick","Left Corner",13.2,63.2,"15.50","1.93","N","plus"
"31","Kenny Golladay","Right Corner",NA,NA,"#N/A","#N/A","N","plus"
"32","Danny Amendola","Slot Corner",11,68.4,"13.00","1.89","N","plus"
"33","Marvin Jones","Left Corner",NA,NA,"#N/A","#N/A","N","plus"
"34","Davante Adams","Right Corner",13.2,59.3,"9.19","1.58","Y","plus"
"35","Darrius Shepherd","Slot Corner",7.2,83.3,"17.50","3.29","N","plus"
"36","Marquez ValdesScantling","Left Corner",14.1,63.6,"10.29","1.56","N","neutral"
"37","Will Fuller","Right Corner",20,59.1,"14.77","1.46","N","neutral"
"38","Randall Cobb","Slot Corner",15.2,57.1,"11.25","1.21","N","minus"
"39","Brandin Cooks","Left Corner",12.5,60,"21.50","3.09","N","plus"
"40","Marcus Johnson","Right Corner",14,53.6,"10.53","1.53","N","neutral"
"41","Zach Pascal","Slot Corner",12.6,75,"15.11","2.38","N","plus"
"42","TY Hilton","Left Corner",10.1,44.4,"16.13","1.16","N","minus"
"43","DJ Chark","Right Corner",13,58.8,"14.90","1.46","N","neutral"
"44","Keelan Cole","Slot Corner",11.3,45.5,"10.20","2.01","N","plus"
"45","Laviska Shenault","Left Corner",19.5,75,"18.17","2.11","N","plus"
"46","Mecole Hardman","Right Corner",6.4,100,"6.67","1.67","Y","plus"
"47","Tyreek Hill","Slot Corner",14.7,66.7,"11.79","1.45","N","neutral"
"48","Demarcus Robinson","Left Corner",9.1,53.3,"12.50","2.00","N","plus"
"49","Josh Reynolds","Right Corner",7.5,100,"17.50","4.25","N","plus"
"50","Cooper Kupp","Slot Corner",3.8,100,"70.00","8.00","N","plus"
"51","Robert Woods","Left Corner",9.3,44.4,"7.75","0.79","N","minus"
"52","Preston Williams","Right Corner",13.5,66.7,"11.50","1.43","N","neutral"
"53","Isaiah Ford","Slot Corner",12.8,70,"9.50","1.37","N","minus"
"54","DeVante Parker","Left Corner",17.2,78.3,"14.61","2.71","N","plus"
"55","Justin Jefferson","Right Corner",12.7,63,"19.35","2.51","N","plus"
"56","Chad Beebe","Slot Corner",25,55.6,"16.20","1.46","N","neutral"
"57","Adam Thielen","Left Corner",7.1,88.9,"14.75","2.87","N","plus"
"58","Damiere Byrd","Right Corner",NA,NA,"#N/A","#N/A","N","plus"
"59","Julian Edelman","Slot Corner",9,70,"11.71","1.52","N","neutral"
"60","NKeal Harry","Left Corner",10,72.2,"9.08","1.38","N","minus"
"61","Darius Slayton","Right Corner",9.5,25,"12.50","0.56","N","minus"
"62","Golden Tate","Slot Corner",21.5,85.7,"12.58","1.94","N","plus"
"63","Damion Ratley","Left Corner",12.6,59.1,"15.54","1.51","N","neutral"
"64","Jeff Smith","Right Corner",10.2,50,"8.67","0.93","N","minus"
"65","Jamison Crowder","Slot Corner",11.9,60,"19.17","1.75","N","plus"
"66","Breshad Perriman","Left Corner",11.4,47.4,"19.78","1.73","N","plus"
"67","John Hightower","Right Corner",6,44.4,"5.75","0.70","N","minus"
"68","Greg Ward Jr","Slot Corner",16.7,61.8,"8.48","1.14","N","minus"
"69","Travis Fulgham","Left Corner",9.2,45,"14.11","1.39","N","minus"
"70","Chase Claypool","Right Corner",14.5,52.9,"12.17","1.17","N","minus"
"71","JuJu SmithSchuster","Slot Corner",7.5,100,"7.00","1.70","N","plus"
"72","Diontae Johnson","Left Corner",12.7,48.1,"11.54","1.70","N","plus"
"73","Brandon Aiyuk","Right Corner",12.1,78.3,"11.94","1.72","N","plus"
"74","Kendrick Bourne","Slot Corner",11.3,47.8,"8.09","1.39","N","minus"
"75","Deebo Samuel","Left Corner",9.6,47.4,"14.11","1.14","N","minus"
"76","Mike Evans","Right Corner",14.5,47.6,"9.30","1.20","N","minus"
"77","Chris Godwin","Slot Corner",9.9,55.6,"10.80","1.16","N","minus"
"78","Scotty Miller","Left Corner",10.7,61.5,"13.75","1.92","N","plus"
"79","AJ Brown","Right Corner",8.1,60,"8.33","1.90","Y","plus"
"80","Adam Humphries","Slot Corner",7.6,61.5,"18.00","1.72","N","plus"
"81","Corey Davis","Left Corner",19.1,55.6,"12.80","1.49","N","neutral"
"82","Terry McLaurin","Right Corner",14.4,56,"12.86","1.76","Y","minus"
"83","Isaiah Wright","Slot Corner",NA,NA,"#N/A","#N/A","N","minus"
"84","Dontrelle Inman","Left Corner",13.4,77.8,"13.86","1.86","N","plus"
