"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"QB","Patrick Mahomes","KC","BAL","9200","17.5%","59%","28%","8%","0.43"
"RB","Saquon Barkley","NYG","@TB","9200","12.5%","59%","19%","15%","1.24"
"RB","Christian McCaffrey","CAR","@ARI","8900","17.5%","73%","31%","25%","1.43"
"WR","DeAndre Hopkins","HOU","@LAC","8900","17.5%","59%","20%","17%","0.97"
"RB","Ezekiel Elliott","DAL","MIA","8800","32.5%","74%","32%","26%","0.80"
"QB","Lamar Jackson","BAL","@KC","8500","12.5%","55%","26%","7%","0.55"
"QB","Dak Prescott","DAL","MIA","8400","12.5%","56%","27%","7%","0.57"
"RB","Dalvin Cook","MIN","OAK","8300","27.5%","71%","28%","22%","0.82"
"WR","Julio Jones","ATL","@IND","8300","12.5%","58%","17%","15%","1.18"
"QB","Deshaun Watson","HOU","@LAC","8200","3.0%","53%","23%","6%","2.06"
"WR","Davante Adams","GB","DEN","8200","17.5%","57%","18%","16%","0.89"
"RB","Alvin Kamara","NO","@SEA","8000","7.5%","57%","15%","12%","1.62"
"TE","Travis Kelce","KC","BAL","8000","17.5%","52%","21%","12%","0.68"
"WR","Michael Thomas","NO","@SEA","8000","7.5%","45%","9%","8%","1.06"
"QB","Aaron Rodgers","GB","DEN","7900","3.0%","49%","19%","5%","1.70"
"QB","Cam Newton","CAR","@ARI","7900","3.0%","44%","16%","4%","1.47"
"QB","Matt Ryan","ATL","@IND","7800","3.0%","48%","18%","5%","1.60"
"QB","Tom Brady","NE","NYJ","7800","7.5%","55%","21%","6%","0.76"
"WR","Keenan Allen","LAC","HOU","7800","17.5%","58%","17%","15%","0.85"
"QB","Carson Wentz","PHI","DET","7700","3.0%","46%","16%","4%","1.47"
"RB","LeVeon Bell","NYJ","@NE","7700","7.5%","57%","12%","10%","1.33"
"WR","Amari Cooper","DAL","MIA","7700","22.5%","56%","17%","15%","0.65"
"WR","Antonio Brown","NE","NYJ","7700","12.5%","39%","8%","6%","0.51"
"QB","Russell Wilson","SEA","NO","7600","3.0%","47%","17%","5%","1.54"
"RB","Austin Ekeler","LAC","HOU","7600","17.5%","67%","22%","18%","1.02"
"WR","Chris Godwin","TB","NYG","7600","12.5%","47%","11%","10%","0.77"
"QB","Philip Rivers","LAC","HOU","7500","3.0%","46%","15%","4%","1.33"
"QB","Josh Allen","BUF","CIN","7500","7.5%","51%","21%","6%","0.77"
"WR","JuJu Smith-Schuster","PIT","@SF","7500","3.0%","44%","9%","8%","2.55"
"RB","James Conner","PIT","@SF","7400","3.0%","37%","5%","4%","1.36"
"WR","T.Y. Hilton","IND","ATL","7400","7.5%","45%","9%","8%","1.05"
"QB","Jameis Winston","TB","NYG","7300","7.5%","49%","18%","5%","0.66"
"QB","Jimmy Garoppolo","SF","PIT","7200","3.0%","44%","14%","4%","1.28"
"QB","Kirk Cousins","MIN","OAK","7200","3.0%","42%","14%","4%","1.24"
"QB","Kyler Murray","ARI","CAR","7200","7.5%","55%","23%","6%","0.84"
"QB","Andy Dalton","CIN","@BUF","7100","0.5%","34%","9%","2%","4.90"
"RB","Mark Ingram","BAL","@KC","7100","7.5%","40%","6%","5%","0.65"
"WR","Mike Evans","TB","NYG","7100","7.5%","45%","9%","8%","1.05"
"WR","Sammy Watkins","KC","BAL","7100","17.5%","56%","17%","14%","0.81"
"RB","David Johnson","ARI","CAR","7000","7.5%","62%","17%","14%","1.85"
"RB","Marlon Mack","IND","ATL","7000","7.5%","56%","13%","11%","1.41"
"RB","Chris Carson","SEA","NO","7000","12.5%","54%","13%","10%","0.84"
"WR","Adam Thielen","MIN","OAK","7000","7.5%","48%","11%","9%","1.24"
"WR","Kenny Golladay","DET","@PHI","7000","7.5%","45%","9%","8%","1.07"
"QB","Matthew Stafford","DET","@PHI","6900","0.5%","41%","12%","3%","6.48"
"RB","Aaron Jones","GB","DEN","6900","7.5%","58%","14%","11%","1.51"
"TE","Zach Ertz","PHI","DET","6900","7.5%","52%","18%","10%","1.35"
"WR","Julian Edelman","NE","NYJ","6900","7.5%","37%","6%","5%","0.70"
"QB","Teddy Bridgewater","NO","@SEA","6800","0.5%","41%","13%","3%","6.91"
"QB","Jacoby Brissett","IND","ATL","6800","3.0%","47%","17%","5%","1.51"
"RB","Sony Michel","NE","NYJ","6800","12.5%","44%","7%","6%","0.47"
"TE","Mark Andrews","BAL","@KC","6800","12.5%","50%","16%","9%","0.71"
"QB","Derek Carr","OAK","@MIN","6700","0.5%","29%","7%","2%","3.58"
"WR","John Ross","CIN","@BUF","6700","3.0%","34%","5%","4%","1.44"
"WR","Stefon Diggs","MIN","OAK","6700","7.5%","43%","9%","7%","0.97"
"WR","Demarcus Robinson","KC","BAL","6700","12.5%","31%","5%","4%","0.31"
"QB","Mason Rudolph","PIT","@SF","6600","0.5%","39%","11%","3%","5.89"
"RB","Kerryon Johnson","DET","@PHI","6600","3.0%","43%","6%","5%","1.62"
"TE","George Kittle","SF","PIT","6600","7.5%","55%","20%","11%","1.48"
"WR","Tyler Lockett","SEA","NO","6600","7.5%","46%","10%","9%","1.16"
"WR","Tyler Boyd","CIN","@BUF","6600","7.5%","42%","7%","6%","0.84"
"RB","Josh Jacobs","OAK","@MIN","6500","3.0%","42%","5%","4%","1.41"
"RB","Joe Mixon","CIN","@BUF","6500","3.0%","35%","3%","3%","0.94"
"WR","Calvin Ridley","ATL","@IND","6500","7.5%","45%","10%","9%","1.16"
"WR","D.J. Moore","CAR","@ARI","6500","7.5%","43%","8%","7%","0.96"
"QB","Joe Flacco","DEN","@GB","6400","0.5%","29%","6%","2%","3.33"
"RB","Phillip Lindsay","DEN","@GB","6400","0.5%","33%","3%","2%","4.72"
"RB","Damien Williams","KC","BAL","6400","12.5%","44%","7%","5%","0.44"
"TE","Evan Engram","NYG","@TB","6400","7.5%","53%","18%","10%","1.31"
"WR","Mecole Hardman","KC","BAL","6300","7.5%","34%","5%","4%","0.56"
"RB","James White","NE","NYJ","6200","3.0%","35%","4%","3%","1.05"
"RB","Devonta Freeman","ATL","@IND","6200","3.0%","35%","3%","3%","0.93"
"WR","Jamison Crowder","NYJ","@NE","6200","0.5%","27%","3%","2%","4.71"
"WR","DK Metcalf","SEA","NO","6200","3.0%","38%","6%","5%","1.69"
"WR","Tyrell Williams","OAK","@MIN","6200","7.5%","45%","9%","7%","0.98"
"QB","Ryan Fitzpatrick","MIA","@DAL","6100","0.5%","23%","4%","1%","1.93"
"RB","Peyton Barber","TB","NYG","6100","3.0%","41%","6%","4%","1.49"
"RB","Jaylen Samuels","PIT","@SF","6100","0.5%","10%","0%","0%","0.24"
"TE","Greg Olsen","CAR","@ARI","6100","3.0%","38%","8%","5%","1.52"
"WR","Mike Williams","LAC","HOU","6100","3.0%","39%","6%","5%","1.73"
"WR","Marquise Brown","BAL","@KC","6100","7.5%","45%","8%","7%","0.96"
"QB","Daniel Jones","NYG","@TB","6000","0.5%","39%","10%","3%","5.28"
"QB","Luke Falk","NYJ","@NE","6000","0.5%","22%","3%","1%","1.80"
"QB","Cooper Rush","DAL","MIA","6000","3.0%","3%","0%","0%","0.01"
"RB","Carlos Hyde","HOU","@LAC","6000","0.5%","26%","1%","1%","2.38"
"RB","Raheem Mostert","SF","PIT","6000","3.0%","33%","3%","2%","0.70"
"WR","Sterling Shepard","NYG","@TB","6000","0.5%","39%","6%","5%","9.81"
"WR","Will Fuller","HOU","@LAC","6000","3.0%","44%","8%","7%","2.27"
"WR","Josh Gordon","NE","NYJ","6000","7.5%","36%","6%","5%","0.64"
"RB","Royce Freeman","DEN","@GB","5900","0.5%","36%","3%","3%","5.17"
"RB","Matt Breida","SF","PIT","5900","7.5%","47%","7%","5%","0.73"
"RB","Rashaad Penny","SEA","NO","5900","0.5%","14%","0%","0%","0.50"
"TE","Vance McDonald","PIT","@SF","5900","3.0%","33%","6%","3%","1.12"
"TE","Darren Waller","OAK","@MIN","5900","7.5%","48%","13%","7%","0.95"
"WR","Larry Fitzgerald","ARI","CAR","5900","12.5%","53%","12%","10%","0.82"
"WR","John Brown","BUF","CIN","5900","7.5%","46%","8%","7%","0.96"
"WR","Christian Kirk","ARI","CAR","5900","7.5%","44%","8%","7%","0.88"
"RB","Justin Jackson","LAC","HOU","5800","0.5%","27%","2%","1%","2.67"
"RB","Devin Singletary","BUF","CIN","5800","7.5%","39%","4%","3%","0.40"
"TE","O.J. Howard","TB","NYG","5800","3.0%","34%","7%","4%","1.23"
"TE","Jared Cook","NO","@SEA","5800","3.0%","28%","4%","2%","0.80"
"TE","Austin Hooper","ATL","@IND","5800","7.5%","34%","6%","3%","0.46"
"WR","Curtis Samuel","CAR","@ARI","5800","3.0%","43%","8%","7%","2.22"
"RB","Frank Gore","BUF","CIN","5700","0.5%","22%","1%","1%","1.60"
"TE","Eric Ebron","IND","ATL","5700","3.0%","31%","6%","3%","1.07"
"WR","Robby Anderson","NYJ","@NE","5700","0.5%","31%","4%","3%","6.30"
"WR","Emmanuel Sanders","DEN","@GB","5700","7.5%","44%","8%","6%","0.86"
"RB","Jordan Howard","PHI","DET","5600","0.5%","21%","1%","1%","1.48"
"RB","Latavius Murray","NO","@SEA","5600","0.5%","20%","1%","1%","1.29"
"WR","Courtland Sutton","DEN","@GB","5600","0.5%","35%","4%","4%","7.37"
"RB","LeSean McCoy","KC","BAL","5500","0.5%","37%","3%","3%","5.40"
"TE","T.J. Hockenson","DET","@PHI","5500","3.0%","37%","7%","4%","1.27"
"WR","Deebo Samuel","SF","PIT","5500","3.0%","39%","6%","5%","1.66"
"WR","Cody Latimer","NYG","@TB","5500","0.5%","10%","0%","0%","0.32"
"RB","Duke Johnson","HOU","@LAC","5400","0.5%","34%","2%","2%","3.93"
"RB","Miles Sanders","PHI","DET","5400","3.0%","47%","7%","5%","1.83"
"TE","Will Dissly","SEA","NO","5400","3.0%","29%","5%","2%","0.83"
"WR","Marvin Jones","DET","@PHI","5400","0.5%","37%","5%","4%","8.59"
"WR","Marquise Goodwin","SF","PIT","5400","0.5%","28%","3%","2%","4.75"
"RB","Kenyan Drake","MIA","@DAL","5300","0.5%","30%","2%","1%","2.86"
"RB","Ito Smith","ATL","@IND","5300","0.5%","25%","1%","1%","1.78"
"RB","Jeff Wilson","SF","PIT","5300","0.5%","9%","0%","0%","0.12"
"WR","Marquez Valdes-Scantling","GB","DEN","5300","0.5%","35%","5%","4%","8.20"
"WR","Mohamed Sanu","ATL","@IND","5300","0.5%","22%","1%","1%","2.30"
"WR","Randall Cobb","DAL","MIA","5300","3.0%","33%","4%","3%","1.17"
"WR","DaeSean Hamilton","DEN","@GB","5300","0.5%","13%","0%","0%","0.62"
"RB","Giovani Bernard","CIN","@BUF","5200","0.5%","27%","1%","1%","2.19"
"TE","Jack Doyle","IND","ATL","5200","0.5%","29%","4%","2%","4.58"
"WR","James Washington","PIT","@SF","5200","0.5%","33%","4%","3%","6.94"
"WR","Devin Smith","DAL","MIA","5200","0.5%","33%","4%","3%","6.48"
"WR","Geronimo Allison","GB","DEN","5200","0.5%","23%","2%","1%","2.73"
"WR","TreQuan Smith","NO","@SEA","5200","0.5%","18%","1%","1%","1.36"
"WR","T.J. Jones","NYG","@TB","5200","0.5%","7%","0%","0%","0.09"
"RB","Jamaal Williams","GB","DEN","5100","0.5%","13%","0%","0%","0.32"
"RB","Jordan Wilkins","IND","ATL","5100","0.5%","9%","0%","0%","0.10"
"RB","Jalen Richard","OAK","@MIN","5100","0.5%","5%","0%","0%","0.02"
"WR","Preston Williams","MIA","@DAL","5100","0.5%","34%","4%","3%","6.50"
"WR","Cole Beasley","BUF","CIN","5100","0.5%","26%","2%","2%","3.38"
"WR","Kenny Stills","HOU","@LAC","5100","0.5%","15%","0%","0%","0.76"
"DEF","New England Patriots","NE","NYJ","5000","17.5%","64%","29%","40%","2.29"
"DEF","Dallas Cowboys","DAL","MIA","5000","17.5%","61%","23%","32%","1.82"
"RB","Tony Pollard","DAL","MIA","5000","0.5%","13%","0%","0%","0.33"
"RB","Gus Edwards","BAL","@KC","5000","0.5%","10%","0%","0%","0.15"
"TE","Jason Witten","DAL","MIA","5000","0.5%","31%","5%","3%","5.35"
"WR","Ted Ginn","NO","@SEA","5000","0.5%","24%","2%","1%","2.87"
"WR","Damiere Byrd","ARI","CAR","5000","0.5%","24%","2%","1%","2.58"
"WR","Phillip Dorsett","NE","NYJ","5000","0.5%","21%","1%","1%","1.96"
"WR","Hunter Renfrow","OAK","@MIN","5000","0.5%","16%","1%","0%","0.94"
"WR","Parris Campbell","IND","ATL","5000","0.5%","8%","0%","0%","0.14"
"WR","Willie Snead","BAL","@KC","5000","3.0%","13%","0%","0%","0.09"
"RB","Ronald Jones","TB","NYG","4900","0.5%","23%","1%","1%","1.45"
"RB","Kalen Ballage","MIA","@DAL","4900","0.5%","11%","0%","0%","0.17"
"RB","Alexander Mattison","MIN","OAK","4900","0.5%","10%","0%","0%","0.12"
"RB","Chase Edmonds","ARI","CAR","4900","0.5%","4%","0%","0%","0.01"
"TE","Tyler Eifert","CIN","@BUF","4900","0.5%","28%","4%","2%","4.19"
"TE","Jimmy Graham","GB","DEN","4900","3.0%","33%","5%","3%","0.93"
"WR","Danny Amendola","DET","@PHI","4900","0.5%","22%","1%","1%","2.01"
"WR","Keke Coutee","HOU","@LAC","4900","0.5%","19%","1%","1%","1.37"
"WR","Bennie Fowler","NYG","@TB","4900","0.5%","13%","0%","0%","0.52"
"WR","Malik Turner","SEA","NO","4900","0.5%","6%","0%","0%","0.07"
"RB","Nyheim Hines","IND","ATL","4800","0.5%","11%","0%","0%","0.14"
"TE","Hayden Hurst","BAL","@KC","4800","0.5%","18%","1%","1%","1.44"
"TE","Kyle Rudolph","MIN","OAK","4800","3.0%","32%","5%","3%","0.85"
