"team","home_or_away","line","total","favorite","implied_total"
"CLE","home",-2.5,45.5,1,24
"NOR","home",-3.5,49.5,1,26.5
"CAR","home",3,47,0,22
"HOU","home",2.5,49.5,0,23.5
"JAX","home",10.5,47.5,0,18.5
"IND","home",-1.5,52.5,1,27
"WAS","home",-1.5,47.5,1,24.5
"BAL","home",-6,50,1,28
"MIN","home",0,50,1,25
"DEN","home",4,46,0,21
"LAC","home",-9.5,47.5,1,28.5
"PHI","away",2.5,45.5,0,21.5
"ATL","away",3.5,49.5,0,23
"DET","away",-3,47,1,25
"NWE","away",-2.5,49.5,1,26
"PIT","away",-10.5,47.5,1,29
"GNB","away",1.5,52.5,0,25.5
"CIN","away",1.5,47.5,0,23
"TEN","away",6,50,0,22
"DAL","away",0,50,0,25
"MIA","away",-4,46,1,25
"NYJ","away",9.5,47.5,0,19
