"team","home_or_away","line","total","favorite","implied_total"
"IND","home",-15,48,1,31.5
"CHI","home",4.5,48.5,0,22
"NYG","home",1.5,44,0,21.25
"CLE","home",-10,44,1,27
"HOU","home",7,54.5,0,23.75
"CAR","home",6,46.5,0,20.25
"NWE","home",-3,40.5,1,21.75
"DET","home",3,53.5,0,25.25
"TAM","home",-7,50.5,1,28.75
"CIN","home",13.5,45,0,15.75
"BUF","home",3,42.5,0,19.75
"KAN","home",5.5,43,0,18.75
"SFO","home",7,46,0,19.5
"DEN","home",2.5,50.5,0,24
"LAR","home",1,41,0,20
"JAX","away",15,48,0,16.5
"GNB","away",-4.5,48.5,1,26.5
"DAL","away",-1.5,44,1,22.75
"PIT","away",10,44,0,17
"TEN","away",-7,54.5,1,30.75
"NOR","away",-6,46.5,1,26.25
"NYJ","away",3,40.5,0,18.75
"MIN","away",-3,53.5,1,28.25
"ATL","away",7,50.5,0,21.75
"BAL","away",-13.5,45,1,29.25
"MIA","away",-3,42.5,1,22.75
"LAC","away",-5.5,43,1,24.25
"SEA","away",-7,46,1,26.5
"LVR","away",-2.5,50.5,1,26.5
"ARI","away",-1,41,1,21
