"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Saquon Barkley","NYG","ARI","8600","17.5%","60%","19%","20%","1.12"
"QB","Russell Wilson","SEA","BAL","8500","12.5%","59%","29%","9%","0.74"
"QB","Lamar Jackson","BAL","@SEA","8400","7.5%","60%","30%","10%","1.28"
"QB","Deshaun Watson","HOU","@IND","8300","7.5%","59%","29%","9%","1.23"
"RB","Dalvin Cook","MIN","@DET","8300","27.5%","67%","24%","25%","0.89"
"WR","Julio Jones","ATL","LAR","8200","32.5%","60%","20%","21%","0.66"
"WR","Michael Thomas","NO","@CHI","8100","12.5%","51%","12%","13%","1.02"
"WR","DeAndre Hopkins","HOU","@IND","8000","7.5%","52%","13%","14%","1.88"
"RB","Leonard Fournette","JAX","@CIN","7900","42.5%","73%","29%","30%","0.70"
"QB","Matt Ryan","ATL","LAR","7900","12.5%","59%","26%","8%","0.67"
"WR","Cooper Kupp","LAR","@ATL","7800","22.5%","61%","20%","21%","0.92"
"QB","Jared Goff","LAR","@ATL","7800","12.5%","54%","21%","7%","0.54"
"QB","Kyler Murray","ARI","@NYG","7700","7.5%","58%","27%","9%","1.16"
"QB","Josh Allen","BUF","MIA","7700","12.5%","57%","27%","9%","0.69"
"QB","Philip Rivers","LAC","@TEN","7600","0.5%","36%","10%","3%","6.38"
"RB","Aaron Jones","GB","OAK","7600","7.5%","47%","10%","10%","1.38"
"QB","Aaron Rodgers","GB","OAK","7600","7.5%","50%","19%","6%","0.84"
"RB","Chris Carson","SEA","BAL","7600","22.5%","58%","16%","17%","0.74"
"WR","T.Y. Hilton","IND","HOU","7600","17.5%","47%","11%","12%","0.67"
"WR","Keenan Allen","LAC","@TEN","7500","7.5%","49%","12%","12%","1.65"
"RB","Mark Ingram","BAL","@SEA","7500","7.5%","46%","9%","10%","1.28"
"QB","Jimmy Garoppolo","SF","@WAS","7500","7.5%","40%","12%","4%","0.53"
"RB","David Johnson","ARI","@NYG","7400","7.5%","58%","16%","16%","2.16"
"QB","Jacoby Brissett","IND","HOU","7300","3.0%","48%","18%","6%","1.90"
"QB","Kirk Cousins","MIN","@DET","7300","3.0%","40%","13%","4%","1.39"
"QB","Matthew Stafford","DET","MIN","7300","3.0%","39%","11%","4%","1.22"
"WR","Robert Woods","LAR","@ATL","7300","17.5%","45%","10%","10%","0.59"
"QB","Daniel Jones","NYG","ARI","7200","7.5%","47%","17%","6%","0.75"
"WR","Adam Thielen","MIN","@DET","7100","7.5%","46%","11%","12%","1.54"
"RB","Todd Gurley","LAR","@ATL","7100","7.5%","46%","9%","10%","1.27"
"RB","Marlon Mack","IND","HOU","7100","7.5%","47%","8%","8%","1.12"
"WR","Kenny Golladay","DET","MIN","7100","12.5%","46%","11%","12%","0.94"
"TE","George Kittle","SF","@WAS","7100","12.5%","51%","17%","12%","0.93"
"QB","Teddy Bridgewater","NO","@CHI","7000","0.5%","28%","7%","2%","4.22"
"WR","Allen Robinson","CHI","NO","7000","7.5%","42%","7%","8%","1.06"
"QB","Andy Dalton","CIN","JAX","6900","0.5%","41%","13%","4%","8.41"
"QB","Gardner Minshew","JAX","@CIN","6900","3.0%","47%","17%","6%","1.85"
"RB","Austin Ekeler","LAC","@TEN","6900","3.0%","36%","4%","4%","1.25"
"WR","Stefon Diggs","MIN","@DET","6800","7.5%","45%","10%","11%","1.43"
"RB","Kerryon Johnson","DET","MIN","6800","7.5%","46%","8%","8%","1.05"
"QB","Mitch Trubisky","CHI","NO","6800","3.0%","34%","8%","3%","0.91"
"TE","Evan Engram","NYG","ARI","6800","27.5%","51%","18%","12%","0.43"
"RB","Josh Jacobs","OAK","@GB","6700","7.5%","52%","10%","11%","1.44"
"WR","Brandin Cooks","LAR","@ATL","6700","12.5%","47%","11%","11%","0.89"
"TE","Mark Andrews","BAL","@SEA","6700","12.5%","49%","16%","11%","0.84"
"QB","Case Keenum","WAS","SF","6600","0.5%","23%","4%","1%","2.72"
"RB","Melvin Gordon","LAC","@TEN","6600","3.0%","40%","4%","5%","1.54"
"WR","D.J. Chark","JAX","@CIN","6600","12.5%","50%","13%","13%","1.07"
"TE","Austin Hooper","ATL","LAR","6600","12.5%","49%","15%","10%","0.82"
"QB","Derek Carr","OAK","@GB","6500","0.5%","37%","10%","3%","6.30"
"RB","Derrick Henry","TEN","LAC","6500","12.5%","60%","15%","15%","1.23"
"WR","Tyler Lockett","SEA","BAL","6500","17.5%","51%","12%","13%","0.73"
"QB","Ryan Tannehill","TEN","LAC","6400","0.5%","36%","10%","3%","6.32"
"WR","Terry McLaurin","WAS","SF","6400","7.5%","46%","10%","10%","1.35"
"RB","Devonta Freeman","ATL","LAR","6400","7.5%","50%","8%","8%","1.10"
"QB","Ryan Fitzpatrick","MIA","@BUF","6400","3.0%","20%","3%","1%","0.33"
"RB","Carlos Hyde","HOU","@IND","6300","3.0%","41%","5%","5%","1.60"
"WR","Will Fuller","HOU","@IND","6300","7.5%","49%","10%","11%","1.46"
"WR","Marquez Valdes-Scantling","GB","OAK","6300","7.5%","28%","3%","3%","0.46"
