"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"QB","Jacoby Brissett","IND","@LAC","6000","0.5%","44%","14%","4%","8.65"
"RB","Kenyan Drake","MIA","BAL","6000","0.5%","31%","2%","3%","5.76"
"WR","Christian Kirk","ARI","DET","6000","3.0%","36%","5%","6%","2.07"
"RB","Miles Sanders","PHI","WAS","6000","3.0%","36%","4%","4%","1.49"
"WR","Sterling Shepard","NYG","@DAL","6000","7.5%","39%","6%","7%","0.93"
"TE","Eric Ebron","IND","@LAC","5900","0.5%","21%","3%","2%","3.98"
"RB","Derrius Guice","WAS","@PHI","5900","0.5%","26%","2%","2%","3.82"
"RB","Rashaad Penny","SEA","CIN","5900","0.5%","26%","1%","2%","3.43"
"WR","Larry Fitzgerald","ARI","DET","5900","3.0%","37%","5%","6%","2.11"
"RB","Justin Jackson","LAC","IND","5900","3.0%","30%","2%","3%","1.03"
"WR","Dede Westbrook","JAX","KC","5900","12.5%","41%","7%","8%","0.67"
"WR","Curtis Samuel","CAR","LAR","5900","12.5%","38%","7%","8%","0.62"
"RB","LeSean McCoy","KC","@JAX","5800","3.0%","28%","2%","2%","0.81"
"RB","Jordan Howard","PHI","WAS","5800","3.0%","28%","2%","2%","0.79"
"TE","David Njoku","CLE","TEN","5800","7.5%","33%","6%","5%","0.60"
"RB","Kalen Ballage","MIA","BAL","5700","0.5%","19%","1%","1%","1.79"
"WR","Robert Foster","BUF","@NYJ","5700","0.5%","16%","1%","1%","1.63"
"WR","Michael Gallup","DAL","NYG","5600","0.5%","27%","3%","3%","5.96"
"RB","Adrian Peterson","WAS","@PHI","5600","0.5%","24%","1%","1%","2.92"
"WR","Devin Funchess","IND","@LAC","5600","0.5%","18%","1%","1%","2.05"
"WR","DeSean Jackson","PHI","WAS","5600","3.0%","34%","4%","5%","1.73"
"RB","Ronald Jones","TB","SF","5600","0.5%","18%","1%","1%","1.65"
"RB","Dion Lewis","TEN","@CLE","5600","0.5%","19%","1%","1%","1.54"
"WR","DK Metcalf","SEA","CIN","5500","0.5%","27%","3%","3%","6.44"
"WR","John Brown","BUF","@NYJ","5500","3.0%","32%","4%","4%","1.45"
"TE","Austin Hooper","ATL","@MIN","5500","3.0%","28%","4%","3%","1.00"
"RB","Peyton Barber","TB","SF","5500","3.0%","26%","1%","2%","0.59"
"WR","Cody Latimer","NYG","@DAL","5500","0.5%","10%","0%","0%","0.37"
"WR","Marquise Goodwin","SF","@TB","5400","0.5%","31%","3%","4%","7.77"
"WR","Jamison Crowder","NYJ","BUF","5400","0.5%","30%","3%","4%","7.17"
"TE","Jack Doyle","IND","@LAC","5400","0.5%","24%","3%","2%","4.34"
"TE","Delanie Walker","TEN","@CLE","5400","3.0%","36%","6%","5%","1.59"
"TE","Mark Andrews","BAL","@MIA","5400","3.0%","32%","6%","4%","1.39"
"RB","Matt Breida","SF","@TB","5400","7.5%","39%","4%","5%","0.63"
"RB","Ito Smith","ATL","@MIN","5400","0.5%","13%","0%","0%","0.56"
"RB","Alfred Morris","DAL","NYG","5400","0.5%","3%","0%","0%","0.01"
"WR","Mohamed Sanu","ATL","@MIN","5300","0.5%","25%","2%","2%","4.76"
"RB","C.J. Anderson","DET","@ARI","5300","0.5%","27%","1%","2%","3.69"
"WR","DeVante Parker","MIA","BAL","5300","0.5%","16%","1%","1%","1.48"
"RB","Devin Singletary","BUF","@NYJ","5300","0.5%","18%","0%","1%","1.24"
