"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Christian McCaffrey","CAR","@IND","10800","27.5%","66%","29%","31%","1.12"
"QB","Lamar Jackson","BAL","@CLE","9300","17.5%","68%","40%","14%","0.81"
"WR","Michael Thomas","NO","@TEN","9000","32.5%","65%","24%","29%","0.88"
"RB","Derrick Henry","TEN","NO","8800","12.5%","49%","13%","14%","1.08"
"RB","Saquon Barkley","NYG","@WAS","8800","17.5%","50%","12%","13%","0.72"
"RB","Ezekiel Elliott","DAL","@PHI","8700","17.5%","56%","16%","17%","0.97"
"QB","Russell Wilson","SEA","ARI","8300","17.5%","60%","29%","10%","0.59"
"RB","Chris Carson","SEA","ARI","8200","22.5%","59%","17%","19%","0.82"
"QB","Drew Brees","NO","@TEN","8200","12.5%","46%","16%","6%","0.45"
"RB","Nick Chubb","CLE","BAL","8000","3.0%","40%","6%","7%","2.23"
"QB","Dak Prescott","DAL","@PHI","8000","7.5%","48%","19%","7%","0.91"
"WR","Julio Jones","ATL","JAX","8000","22.5%","53%","15%","18%","0.78"
"QB","Ryan Tannehill","TEN","NO","7800","12.5%","49%","20%","7%","0.57"
"RB","Joe Mixon","CIN","@MIA","7800","32.5%","59%","17%","18%","0.56"
"QB","Carson Wentz","PHI","DAL","7700","3.0%","39%","13%","5%","1.51"
"WR","Amari Cooper","DAL","@PHI","7700","12.5%","45%","10%","12%","1.00"
"QB","Matt Ryan","ATL","JAX","7700","7.5%","49%","18%","7%","0.88"
"QB","Kyler Murray","ARI","@SEA","7700","7.5%","47%","18%","6%","0.85"
"RB","Josh Jacobs","OAK","@LAC","7600","3.0%","42%","7%","7%","2.32"
"RB","Mark Ingram","BAL","@CLE","7600","12.5%","46%","10%","11%","0.84"
"WR","Tyler Lockett","SEA","ARI","7600","17.5%","45%","10%","12%","0.68"
"RB","Leonard Fournette","JAX","@ATL","7500","7.5%","57%","13%","14%","1.88"
"QB","Jacoby Brissett","IND","CAR","7500","3.0%","40%","14%","5%","1.62"
"QB","Philip Rivers","LAC","OAK","7500","7.5%","42%","12%","4%","0.59"
"QB","Baker Mayfield","CLE","BAL","7400","0.5%","31%","8%","3%","5.89"
"QB","Sam Darnold","NYJ","PIT","7400","0.5%","29%","7%","3%","5.29"
"WR","Kenny Golladay","DET","@DEN","7400","3.0%","39%","7%","8%","2.76"
"RB","James Conner","PIT","@NYJ","7400","3.0%","42%","6%","7%","2.31"
"RB","Miles Sanders","PHI","DAL","7400","7.5%","45%","8%","8%","1.12"
"QB","Ryan Fitzpatrick","MIA","CIN","7400","7.5%","52%","21%","8%","1.02"
"QB","Daniel Jones","NYG","@WAS","7300","0.5%","38%","12%","4%","8.62"
"QB","Derek Carr","OAK","@LAC","7300","0.5%","33%","9%","3%","6.07"
"RB","Marlon Mack","IND","CAR","7300","7.5%","47%","9%","10%","1.31"
"QB","Drew Lock","DEN","DET","7300","3.0%","34%","10%","3%","1.16"
"WR","T.Y. Hilton","IND","CAR","7300","7.5%","30%","4%","5%","0.64"
"RB","Alvin Kamara","NO","@TEN","7200","7.5%","47%","7%","8%","1.05"
"WR","A.J. Brown","TEN","NO","7200","17.5%","47%","11%","13%","0.74"
"RB","LeVeon Bell","NYJ","PIT","7100","3.0%","43%","6%","6%","2.16"
"QB","Andy Dalton","CIN","@MIA","7100","3.0%","43%","15%","5%","1.75"
"WR","Courtland Sutton","DEN","DET","7100","12.5%","46%","10%","12%","0.99"
"RB","Kenyan Drake","ARI","@SEA","7100","12.5%","45%","8%","8%","0.64"
"QB","Dwayne Haskins","WAS","NYG","7000","0.5%","34%","9%","3%","6.63"
"RB","Melvin Gordon","LAC","OAK","7000","12.5%","49%","10%","11%","0.87"
"QB","Devlin Hodges","PIT","@NYJ","6900","0.5%","33%","9%","3%","6.33"
"WR","DeVante Parker","MIA","CIN","6900","12.5%","49%","12%","14%","1.14"
"WR","Jarvis Landry","CLE","BAL","6900","7.5%","38%","6%","7%","0.95"
"TE","Zach Ertz","PHI","DAL","6900","17.5%","47%","15%","13%","0.71"
"QB","Gardner Minshew","JAX","@ATL","6800","3.0%","42%","13%","5%","1.59"
"RB","Austin Ekeler","LAC","OAK","6800","7.5%","49%","8%","8%","1.12"
"WR","Odell Beckham","CLE","BAL","6700","3.0%","35%","5%","6%","2.12"
"WR","Keenan Allen","LAC","OAK","6700","17.5%","49%","12%","14%","0.79"
