"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Saquon Barkley","NYG","BUF","9200","17.5%","63%","22%","19%","1.09"
"WR","DeAndre Hopkins","HOU","JAX","9000","17.5%","55%","18%","17%","1.00"
"QB","Patrick Mahomes","KC","@OAK","9000","12.5%","54%","24%","8%","0.60"
"RB","Alvin Kamara","NO","@LAR","8700","22.5%","61%","20%","18%","0.78"
"WR","Michael Thomas","NO","@LAR","8500","22.5%","51%","13%","13%","0.58"
"RB","Ezekiel Elliott","DAL","@WAS","8500","17.5%","54%","14%","12%","0.71"
"QB","Deshaun Watson","HOU","JAX","8500","7.5%","51%","23%","7%","0.99"
"QB","Lamar Jackson","BAL","ARI","8200","12.5%","56%","26%","8%","0.67"
"WR","Davante Adams","GB","MIN","8200","7.5%","52%","15%","15%","1.98"
"WR","JuJu Smith-Schuster","PIT","SEA","8100","12.5%","51%","14%","14%","1.08"
"TE","Travis Kelce","KC","@OAK","8000","17.5%","47%","17%","11%","0.62"
"QB","Drew Brees","NO","@LAR","8000","7.5%","44%","15%","5%","0.63"
"QB","Aaron Rodgers","GB","MIN","8000","3.0%","48%","19%","6%","2.00"
"RB","Dalvin Cook","MIN","@GB","7900","17.5%","57%","14%","13%","0.72"
"WR","Amari Cooper","DAL","@WAS","7800","12.5%","46%","11%","10%","0.83"
"QB","Tom Brady","NE","@MIA","7800","12.5%","54%","21%","7%","0.54"
"WR","Antonio Brown","NE","@MIA","7800","7.5%","34%","6%","5%","0.73"
"RB","James Conner","PIT","SEA","7700","7.5%","55%","14%","12%","1.60"
"WR","Keenan Allen","LAC","@DET","7700","7.5%","53%","14%","14%","1.80"
"QB","Dak Prescott","DAL","@WAS","7700","7.5%","51%","21%","7%","0.91"
"QB","Philip Rivers","LAC","@DET","7700","3.0%","43%","13%","4%","1.40"
"QB","Jared Goff","LAR","NO","7600","12.5%","53%","20%","6%","0.52"
"WR","T.Y. Hilton","IND","@TEN","7600","7.5%","38%","6%","6%","0.84"
"QB","Ben Roethlisberger","PIT","SEA","7600","3.0%","47%","17%","5%","1.82"
"QB","Russell Wilson","SEA","@PIT","7600","3.0%","43%","15%","5%","1.64"
"RB","Austin Ekeler","LAC","@DET","7500","22.5%","55%","13%","11%","0.51"
"RB","Mark Ingram","BAL","ARI","7500","17.5%","56%","14%","12%","0.71"
"RB","Derrick Henry","TEN","IND","7500","7.5%","55%","14%","12%","1.61"
"QB","Josh Allen","BUF","@NYG","7500","7.5%","52%","22%","7%","0.94"
"WR","Sammy Watkins","KC","@OAK","7400","27.5%","57%","18%","17%","0.63"
"RB","Chris Carson","SEA","@PIT","7400","7.5%","56%","14%","12%","1.63"
"RB","Marlon Mack","IND","@TEN","7400","7.5%","47%","8%","7%","0.95"
"QB","Marcus Mariota","TEN","IND","7400","3.0%","40%","14%","4%","1.47"
"WR","Robert Woods","LAR","NO","7300","17.5%","43%","9%","9%","0.49"
"WR","Adam Thielen","MIN","@GB","7300","7.5%","42%","8%","8%","1.08"
"RB","David Johnson","ARI","@BAL","7300","3.0%","57%","12%","11%","3.60"
"QB","Kirk Cousins","MIN","@GB","7300","0.5%","38%","12%","4%","7.46"
"WR","Allen Robinson","CHI","@DEN","7200","7.5%","38%","6%","6%","0.84"
"WR","Julian Edelman","NE","@MIA","7100","12.5%","41%","8%","8%","0.62"
"TE","George Kittle","SF","@CIN","7100","12.5%","54%","20%","13%","1.01"
"QB","Andy Dalton","CIN","SF","7100","7.5%","42%","13%","4%","0.58"
"WR","Brandin Cooks","LAR","NO","7000","12.5%","45%","9%","9%","0.68"
"RB","Todd Gurley","LAR","NO","7000","7.5%","56%","14%","12%","1.58"
"QB","Jimmy Garoppolo","SF","@CIN","7000","3.0%","43%","13%","4%","1.43"
