"Day","Tm","WR","Pos","Opp","CB","M/U","Tar %","C %","YPR","YPT","FP/T","Shad","( /-)"
"Sun","ARI","Damiere Byrd","LWR","NYG","Deandre Baker","24","13.5%","69.2%","16.56","11.46","2.30","Y"," "
"Sun","ARI","Larry Fitzgerald","SWR","NYG","Grant Haley","24","9.2%","78.6%","11.45","9.00","2.11","N"," "
"Sun","ARI","KeeSean Johnson","RWR","NYG","Janoris Jenkins","24","16.7%","54.3%","17.58","9.54","1.84","N"," "
"Sun","ATL","Julio Jones","LWR","LAR","Jalen Ramsey","15","20.9%","62.5%","9.80","6.13","1.49","Y","-"
"Sun","ATL","Mohamed Sanu","SWR","LAR","Nickell Robey-Coleman","15","10.4%","47.1%","11.88","5.59","1.38","N","-"
"Sun","ATL","Calvin Ridley","RWR","LAR","Troy Hill","15","7.1%","66.7%","8.00","5.33","1.20","N","-"
"Sun","BAL","Seth Roberts","LWR","SEA","Tre Flowers","6","13.4%","62.5%","15.50","9.69","1.78","N"," "
"Sun","BAL","Willie Snead","SWR","SEA","Jamar Taylor","6","27.8%","40.0%","11.25","4.50","0.85","N","-"
"Sun","BAL","Marquise Brown","RWR","SEA","Shaquill Griffin","6","10.9%","53.8%","9.57","5.15","1.28","N","-"
"Sun","BUF","John Brown","LWR","MIA","Xavien Howard","14","14.2%","64.7%","12.55","8.12","2.16","N"," "
"Sun","BUF","Cole Beasley","SWR","MIA","Jomal Wiltz","14","12.9%","55.6%","28.40","15.78","3.47","N"," "
"Sun","BUF","Duke Williams","RWR","MIA","Ken Webster","14","17.1%","42.9%","13.33","5.71","1.86","N"," "
"Sun","CHI","Allen Robinson","LWR","NO","Marshon Lattimore","18","22.5%","56.3%","16.59","9.33","1.75","N"," "
"Sun","CHI","Anthony Miller","SWR","NO","Ken Crawley","18","-","-","-","-","-","N"," "
"Sun","CHI","Taylor Gabriel","RWR","NO","Eli Apple","18","7.9%","41.2%","23.29","9.59","1.72","Y"," "
"Sun","CIN","Auden Tate","LWR","JAX","A.J. Bouye","25","12.4%","54.2%","17.77","9.63","1.50","Y","N"
"Sun","CIN","Tyler Boyd","SWR","JAX","D.J. Hayden","25","7.6%","54.5%","8.33","4.55","1.00","N","-"
"Sun","CIN","Alex Erickson","RWR","JAX","Tre Herndon","25","18.6%","48.1%","16.54","7.96","1.72","Y"," "
"Sun","DAL","Michael Gallup","LWR","PHI","Rasul Douglas","31","15.3%","46.9%","20.87","9.78","2.20","N"," "
"Sun","DAL","Tavon Austin","SWR","PHI","Avonte Maddox","31","19.4%","60.7%","12.76","7.75","1.38","N","-"
"Sun","DAL","Cedrick Wilson","RWR","PHI","Ronald Darby","31","28.0%","65.2%","17.53","11.43","2.58","N"," "
"Thu","DEN","Courtland Sutton","LWR","KC","Charvarius Ward","19","13.7%","56.7%","14.06","7.97","1.56","N","N"
"Thu","DEN","DaeSean Hamilton","SWR","KC","Kendall Fuller","19","7.8%","69.2%","18.22","12.62","2.88","N"," "
"Thu","DEN","Emmanuel Sanders","RWR","KC","Bashaud Breeland","19","14.1%","48.4%","15.93","7.71","1.64","N"," "
"Sun","DET","Kenny Golladay","LWR","MIN","Xavier Rhodes","20","16.0%","73.5%","10.68","7.85","1.70","Y"," "
"Sun","DET","Danny Amendola","SWR","MIN","Mackensie Alexander","20","8.9%","40.0%","3.50","1.40","0.54","N","-"
"Sun","DET","Marvin Jones","RWR","MIN","Trae Waynes","20","17.6%","65.8%","10.20","6.71","1.64","N"," "
"Sun","GB","Jake Kumerow","LWR","OAK","Daryl Worley","26","15.5%","37.0%","11.20","4.15","0.79","N","-"
"Sun","GB","Geronimo Allison","SWR","OAK","Lamarcus Joyner","26","11.6%","72.2%","12.31","8.89","1.94","N"," "
"Sun","GB","Marquez Valdes-Scantling","RWR","OAK","Gareon Conley","26","13.3%","77.3%","13.41","10.36","2.90","N"," "
"Sun","HOU","DeAndre Hopkins","LWR","IND","Rock Ya-Sin","10","10.2%","60.0%","16.00","9.60","2.36","N"," "
"Sun","HOU","Kenny Stills","SWR","IND","Kenny Moore II","10","15.2%","68.2%","9.87","6.73","1.35","N","N"
"Sun","HOU","Will Fuller","RWR","IND","Pierre Desir","10","10.5%","53.3%","21.00","11.20","1.65","N"," "
"Sun","IND","Zach Pascal","LWR","HOU","Lonnie Johnson Jr.","29","12.8%","56.5%","11.77","6.65","1.49","N","N"
"Sun","IND","Chester Rogers","SWR","HOU","Phillip Gaines","29","18.4%","57.1%","19.50","11.14","2.54","N"," "
"Sun","IND","T.Y. Hilton","RWR","HOU","Johnathan Joseph","29","18.5%","69.2%","12.74","8.82","1.88","N"," "
"Sun","JAX","Chris Conley","LWR","CIN","Torry McTyer","11","-","-","-","-","-","N"," "
"Sun","JAX","Dede Westbrook","SWR","CIN","Tony McRae","11","9.5%","75.0%","7.33","5.50","1.30","N","-"
"Sun","JAX","D.J. Chark","RWR","CIN","B.W. Webb","11","6.7%","50.0%","16.00","8.00","1.30","N","-"
"Thu","KC","Byron Pringle","LWR","DEN","Davontae Harris","5","15.6%","40.0%","12.50","5.00","0.90","N","-"
"Thu","KC","Tyreek Hill","SWR","DEN","Duke Dawson Jr","5","2.8%","100.0%","19.50","19.50","2.95","Y"," "
"Thu","KC","Demarcus Robinson","RWR","DEN","Chris Harris Jr","5","8.7%","55.6%","15.40","8.56","1.41","N","N"
"Sun","LAC","Mike Williams","LWR","TEN","Malcolm Butler","4","14.9%","63.6%","12.81","8.15","1.82","N"," "
"Sun","LAC","Keenan Allen","SWR","TEN","Logan Ryan","4","11.8%","52.0%","12.15","6.32","1.39","N","-"
"Sun","LAC","Travis Benjamin","RWR","TEN","Adoree' Jackson","4","7.0%","69.2%","10.22","7.08","1.86","N"," "
"Sun","LAR","Brandin Cooks","LWR","ATL","Isaiah Oliver","27","17.2%","69.7%","15.22","10.61","2.30","N"," "
"Sun","LAR","Cooper Kupp","SWR","ATL","Damontae Kazee","27","11.8%","62.5%","12.20","7.63","1.39","N","-"
"Sun","LAR","Robert Woods","RWR","ATL","Desmond Trufant","27","11.7%","55.6%","18.20","10.11","2.90","N"," "
"Sun","MIA","Preston Williams","LWR","BUF","Levi Wallace","7","22.1%","51.2%","8.59","4.40","1.09","N","-"
"Sun","MIA","Albert Wilson","SWR","BUF","Taron Johnson","7","19.0%","50.0%","7.00","3.50","0.85","N","-"
"Sun","MIA","DeVante Parker","RWR","BUF","Tre'Davious White","7","11.5%","50.0%","12.36","6.18","1.12","N","-"
"Sun","MIN","Stefon Diggs","LWR","DET","Darius Slay","3","16.7%","47.4%","12.11","5.74","1.05","N","-"
"Sun","MIN","Olabasi Johnson","SWR","DET","Justin Coleman","3","22.0%","51.4%","12.05","6.19","1.62","Y"," "
"Sun","MIN","Adam Thielen","RWR","DET","Rashaan Melvin","3","20.6%","47.2%","16.18","7.64","1.24","N","-"
"Mon","NE","Josh Gordon","LWR","NYJ","Darryl Roberts","30","22.6%","65.1%","9.82","6.40","1.71","N"," "
"Mon","NE","Julian Edelman","SWR","NYJ","Brian Poole","30","17.1%","51.9%","9.36","4.85","1.00","N","-"
"Mon","NE","Jakobi Meyers","RWR","NYJ","Trumaine Johnson","30","15.5%","66.7%","11.75","7.83","1.45","N","N"
"Sun","NO","Michael Thomas","LWR","CHI","Prince Amukamara","17","10.3%","66.7%","13.00","8.67","1.82","N"," "
"Sun","NO","TreQuan Smith","SWR","CHI","Buster Skrine","17","11.5%","52.9%","8.44","4.47","1.33","N","-"
"Sun","NO","Ted Ginn","RWR","CHI","Kyle Fuller","17","14.6%","70.0%","10.24","7.17","1.62","N"," "
"Mon","NYJ","Robby Anderson","LWR","NE","Stephon Gilmore","8","17.6%","47.4%","12.89","6.11","1.08","Y","-"
"Mon","NYJ","Jamison Crowder","SWR","NE","Jonathan Jones","8","15.2%","40.7%","13.55","5.52","1.18","Y","-"
"Mon","NYJ","Demaryius Thomas","RWR","NE","Jason McCourty","8","16.9%","46.9%","11.47","5.38","1.01","Y","-"
"Sun","NYG","Darius Slayton","LWR","ARI","Patrick Peterson","9","-","-","-","-","-","N","-"
"Sun","NYG","Golden Tate","SWR","ARI","Tramaine Brock Sr","9","12.5%","50.0%","17.08","8.54","1.60","N"," "
"Sun","NYG","Cody Latimer","RWR","ARI","Byron Murphy","9","18.4%","68.3%","10.18","6.95","1.96","N"," "
"Sun","OAK","Tyrell Williams","LWR","GB","Kevin King","1","22.4%","55.6%","20.25","11.25","1.85","N"," "
"Sun","OAK","Hunter Renfrow","SWR","GB","Tramon Williams","1","10.2%","50.0%","18.63","9.31","1.81","N"," "
"Sun","OAK","Zay Jones","RWR","GB","Jaire Alexander","1","19.6%","37.5%","18.00","6.75","1.35","Y","-"
"Sun","PHI","Alshon Jeffery","LWR","DAL","Byron Jones","13","14.9%","53.8%","12.36","6.65","1.43","N","N"
"Sun","PHI","Nelson Agholor","SWR","DAL","Anthony Brown","13","11.6%","52.6%","12.70","6.68","1.19","N","-"
"Sun","PHI","DeSean Jacksn","RWR","DAL","Chidobe Awuzie","13","14.5%","57.6%","17.58","10.12","1.77","N"," "
"Sun","SEA","DK Metcalf","LWR","BAL","Marcus Peters","21","9.3%","55.0%","19.73","10.85","2.24","N"," "
"Sun","SEA","Tyler Lockett","SWR","BAL","Brandon Carr","21","14.5%","53.6%","11.53","6.18","1.37","N","-"
"Sun","SEA","Jaron Brown","RWR","BAL","Marlon Humphrey","21","15.1%","38.7%","15.58","6.03","1.18","N","-"
"Sun","SF","Deebo Samuel","LWR","WAS","Quinton Dunbar","32","18.2%","50.0%","13.36","6.68","1.17","Y","-"
"Sun","SF","Dante Pettis","SWR","WAS","Fabian Moreau","32","9.6%","83.3%","8.40","7.00","2.03","N"," "
"Sun","SF","Marquise Goodwin","RWR","WAS","Josh Norman","32","13.9%","71.9%","16.35","11.75","2.64","N"," "
"Sun","TEN","A.J. Brown","LWR","LAC","Michael Davis","23","12.0%","66.7%","7.50","5.00","1.17","Y","-"
"Sun","TEN","Adam Humphries","SWR","LAC","Desmond King II","23","8.5%","70.0%","13.00","9.10","2.21","N"," "
"Sun","TEN","Corey Davis","RWR","LAC","Casey Hayward Jr","23","11.4%","47.4%","11.56","5.47","1.34","Y","-"
"Sun","WAS","Terry McLaurin","LWR","SF","Ahkello Witherspoon","12","14.7%","31.3%","23.40","7.31","1.42","N","N"
"Sun","WAS","Trey Quinn","SWR","SF","K'Waun Williams","12","9.6%","55.6%","14.20","7.89","1.34","N","-"
"Sun","WAS","Paul Richardson","RWR","SF","Richard Sherman","12","13.0%","60.0%","9.08","5.45","1.45","N","N"
