"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Christian McCaffrey","CAR","ATL","10500","27.5%","77%","40%","41%","1.47"
"WR","Michael Thomas","NO","@TB","9000","27.5%","69%","29%","29%","1.04"
"QB","Lamar Jackson","BAL","HOU","8800","17.5%","64%","35%","13%","0.76"
"RB","Dalvin Cook","MIN","DEN","8600","22.5%","68%","25%","26%","1.15"
"RB","Ezekiel Elliott","DAL","@DET","8400","17.5%","55%","15%","16%","0.90"
"WR","DeAndre Hopkins","HOU","@BAL","8300","17.5%","57%","17%","16%","0.93"
"QB","Drew Brees","NO","@TB","8300","12.5%","47%","16%","6%","0.50"
"WR","Mike Evans","TB","NO","8200","17.5%","58%","19%","19%","1.06"
"QB","Deshaun Watson","HOU","@BAL","8200","12.5%","54%","25%","9%","0.75"
"WR","Amari Cooper","DAL","@DET","8100","12.5%","52%","15%","15%","1.17"
"QB","Dak Prescott","DAL","@DET","8100","12.5%","56%","26%","10%","0.79"
"RB","Josh Jacobs","OAK","CIN","8000","22.5%","66%","23%","23%","1.03"
"WR","Chris Godwin","TB","NO","8000","17.5%","54%","15%","15%","0.86"
"QB","Jimmy Garoppolo","SF","ARI","8000","7.5%","43%","15%","6%","0.75"
"WR","Julio Jones","ATL","@CAR","7800","12.5%","56%","16%","15%","1.23"
"QB","Josh Allen","BUF","@MIA","7800","7.5%","49%","21%","8%","1.05"
"RB","Alvin Kamara","NO","@TB","7800","12.5%","53%","12%","12%","0.97"
"QB","Tom Brady","NE","@PHI","7800","7.5%","47%","17%","6%","0.85"
"QB","Kirk Cousins","MIN","DEN","7700","3.0%","37%","11%","4%","1.42"
"QB","Kyler Murray","ARI","@SF","7600","3.0%","41%","15%","6%","1.86"
"QB","Jameis Winston","TB","NO","7600","7.5%","50%","19%","7%","0.98"
"QB","Matt Ryan","ATL","@CAR","7600","7.5%","49%","18%","7%","0.93"
"WR","Kenny Golladay","DET","DAL","7600","7.5%","33%","6%","5%","0.72"
"QB","Jacoby Brissett","IND","JAX","7500","3.0%","35%","10%","4%","1.27"
"RB","Mark Ingram","BAL","HOU","7500","12.5%","37%","6%","6%","0.48"
