"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"QB","Patrick Mahomes","KC","@DET","9200","12.5%","62%","31%","9%","0.73"
"RB","Christian McCaffrey","CAR","@HOU","9000","22.5%","63%","21%","22%","0.99"
"WR","DeAndre Hopkins","HOU","CAR","8700","17.5%","49%","13%","11%","0.61"
"WR","Julio Jones","ATL","TEN","8500","12.5%","50%","13%","11%","0.86"
"RB","Dalvin Cook","MIN","@CHI","8300","7.5%","53%","13%","14%","1.85"
"QB","Lamar Jackson","BAL","CLE","8300","7.5%","62%","32%","9%","1.25"
"QB","Deshaun Watson","HOU","CAR","8200","7.5%","53%","24%","7%","0.94"
"RB","Austin Ekeler","LAC","@MIA","8100","42.5%","72%","27%","29%","0.69"
"WR","Keenan Allen","LAC","@MIA","8100","32.5%","73%","32%","27%","0.82"
"WR","Odell Beckham","CLE","@BAL","7900","7.5%","52%","13%","10%","1.40"
"QB","Matt Ryan","ATL","TEN","7900","7.5%","48%","18%","5%","0.72"
"RB","Mark Ingram","BAL","CLE","7800","12.5%","49%","11%","12%","0.96"
"QB","Philip Rivers","LAC","@MIA","7800","12.5%","48%","17%","5%","0.39"
"QB","Russell Wilson","SEA","@ARI","7800","7.5%","65%","33%","10%","1.29"
"QB","Tom Brady","NE","@BUF","7800","7.5%","45%","15%","4%","0.60"
"WR","Mike Evans","TB","@LAR","7700","12.5%","46%","10%","8%","0.67"
"QB","Jared Goff","LAR","TB","7700","7.5%","50%","18%","5%","0.72"
"TE","Travis Kelce","KC","@DET","7600","12.5%","62%","29%","14%","1.14"
"QB","Kyler Murray","ARI","SEA","7600","7.5%","50%","20%","6%","0.80"
"QB","Jameis Winston","TB","@LAR","7500","3.0%","40%","13%","4%","1.30"
"QB","Baker Mayfield","CLE","@BAL","7500","3.0%","39%","12%","3%","1.16"
"QB","Josh Allen","BUF","NE","7400","3.0%","45%","17%","5%","1.66"
"RB","Marlon Mack","IND","OAK","7300","22.5%","59%","16%","17%","0.74"
"WR","Brandin Cooks","LAR","TB","7300","12.5%","47%","10%","8%","0.65"
"RB","Nick Chubb","CLE","@BAL","7300","7.5%","50%","9%","10%","1.34"
"QB","Daniel Jones","NYG","WAS","7300","7.5%","49%","18%","5%","0.72"
"QB","Jacoby Brissett","IND","OAK","7300","7.5%","45%","17%","5%","0.66"
"QB","Case Keenum","WAS","@NYG","7200","0.5%","38%","11%","3%","6.33"
"WR","Chris Godwin","TB","@LAR","7100","7.5%","46%","10%","8%","1.05"
"WR","Robert Woods","LAR","TB","7100","7.5%","43%","9%","7%","0.95"
"WR","Cooper Kupp","LAR","TB","7000","12.5%","53%","15%","12%","0.98"
"RB","Chris Carson","SEA","@ARI","7000","12.5%","48%","10%","10%","0.82"
"RB","Derrick Henry","TEN","@ATL","7000","7.5%","52%","11%","12%","1.62"
"WR","Adam Thielen","MIN","@CHI","7000","3.0%","40%","7%","6%","1.94"
"WR","Allen Robinson","CHI","MIN","7000","3.0%","40%","6%","5%","1.75"
"WR","Sammy Watkins","KC","@DET","6900","17.5%","53%","15%","13%","0.72"
"WR","Julian Edelman","NE","@BUF","6900","7.5%","45%","10%","8%","1.07"
"RB","Phillip Lindsay","DEN","JAX","6900","7.5%","44%","7%","7%","0.94"
"QB","Matthew Stafford","DET","KC","6900","3.0%","50%","17%","5%","1.69"
"QB","Marcus Mariota","TEN","@ATL","6900","0.5%","40%","13%","4%","7.50"
"QB","Kirk Cousins","MIN","@CHI","6900","0.5%","22%","4%","1%","2.53"
"TE","Evan Engram","NYG","WAS","6800","17.5%","66%","30%","15%","0.87"
"RB","David Johnson","ARI","SEA","6800","12.5%","61%","15%","16%","1.28"
"RB","Todd Gurley","LAR","TB","6800","7.5%","47%","9%","10%","1.29"
"QB","Kyle Allen","CAR","@HOU","6800","3.0%","44%","14%","4%","1.39"
"QB","Mitch Trubisky","CHI","MIN","6800","0.5%","35%","10%","3%","5.76"
"QB","Derek Carr","OAK","@IND","6800","0.5%","34%","8%","3%","5.01"
"TE","Darren Waller","OAK","@IND","6700","12.5%","51%","16%","8%","0.63"
"WR","Kenny Golladay","DET","KC","6700","7.5%","49%","12%","10%","1.29"
"WR","Demarcus Robinson","KC","@DET","6700","7.5%","41%","8%","6%","0.85"
"QB","Gardner Minshew","JAX","@DEN","6700","3.0%","41%","13%","4%","1.25"
"WR","Tyler Lockett","SEA","@ARI","6600","22.5%","58%","17%","14%","0.61"
"RB","Kerryon Johnson","DET","KC","6500","12.5%","51%","9%","10%","0.79"
"WR","Sterling Shepard","NYG","WAS","6500","12.5%","46%","10%","8%","0.65"
"WR","Mecole Hardman","KC","@DET","6500","7.5%","41%","8%","6%","0.85"
"RB","Leonard Fournette","JAX","@DEN","6400","7.5%","53%","9%","10%","1.33"
"WR","D.J. Moore","CAR","@HOU","6400","7.5%","43%","8%","7%","0.93"
"TE","Austin Hooper","ATL","TEN","6400","7.5%","41%","11%","5%","0.72"
"QB","Joe Flacco","DEN","JAX","6400","0.5%","34%","8%","2%","4.69"
"WR","Terry McLaurin","WAS","@NYG","6300","7.5%","48%","10%","9%","1.15"
"RB","LeSean McCoy","KC","@DET","6300","3.0%","45%","7%","7%","2.37"
"WR","Josh Gordon","NE","@BUF","6200","7.5%","45%","9%","7%","0.94"
"RB","Devonta Freeman","ATL","TEN","6200","3.0%","47%","8%","8%","2.68"
"WR","Jarvis Landry","CLE","@BAL","6200","3.0%","35%","5%","4%","1.37"
"RB","James White","NE","@BUF","6200","3.0%","35%","4%","4%","1.30"
"QB","Josh Rosen","MIA","LAC","6200","0.5%","27%","5%","2%","3.12"
"TE","Mark Andrews","BAL","CLE","6100","7.5%","49%","14%","7%","0.94"
"WR","DK Metcalf","SEA","@ARI","6100","3.0%","44%","8%","7%","2.29"
"WR","Stefon Diggs","MIN","@CHI","6100","3.0%","36%","5%","4%","1.34"
"RB","Sony Michel","NE","@BUF","6100","3.0%","32%","3%","3%","0.94"
"TE","Greg Olsen","CAR","@HOU","6000","7.5%","49%","14%","7%","0.91"
"RB","Josh Jacobs","OAK","@IND","6000","3.0%","47%","7%","7%","2.44"
"RB","David Montgomery","CHI","MIN","6000","3.0%","43%","6%","6%","2.15"
"WR","D.J. Chark","JAX","@DEN","6000","3.0%","40%","6%","5%","1.73"
"QB","Dwayne Haskins","WAS","@NYG","6000","0.5%","2%","0%","0%","0.03"
"WR","Larry Fitzgerald","ARI","SEA","5900","12.5%","52%","12%","10%","0.76"
"WR","Marvin Jones","DET","KC","5900","12.5%","47%","9%","8%","0.60"
"WR","Christian Kirk","ARI","SEA","5900","7.5%","48%","10%","8%","1.08"
"WR","Tyrell Williams","OAK","@IND","5900","3.0%","44%","8%","7%","2.30"
"WR","Will Fuller","HOU","CAR","5900","3.0%","41%","7%","6%","1.89"
"WR","Phillip Dorsett","NE","@BUF","5900","3.0%","35%","5%","4%","1.40"
"RB","Carlos Hyde","HOU","CAR","5900","3.0%","35%","3%","3%","1.07"
"TE","O.J. Howard","TB","@LAR","5900","0.5%","32%","6%","3%","5.82"
"RB","Rashaad Penny","SEA","@ARI","5900","0.5%","8%","0%","0%","0.19"
"RB","Wayne Gallman","NYG","WAS","5800","17.5%","47%","8%","8%","0.46"
"WR","Calvin Ridley","ATL","TEN","5800","3.0%","46%","10%","8%","2.76"
"WR","Curtis Samuel","CAR","@HOU","5800","3.0%","46%","9%","7%","2.33"
"RB","Tarik Cohen","CHI","MIN","5800","0.5%","26%","1%","2%","3.07"
"WR","Marquise Brown","BAL","CLE","5700","12.5%","51%","11%","9%","0.73"
"TE","Delanie Walker","TEN","@ATL","5700","3.0%","45%","11%","6%","1.84"
"WR","Courtland Sutton","DEN","JAX","5700","3.0%","39%","6%","5%","1.56"
"WR","Mohamed Sanu","ATL","TEN","5700","0.5%","27%","3%","2%","4.19"
"RB","Frank Gore","BUF","NE","5700","0.5%","28%","2%","2%","3.44"
"RB","Peyton Barber","TB","@LAR","5700","0.5%","24%","1%","1%","2.57"
"RB","Rex Burkhead","NE","@BUF","5600","7.5%","29%","2%","2%","0.28"
"WR","John Brown","BUF","NE","5600","3.0%","43%","7%","6%","1.95"
"WR","Parris Campbell","IND","OAK","5600","0.5%","25%","2%","2%","3.08"
"WR","Emmanuel Sanders","DEN","JAX","5500","3.0%","43%","7%","6%","2.02"
"RB","Darrel Williams","KC","@DET","5500","3.0%","30%","2%","2%","0.72"
"RB","Royce Freeman","DEN","JAX","5500","0.5%","39%","4%","4%","8.03"
"RB","Adrian Peterson","WAS","@NYG","5500","0.5%","35%","3%","3%","6.30"
"RB","Malcolm Brown","LAR","TB","5500","0.5%","26%","1%","2%","3.07"
"TE","Will Dissly","SEA","@ARI","5400","7.5%","50%","15%","7%","0.97"
"WR","Kenny Stills","HOU","CAR","5400","0.5%","31%","3%","3%","5.70"
"WR","Trey Quinn","WAS","@NYG","5400","0.5%","23%","1%","1%","2.40"
"WR","Zach Pascal","IND","OAK","5400","0.5%","13%","0%","0%","0.57"
"RB","Devin Singletary","BUF","NE","5400","0.5%","5%","0%","0%","0.03"
"DEF","Los Angeles Chargers","LAC","@MIA","5300","17.5%","54%","17%","34%","1.94"
"RB","Chris Thompson","WAS","@NYG","5300","3.0%","45%","4%","5%","1.51"
"TE","Eric Ebron","IND","OAK","5300","0.5%","38%","8%","4%","7.88"
"WR","Dede Westbrook","JAX","@DEN","5300","0.5%","31%","3%","3%","5.38"
"RB","Kenyan Drake","MIA","LAC","5300","0.5%","33%","2%","2%","4.37"
"RB","Duke Johnson","HOU","CAR","5300","0.5%","26%","1%","1%","2.91"
"RB","Gus Edwards","BAL","CLE","5300","0.5%","10%","0%","0%","0.23"
"TE","T.J. Hockenson","DET","KC","5200","7.5%","37%","7%","3%","0.43"
"WR","Preston Williams","MIA","LAC","5200","3.0%","37%","5%","4%","1.35"
"WR","Corey Davis","TEN","@ATL","5200","0.5%","32%","4%","3%","5.80"
"TE","Jack Doyle","IND","OAK","5200","0.5%","31%","5%","3%","5.07"
"WR","Cole Beasley","BUF","NE","5200","0.5%","31%","3%","3%","5.11"
"WR","J.J. Nelson","OAK","@IND","5200","0.5%","26%","2%","2%","3.39"
"WR","Anthony Miller","CHI","MIN","5200","0.5%","23%","2%","1%","2.55"
"WR","Adam Humphries","TEN","@ATL","5200","0.5%","20%","1%","1%","1.65"
"TE","Vernon Davis","WAS","@NYG","5100","0.5%","34%","6%","3%","5.52"
"WR","Chris Conley","JAX","@DEN","5100","0.5%","28%","2%","2%","4.04"
"RB","Ronald Jones","TB","@LAR","5100","0.5%","26%","1%","1%","2.25"
"TE","Jordan Akins","HOU","CAR","5100","0.5%","19%","2%","1%","1.73"
"WR","DeVante Parker","MIA","LAC","5000","3.0%","30%","3%","2%","0.81"
"WR","Cody Latimer","NYG","WAS","5000","0.5%","27%","2%","2%","4.01"
"TE","Tyler Higbee","LAR","TB","5000","0.5%","21%","2%","1%","1.95"
"WR","Willie Snead","BAL","CLE","5000","0.5%","18%","1%","1%","1.23"
"TE","Ricky Seals-Jones","CLE","@BAL","5000","0.5%","9%","0%","0%","0.27"
"RB","Jalen Richard","OAK","@IND","5000","0.5%","8%","0%","0%","0.09"
"WR","DaeSean Hamilton","DEN","JAX","5000","0.5%","6%","0%","0%","0.05"
"RB","Elijhaa Penny","NYG","WAS","5000","0.5%","5%","0%","0%","0.02"
"TE","Trey Burton","CHI","MIN","4900","0.5%","31%","4%","2%","4.44"
"WR","Danny Amendola","DET","KC","4900","0.5%","27%","2%","2%","3.54"
"TE","Nick Boyle","BAL","CLE","4900","0.5%","20%","2%","1%","1.74"
"WR","Hunter Renfrow","OAK","@IND","4900","0.5%","20%","1%","1%","1.54"
"RB","Kalen Ballage","MIA","LAC","4900","0.5%","13%","0%","0%","0.34"
"RB","Dion Lewis","TEN","@ATL","4900","0.5%","11%","0%","0%","0.21"
"RB","Jordan Wilkins","IND","OAK","4900","0.5%","10%","0%","0%","0.15"
"RB","Alexander Mattison","MIN","@CHI","4900","0.5%","10%","0%","0%","0.15"
"RB","Mike Davis","CHI","MIN","4900","0.5%","5%","0%","0%","0.02"
"DEF","New England Patriots","NE","@BUF","4800","12.5%","49%","8%","16%","1.24"
"WR","Dontrelle Inman","LAC","@MIA","4800","7.5%","41%","6%","5%","0.68"
"WR","David Moore","SEA","@ARI","4800","0.5%","22%","1%","1%","1.93"
"RB","C.J. Prosise","SEA","@ARI","4800","0.5%","19%","0%","0%","0.91"
"RB","Ito Smith","ATL","TEN","4800","0.5%","16%","0%","0%","0.68"
"RB","Nyheim Hines","IND","OAK","4800","0.5%","16%","0%","0%","0.54"
"WR","Darius Slayton","NYG","WAS","4800","0.5%","13%","0%","0%","0.42"
"WR","Tajae Sharpe","TEN","@ATL","4800","0.5%","10%","0%","0%","0.22"
"WR","Chad Beebe","MIN","@CHI","4800","0.5%","3%","0%","0%","0.01"
"RB","Dontrell Hilliard","CLE","@BAL","4800","0.5%","3%","0%","0%","0.01"
"WR","Taylor Gabriel","CHI","MIN","4800","0.5%","2%","0%","0%","0.00"
"DEF","Chicago Bears","CHI","MIN","4700","7.5%","53%","10%","21%","2.77"
"WR","Paul Richardson","WAS","@NYG","4700","3.0%","41%","7%","5%","1.79"
"DEF","Jacksonville Jaguars","JAX","@DEN","4700","3.0%","28%","0%","1%","0.32"
"WR","A.J. Brown","TEN","@ATL","4700","0.5%","27%","2%","2%","3.71"
"TE","Dawson Knox","BUF","NE","4700","0.5%","25%","3%","1%","2.64"
"TE","Darren Fells","HOU","CAR","4700","0.5%","14%","1%","0%","0.63"
"WR","Bennie Fowler","NYG","WAS","4700","0.5%","11%","0%","0%","0.29"
"WR","Zay Jones","BUF","NE","4700","0.5%","11%","0%","0%","0.26"
"WR","Chester Rogers","IND","OAK","4700","0.5%","10%","0%","0%","0.20"
"RB","D'Ernest Johnson","CLE","@BAL","4700","0.5%","5%","0%","0%","0.02"
"RB","Chase Edmonds","ARI","SEA","4700","0.5%","4%","0%","0%","0.01"
"RB","Darrell Henderson","LAR","TB","4700","0.5%","2%","0%","0%","0.00"
"TE","Noah Fant","DEN","JAX","4600","0.5%","30%","4%","2%","3.72"
"WR","KeeSean Johnson","ARI","SEA","4600","0.5%","28%","2%","2%","3.69"
"TE","James O'Shaughnessy","JAX","@DEN","4600","0.5%","29%","4%","2%","3.49"
"TE","Mike Gesicki","MIA","LAC","4600","0.5%","25%","3%","1%","2.56"
"TE","Irv Smith Jr.","MIN","@CHI","4600","0.5%","12%","0%","0%","0.40"
"TE","Kyle Rudolph","MIN","@CHI","4600","0.5%","10%","0%","0%","0.28"
"WR","Albert Wilson","MIA","LAC","4600","0.5%","9%","0%","0%","0.15"
"WR","Breshad Perriman","TB","@LAR","4600","0.5%","4%","0%","0%","0.02"
"RB","J.D. McKissic","DET","KC","4600","0.5%","4%","0%","0%","0.01"
"RB","T.J. Yeldon","BUF","NE","4600","0.5%","3%","0%","0%","0.00"
"RB","Melvin Gordon","LAC","@MIA","4500","3.0%","32%","2%","2%","0.65"
