"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"DEF","Buffalo Bills","BUF","WAS","5000","22.5%","58%","19%","48%","2.15"
"RB","Christian McCaffrey","CAR","TEN","9700","27.5%","70%","30%","32%","1.15"
"RB","Dalvin Cook","MIN","@KC","9000","22.5%","67%","25%","27%","1.19"
"WR","Chris Godwin","TB","@SEA","8200","17.5%","57%","17%","23%","1.33"
"RB","LeVeon Bell","NYJ","@MIA","7000","22.5%","68%","22%","23%","1.03"
"RB","Jaylen Samuels","PIT","IND","5000","47.5%","74%","22%","23%","0.49"
"RB","Nick Chubb","CLE","@DEN","8100","17.5%","64%","21%","22%","1.25"
"RB","Aaron Jones","GB","@LAC","7700","22.5%","65%","21%","22%","0.99"
"WR","Tyler Lockett","SEA","TB","7500","27.5%","57%","16%","22%","0.80"
"WR","Mike Evans","TB","@SEA","8100","22.5%","54%","15%","20%","0.91"
"WR","Kenny Golladay","DET","@OAK","7600","17.5%","51%","14%","19%","1.07"
"WR","Tyreek Hill","KC","MIN","7700","12.5%","49%","13%","17%","1.37"
"RB","Josh Jacobs","OAK","DET","7200","17.5%","58%","15%","16%","0.92"
"TE","Darren Waller","OAK","DET","6800","22.5%","53%","18%","16%","0.73"
"TE","Hunter Henry","LAC","GB","6400","17.5%","51%","16%","15%","0.84"
"QB","Russell Wilson","SEA","TB","8600","17.5%","61%","31%","14%","0.82"
"WR","Allen Robinson","CHI","@PHI","7200","17.5%","46%","10%","14%","0.78"
"DEF","New York Jets","NYJ","@MIA","4600","7.5%","48%","5%","14%","1.88"
"RB","Derrick Henry","TEN","@CAR","6800","12.5%","56%","12%","13%","1.05"
"TE","Travis Kelce","KC","MIN","6700","12.5%","46%","14%","13%","1.01"
"WR","Marvin Jones","DET","@OAK","5700","22.5%","47%","10%","13%","0.59"
"RB","Chris Carson","SEA","TB","8200","12.5%","47%","11%","12%","0.93"
"WR","Adam Thielen","MIN","@KC","7100","7.5%","42%","9%","12%","1.55"
"WR","Tyrell Williams","OAK","DET","6300","12.5%","44%","9%","12%","0.99"
"WR","John Brown","BUF","WAS","6200","17.5%","47%","9%","12%","0.70"
"DEF","Cleveland Browns","CLE","@DEN","4300","17.5%","49%","4%","11%","0.61"
"WR","Stefon Diggs","MIN","@KC","7900","7.5%","39%","8%","10%","1.34"
"WR","Keenan Allen","LAC","GB","7300","7.5%","41%","7%","10%","1.29"
"QB","Aaron Rodgers","GB","@LAC","8100","12.5%","48%","19%","9%","0.71"
