"Day","Tm","WR","Pos","Opp","CB","M/U","Tar %","C %","YPR","YPT","FP/T","Shad","( /-)"
"Thu","ARI","Christian Kirk","LWR","SF","Ahkello Witherspoon","1","14.7%","31.3%","23.40","7.31","1.42","N","N"
"Thu","ARI","Larry Fitzgerald","SWR","SF","K'Waun Williams","1","11.4%","62.5%","11.50","7.19","1.34","N","-"
"Thu","ARI","Damiere Byrd","RWR","SF","Richard Sherman","1","12.7%","61.5%","9.13","5.62","1.41","N","N"
"Sun","BAL","Miles Boykin","LWR","NE","Jason McCourty","3","16.6%","47.5%","11.16","5.30","1.01","N","-"
"Sun","BAL","Willie Snead","SWR","NE","Jonathan Jones","3","15.6%","44.4%","12.25","5.44","1.16","N","-"
"Sun","BAL","Marquise Brown","RWR","NE","Stephon Gilmore","3","17.5%","45.8%","12.91","5.92","1.05","Y","-"
"Sun","BUF","John Brown","LWR","WAS","Quinton Dunbar","26","18.8%","51.4%","12.17","6.26","1.14","N","-"
"Sun","BUF","Cole Beasley","SWR","WAS","Fabian Moreau","26","10.3%","83.3%","12.20","10.17","2.18","N"," "
"Sun","BUF","Duke Williams","RWR","WAS","Josh Norman","26","13.6%","73.5%","17.48","12.85","2.73","N"," "
"Sun","CAR","D.J. Moore","LWR","TEN","Malcolm Butler","4","13.4%","58.5%","13.00","7.61","1.64","N"," "
"Sun","CAR","Jarius Wright","SWR","TEN","Logan Ryan","4","15.1%","54.5%","11.17","6.09","1.43","N","N"
"Sun","CAR","Curtis Samuel","RWR","TEN","Adoree' Jackson","4","7.8%","75.0%","12.08","9.06","2.03","N"," "
"Sun","CHI","Allen Robinson","LWR","PHI","Ronald Darby","31","28.0%","65.2%","17.53","11.43","2.58","N"," "
"Sun","CHI","Anthony Miller","SWR","PHI","Sidney Jones","31","19.0%","63.2%","13.67","8.63","2.13","N","-"
"Sun","CHI","Taylor Gabriel","RWR","PHI","Jalen Mills","31","27.6%","75.0%","12.33","9.25","1.68","N"," "
"Sun","CLE","Odell Beckham","LWR","DEN","Chris Harris Jr","2","9.7%","53.8%","18.64","10.04","1.77","Y"," "
"Sun","CLE","Jarvis Landry","SWR","DEN","Duke Dawson Jr","2","3.6%","50.0%","19.50","9.75","1.48","N","N"
"Sun","CLE","Antonio Callaway","RWR","DEN","Davontae Harris","2","15.4%","47.4%","10.44","4.95","0.97","N","-"
"Mon","DAL","Michael Gallup","LWR","NYG","Deandre Baker","20","13.5%","67.6%","15.00","10.15","2.22","N"," "
"Mon","DAL","Randall Cobb","SWR","NYG","Grant Haley","20","9.9%","85.0%","11.29","9.60","2.11","N"," "
"Mon","DAL","Amari Cooper","RWR","NYG","Janoris Jenkins","20","15.3%","51.2%","16.43","8.41","1.65","N"," "
"Sun","DEN","Courtland Sutton","LWR","CLE","Greedy Williams","25","11.6%","60.0%","15.33","9.20","1.52","N","N"
"Sun","DEN","DaeSean Hamilton","SWR","CLE","Eric Murray","25","7.9%","53.8%","16.86","9.08","1.91","N"," "
"Sun","DEN","Fred Brown","RWR","CLE","Denzel Ward","25","17.8%","50.0%","17.89","8.94","1.39","N","-"
"Sun","DET","Kenny Golladay","LWR","OAK","Daryl Worley","29","15.1%","48.6%","12.33","6.00","1.25","N","-"
"Sun","DET","Danny Amendola","SWR","OAK","Lamarcus Joyner","29","11.5%","72.0%","11.89","8.56","2.06","N"," "
"Sun","DET","Marvin Jones","RWR","OAK","Trayvon Mullen","29","11.0%","66.7%","15.50","10.33","2.37","N"," "
"Sun","GB","Marquez Valdes-Scantling","LWR","LAC","Michael Davis","14","11.1%","62.5%","9.50","5.94","1.22","N","-"
"Sun","GB","Geronimo Allison","SWR","LAC","Desmond King II","14","6.4%","72.7%","12.50","9.09","2.18","N"," "
"Sun","GB","Davante Adams","RWR","LAC","Casey Hayward Jr","14","12.9%","56.7%","11.06","6.27","1.39","Y","-"
"Sun","HOU","DeAndre Hopkins","LWR","JAX","A.J. Bouye","18","14.8%","63.4%","14.35","9.10","1.54","Y","N"
"Sun","HOU","DeAndre Carter","SWR","JAX","D.J. Hayden","18","9.0%","52.6%","8.90","4.68","0.99","N","-"
"Sun","HOU","Kenny Stills","RWR","JAX","Tre Herndon","18","18.4%","45.2%","16.53","7.48","1.49","Y","N"
"Sun","IND","Zach Pascal","LWR","PIT","Steven Nelson","17","15.6%","51.7%","12.80","6.62","1.18","N","-"
"Sun","IND","Chester Rogers","SWR","PIT","Mike Hilton","17","16.9%","65.0%","11.85","7.70","1.72","N"," "
"Sun","IND","T.Y. Hilton","RWR","PIT","Joe Haden","17","13.7%","65.5%","12.53","8.21","1.48","N","N"
"Sun","JAX","Chris Conley","LWR","HOU","Gareon Conley","30","13.8%","71.0%","20.27","14.39","3.31","N"," "
"Sun","JAX","Dede Westbrook","SWR","HOU","Lonnie Johnson Jr.","30","14.4%","64.7%","14.77","9.56","2.31","N"," "
"Sun","JAX","D.J. Chark","RWR","HOU","Johnathan Joseph","30","18.4%","70.0%","12.96","9.08","1.91","N"," "
"Sun","KC","Demarcus Robinson","LWR","MIN","Xavier Rhodes","27","16.2%","76.7%","10.15","7.79","1.97","Y"," "
"Sun","KC","Tyreek Hill","SWR","MIN","Mike Hughes","27","14.4%","52.6%","11.30","5.95","1.44","N","-"
"Sun","KC","Sammy Watkins","RWR","MIN","Trae Waynes","27","17.5%","64.6%","10.42","6.73","1.69","N"," "
"Sun","LAC","Mike Williams","LWR","GB","Kevin King","5","16.3%","57.5%","19.83","11.40","1.87","Y"," "
"Sun","LAC","Keenan Allen","SWR","GB","Tramon Williams","5","8.1%","50.0%","18.11","9.06","1.74","N"," "
"Sun","LAC","Andre Patton","RWR","GB","Jaire Alexander","5","17.8%","42.3%","14.45","6.12","1.38","N","N"
"Sun","MIA","Preston Williams","LWR","NYJ","Darryl Roberts","19","21.1%","64.9%","10.19","6.61","1.63","N"," "
"Sun","MIA","Albert Wilson","SWR","NYJ","Brian Poole","19","15.9%","52.8%","9.58","5.06","1.03","N","-"
"Sun","MIA","DeVante Parker","RWR","NYJ","Trumaine Johnson","19","14.4%","62.5%","13.20","8.25","1.70","N"," "
"Sun","MIN","Stefon Diggs","LWR","KC","Charvarius Ward","7","13.4%","55.0%","12.73","7.00","1.40","N","N"
"Sun","MIN","Olabasi Johnson","SWR","KC","Kendall Fuller","7","7.8%","69.2%","18.22","12.62","2.88","N"," "
"Sun","MIN","Adam Thielen","RWR","KC","Bashaud Breeland","7","13.3%","47.2%","17.12","8.08","1.61","N"," "
