"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"WR","Keelan Cole","JAX","TB","5100","0.5%","10%","0%","0%","0.34"
"WR","Tevin Jones","PIT","CLE","5100","0.5%","9%","0%","0%","0.28"
"WR","Pharoh Cooper","ARI","LAR","5100","0.5%","6%","0%","0%","0.10"
"TE","Mike Gesicki","MIA","PHI","5000","0.5%","36%","6%","4%","8.54"
"TE","Vance McDonald","PIT","CLE","5000","0.5%","34%","6%","4%","8.47"
"TE","Cameron Brate","TB","@JAX","5000","0.5%","16%","1%","1%","1.66"
"DEF","Philadelphia Eagles","PHI","@MIA","5000","12.5%","50%","10%","21%","1.65"
"TE","Jack Doyle","IND","TEN","5000","7.5%","38%","7%","5%","0.68"
"TE","Anthony Firkser","TEN","@IND","5000","0.5%","11%","0%","0%","0.60"
"RB","Jalen Richard","OAK","@KC","5000","0.5%","12%","0%","0%","0.29"
"RB","DeAndre Washington","OAK","@KC","5000","0.5%","11%","0%","0%","0.22"
"WR","Paul Richardson","WAS","@CAR","5000","0.5%","7%","0%","0%","0.12"
"RB","Jeff Wilson","SF","@BAL","5000","0.5%","8%","0%","0%","0.08"
"RB","Chase Edmonds","ARI","LAR","5000","0.5%","4%","0%","0%","0.01"
"DEF","New York Jets","NYJ","@CIN","4900","7.5%","44%","5%","11%","1.44"
"RB","Patrick Laird","MIA","PHI","4900","0.5%","16%","0%","0%","0.60"
"RB","Bilal Powell","NYJ","@CIN","4900","0.5%","14%","0%","0%","0.41"
"WR","Andy Isabella","ARI","LAR","4900","0.5%","9%","0%","0%","0.29"
"WR","Geronimo Allison","GB","@NYG","4900","0.5%","8%","0%","0%","0.20"
"WR","J.J. Arcega-Whiteside","PHI","@MIA","4900","0.5%","8%","0%","0%","0.18"
"WR","Breshad Perriman","TB","@JAX","4900","0.5%","7%","0%","0%","0.15"
"RB","Malcolm Brown","LAR","@ARI","4900","0.5%","7%","0%","0%","0.05"
"WR","Marcus Johnson","IND","TEN","4900","0.5%","4%","0%","0%","0.04"
"WR","Jake Kumerow","GB","@NYG","4900","0.5%","3%","0%","0%","0.01"
"WR","Kelvin Harmon","WAS","@CAR","4800","0.5%","25%","2%","2%","4.04"
"RB","Raheem Mostert","SF","@BAL","4800","0.5%","30%","2%","2%","3.13"
"TE","Nick Boyle","BAL","SF","4800","0.5%","20%","2%","1%","2.43"
"TE","Nick O'Leary","JAX","TB","4800","0.5%","20%","2%","1%","2.33"
"WR","Nelson Agholor","PHI","@MIA","4800","0.5%","20%","1%","1%","2.11"
"DEF","Green Bay Packers","GB","@NYG","4800","7.5%","46%","6%","12%","1.58"
"RB","Jay Ajayi","PHI","@MIA","4800","0.5%","21%","1%","1%","1.46"
"TE","O.J. Howard","TB","@JAX","4800","0.5%","16%","1%","1%","1.31"
"TE","Ricky Seals-Jones","CLE","@PIT","4800","0.5%","4%","0%","0%","0.06"
"TE","Tyler Eifert","CIN","NYJ","4700","0.5%","27%","3%","2%","4.58"
"DEF","Carolina Panthers","CAR","WAS","4700","12.5%","62%","20%","42%","3.36"
"WR","Zay Jones","OAK","@KC","4700","0.5%","23%","1%","1%","2.82"
"WR","Alex Erickson","CIN","NYJ","4700","0.5%","20%","1%","1%","2.19"
"WR","Albert Wilson","MIA","PHI","4700","0.5%","20%","1%","1%","2.08"
"TE","Foster Moreau","OAK","@KC","4700","0.5%","18%","1%","1%","1.90"
"RB","Giovani Bernard","CIN","NYJ","4700","0.5%","18%","0%","0%","0.84"
"WR","Tajae Sharpe","TEN","@IND","4700","0.5%","12%","0%","0%","0.56"
"WR","Kalif Raymond","TEN","@IND","4700","0.5%","12%","0%","0%","0.47"
"RB","Jordan Wilkins","IND","TEN","4700","0.5%","12%","0%","0%","0.25"
"RB","Dion Lewis","TEN","@IND","4700","0.5%","11%","0%","0%","0.22"
"WR","Miles Boykin","BAL","SF","4700","0.5%","8%","0%","0%","0.14"
"RB","Dare Ogunbowale","TB","@JAX","4700","0.5%","9%","0%","0%","0.10"
"WR","Seth Roberts","BAL","SF","4700","0.5%","6%","0%","0%","0.09"
"WR","Trey Quinn","WAS","@CAR","4700","0.5%","5%","0%","0%","0.05"
"WR","DaeSean Hamilton","DEN","LAC","4700","0.5%","4%","0%","0%","0.03"
"WR","Dante Pettis","SF","@BAL","4700","0.5%","2%","0%","0%","0.00"
"WR","Demarcus Robinson","KC","OAK","4600","0.5%","18%","1%","1%","1.62"
"WR","Kendrick Bourne","SF","@BAL","4600","0.5%","18%","1%","1%","1.62"
"WR","Willie Snead","BAL","SF","4600","0.5%","18%","1%","1%","1.48"
"DEF","Cleveland Browns","CLE","@PIT","4600","7.5%","38%","2%","4%","0.48"
"WR","Jarius Wright","CAR","WAS","4600","0.5%","11%","0%","0%","0.34"
"RB","Myles Gaskin","MIA","PHI","4600","0.5%","10%","0%","0%","0.14"
"WR","Cody Latimer","NYG","GB","4600","0.5%","5%","0%","0%","0.03"
"WR","Vyncint Smith","NYJ","@CIN","4600","0.5%","5%","0%","0%","0.03"
"RB","Ty Montgomery","NYJ","@CIN","4600","0.5%","4%","0%","0%","0.01"
"TE","Jeremy Sprinkle","WAS","@CAR","4500","0.5%","21%","2%","1%","2.34"
"WR","Rashard Higgins","CLE","@PIT","4500","0.5%","19%","1%","1%","1.75"
"TE","Hayden Hurst","BAL","SF","4500","0.5%","16%","1%","1%","1.19"
"TE","Demetrius Harris","CLE","@PIT","4500","0.5%","13%","1%","0%","0.78"
"WR","Trevor Davis","OAK","@KC","4500","0.5%","13%","0%","0%","0.64"
"TE","Charles Clay","ARI","LAR","4500","0.5%","10%","0%","0%","0.43"
"RB","Ryquell Armstead","JAX","TB","4500","0.5%","13%","0%","0%","0.31"
"WR","KeeSean Johnson","ARI","LAR","4500","0.5%","7%","0%","0%","0.09"
"WR","Marcell Ateman","OAK","@KC","4500","0.5%","6%","0%","0%","0.08"
"RB","Wendell Smallwood","WAS","@CAR","4500","0.5%","6%","0%","0%","0.03"
"RB","Wayne Gallman","NYG","GB","4500","0.5%","5%","0%","0%","0.02"
"WR","Mack Hollins","PHI","@MIA","4500","0.5%","3%","0%","0%","0.01"
"WR","Braxton Berrios","NYJ","@CIN","4500","0.5%","3%","0%","0%","0.01"
"WR","Andre Patton","LAC","@DEN","4500","0.5%","3%","0%","0%","0.01"
"RB","Reggie Bonnafon","CAR","WAS","4500","0.5%","3%","0%","0%","0.00"
"WR","Stanley Morgan","CIN","NYJ","4500","0.5%","2%","0%","0%","0.00"
"RB","Justice Hill","BAL","SF","4500","0.5%","3%","0%","0%","0.00"
"RB","Devontae Booker","DEN","LAC","4500","0.5%","2%","0%","0%","0.00"
"RB","Derek Watt","LAC","@DEN","4500","0.5%","2%","0%","0%","0.00"
"RB","Alec Ingold","OAK","@KC","4500","0.5%","2%","0%","0%","0.00"
"TE","Maxx Williams","ARI","LAR","4400","0.5%","14%","1%","0%","0.87"
"DEF","Jacksonville Jaguars","JAX","TB","4400","3.0%","38%","1%","2%","0.77"
"DEF","Denver Broncos","DEN","LAC","4400","3.0%","28%","0%","0%","0.13"
"DEF","Indianapolis Colts","IND","TEN","4300","3.0%","38%","1%","2%","0.58"
"TE","C.J. Uzomah","CIN","NYJ","4300","0.5%","12%","0%","0%","0.51"
"DEF","Kansas City Chiefs","KC","OAK","4200","7.5%","40%","1%","2%","0.29"
"TE","Andrew Beck","DEN","LAC","4200","0.5%","7%","0%","0%","0.13"
"DEF","Los Angeles Rams","LAR","@ARI","4100","3.0%","40%","1%","2%","0.58"
"DEF","Tennessee Titans","TEN","@IND","4100","0.5%","21%","0%","0%","0.04"
"TE","Kaden Smith","NYG","GB","4000","0.5%","26%","2%","2%","3.27"
"TE","Mo Alie-Cox","IND","TEN","4000","0.5%","24%","2%","1%","2.80"
"DEF","Baltimore Ravens","BAL","SF","4000","3.0%","43%","1%","2%","0.62"
"TE","Nick Vannett","PIT","CLE","4000","0.5%","11%","0%","0%","0.37"
"TE","Marcedes Lewis","GB","@NYG","4000","0.5%","11%","0%","0%","0.32"
"TE","Durham Smythe","MIA","PHI","4000","0.5%","10%","0%","0%","0.26"
"TE","Ben Koyack","JAX","TB","4000","0.5%","9%","0%","0%","0.23"
"TE","Hale Hentges","WAS","@CAR","4000","0.5%","9%","0%","0%","0.21"
"TE","Virgil Green","LAC","@DEN","4000","0.5%","7%","0%","0%","0.10"
"TE","Ian Thomas","CAR","WAS","4000","0.5%","6%","0%","0%","0.10"
"TE","Derek Carrier","OAK","@KC","4000","0.5%","6%","0%","0%","0.08"
"DEF","Los Angeles Chargers","LAC","@DEN","3900","7.5%","52%","3%","7%","0.87"
"DEF","Tampa Bay Buccaneers","TB","@JAX","3800","3.0%","34%","0%","0%","0.06"
"DEF","San Francisco 49ers","SF","@BAL","3800","3.0%","29%","0%","0%","0.02"
"DEF","Pittsburgh Steelers","PIT","CLE","3700","7.5%","49%","1%","3%","0.34"
"DEF","Cincinnati Bengals","CIN","NYJ","3500","3.0%","45%","0%","1%","0.22"
"DEF","Arizona Cardinals","ARI","LAR","3500","3.0%","42%","0%","0%","0.12"
"DEF","Miami Dolphins","MIA","PHI","3300","3.0%","48%","0%","1%","0.20"
"DEF","Washington Redskins","WAS","@CAR","3200","7.5%","54%","1%","1%","0.19"
"DEF","Oakland Raiders","OAK","@KC","3100","0.5%","41%","0%","0%","0.07"
"DEF","New York Giants","NYG","GB","3000","3.0%","38%","0%","0%","0.00"
