"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Christian McCaffrey","CAR","@ATL","11000","27.5%","75%","38%","35%","1.27"
"RB","Derrick Henry","TEN","@OAK","9100","17.5%","55%","16%","15%","0.86"
"QB","Lamar Jackson","BAL","@BUF","9000","12.5%","60%","31%","10%","0.79"
"RB","Dalvin Cook","MIN","DET","8700","12.5%","55%","16%","15%","1.16"
"WR","Michael Thomas","NO","SF","8600","17.5%","58%","17%","17%","0.95"
"QB","Patrick Mahomes","KC","@NE","8400","7.5%","47%","18%","6%","0.78"
"WR","Davante Adams","GB","WAS","8400","32.5%","61%","21%","21%","0.64"
"QB","Aaron Rodgers","GB","WAS","8400","12.5%","50%","20%","6%","0.51"
"WR","Tyreek Hill","KC","@NE","8300","12.5%","47%","12%","12%","0.94"
"WR","DeAndre Hopkins","HOU","DEN","8300","17.5%","47%","11%","11%","0.64"
"QB","Kirk Cousins","MIN","DET","8200","12.5%","45%","16%","5%","0.42"
"WR","Stefon Diggs","MIN","DET","8000","17.5%","41%","9%","9%","0.49"
"RB","Nick Chubb","CLE","CIN","7900","12.5%","60%","17%","16%","1.28"
"WR","Chris Godwin","TB","IND","7900","17.5%","54%","16%","16%","0.89"
"QB","Josh Allen","BUF","BAL","7800","3.0%","45%","18%","6%","1.88"
"WR","Julio Jones","ATL","CAR","7800","7.5%","45%","10%","10%","1.34"
"QB","Jimmy Garoppolo","SF","@NO","7800","3.0%","38%","11%","4%","1.19"
"RB","Aaron Jones","GB","WAS","7800","12.5%","49%","11%","10%","0.82"
"RB","Josh Jacobs","OAK","TEN","7700","3.0%","39%","6%","5%","1.80"
"QB","Drew Brees","NO","SF","7700","3.0%","40%","12%","4%","1.27"
"QB","Jameis Winston","TB","IND","7700","7.5%","50%","20%","6%","0.83"
"QB","Sam Darnold","NYJ","MIA","7700","7.5%","47%","18%","6%","0.76"
"WR","Mike Evans","TB","IND","7700","17.5%","51%","13%","13%","0.75"
"QB","Deshaun Watson","HOU","DEN","7700","12.5%","56%","25%","8%","0.64"
"QB","Tom Brady","NE","KC","7700","7.5%","44%","15%","5%","0.62"
"QB","Baker Mayfield","CLE","CIN","7600","3.0%","41%","14%","4%","1.44"
"WR","Julian Edelman","NE","KC","7600","12.5%","48%","12%","11%","0.91"
