"Day","Tm","WR","Pos","Opp","CB","M/U","Tar %","C %","YPR","YPT","FP/T","Shad","( /-)"
"Sun","ATL","Julio Jones","LWR","TB","Sean Murphy-Bunting","32","12.2%","55.6%","13.13","7.30","2.17","N"," "
"Sun","ATL","Russell Gage","SWR","TB","Mike Edwards","32","5.6%","71.4%","15.20","10.86","2.23","N"," "
"Sun","ATL","Calvin Ridley","RWR","TB","Carlton Davis","32","17.0%","47.2%","11.44","5.40","1.46","N","-"
"Mon","BAL","Seth Roberts","LWR","LAR","Troy Hill","15","16.0%","45.5%","11.60","5.27","1.16","Y","-"
"Mon","BAL","Willie Snead","SWR","LAR","Nickell Robey-Coleman","14","9.2%","50.0%","12.13","6.07","1.31","N","-"
"Mon","BAL","Marquise Brown","RWR","LAR","Jalen Ramsey","14","15.4%","60.0%","12.37","7.42","1.48","N","N"
"Sun","BUF","John Brown","LWR","DEN","Chris Harris Jr","4","9.1%","56.3%","21.56","12.13","2.15","N"," "
"Sun","BUF","Cole Beasley","SWR","DEN","Duke Dawson Jr","4","6.9%","66.7%","14.25","9.50","2.12","N"," "
"Sun","BUF","Isaiah McKenzie","RWR","DEN","Davontae Harris","4","19.6%","59.0%","10.57","6.23","1.52","N","N"
"Sun","CAR","D.J. Moore","LWR","NO","Marshon Lattimore","2","18.5%","54.2%","15.25","8.27","1.67","Y"," "
"Sun","CAR","Jarius Wright","SWR","NO","PJ Williams","2","12.5%","59.4%","13.53","8.03","1.58","N"," "
"Sun","CAR","Curtis Samuel","RWR","NO","Eli Apple","2","10.3%","48.8%","16.20","7.90","1.57","N","N"
"Sun","CHI","Allen Robinson","LWR","NYG","Deandre Baker","20","14.4%","63.0%","15.48","9.76","2.00","N"," "
"Sun","CHI","Anthony Miller","SWR","NYG","Corey Ballentine","20","15.4%","50.0%","12.25","6.13","1.11","N","-"
"Sun","CHI","Taylor Gabriel","RWR","NYG","Janoris Jenkins","20","15.4%","49.0%","15.32","7.51","1.48","N","N"
"Sun","CIN","Auden Tate","LWR","PIT","Steven Nelson","10","11.9%","50.0%","14.10","7.05","1.21","N","-"
"Sun","CIN","Tyler Boyd","SWR","PIT","Mike Hilton","10","13.6%","62.1%","13.06","8.10","1.84","N"," "
"Sun","CIN","Alex Erickson","RWR","PIT","Joe Haden","10","12.9%","57.4%","11.15","6.40","1.34","N","-"
"Sun","CLE","Odell Beckham","LWR","MIA","Nik Needham","24","21.1%","47.2%","11.94","5.64","1.20","N","-"
"Sun","CLE","Jarvis Landry","SWR","MIA","Jomal Wiltz","24","14.2%","62.1%","13.83","8.59","2.31","N"," "
"Sun","CLE","Rashard Higgins","RWR","MIA","Ken Crawley","24","13.0%","57.1%","10.00","5.71","1.14","N","-"
"Sun","DAL","Michael Gallup","LWR","NE","Jason McCourty","1","16.5%","47.9%","10.78","5.17","1.00","Y","-"
