"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",11.6,59.3,"13.75","1.63","Y","plus"
"2","Andy Isabella","Slot Corner",19.1,59.6,"11.42","1.62","N","plus"
"3","Christian Kirk","Left Corner",15.7,51.1,"15.17","1.69","Y","plus"
"4","Olamide Zaccheaus","Right Corner",11.3,72.2,"17.15","2.29","N","plus"
"5","Russell Gage","Slot Corner",11.7,66.7,"10.95","1.60","N","plus"
"6","Calvin Ridley","Left Corner",11.2,61,"13.24","1.71","N","plus"
"7","Dez Bryant","Right Corner",11.4,55.6,"13.64","1.85","N","plus"
"8","Willie Snead","Slot Corner",12.8,61.1,"13.64","1.78","N","plus"
"9","Marquise Brown","Left Corner",14.5,46.4,"12.62","1.26","N","minus"
"10","John Brown","Right Corner",13.6,63.5,"12.30","1.65","N","plus"
"11","Cole Beasley","Slot Corner",7.3,50,"11.00","1.80","N","plus"
"12","Stefon Diggs","Left Corner",16.3,45.6,"17.92","1.59","N","plus"
"13","DJ Moore","Right Corner",19.3,63.9,"12.35","2.09","N","plus"
"14","Curtis Samuel","Slot Corner",16.6,65.5,"12.79","2.11","N","plus"
"15","Robby Anderson","Left Corner",14.2,75,"8.94","1.67","N","plus"
"16","Allen Robinson","Right Corner",8.9,64.3,"14.44","2.00","N","plus"
"17","Anthony Miller","Slot Corner",10.5,51.9,"11.79","1.35","N","minus"
"18","Darnell Mooney","Left Corner",13.3,44.7,"11.24","1.11","N","minus"
"19","AJ Green","Right Corner",10.7,65,"18.08","2.73","N","plus"
"20","Tyler Boyd","Slot Corner",10.4,54.5,"13.00","1.25","N","minus"
"21","Tee Higgins","Left Corner",11.6,54.3,"12.16","1.60","N","plus"
"22","Rashard Higgins","Right Corner",NA,NA,"-","-","N","plus"
"23","Jarvis Landry","Slot Corner",10.8,65.7,"15.83","2.04","N","plus"
"24","Khadarel Hodge","Left Corner",33.3,100,"8.00","1.80","N","plus"
"25","Jerry Jeudy","Right Corner",14.4,64.3,"14.30","2.13","N","plus"
"26","KJ Hamler","Slot Corner",11.3,65.6,"10.86","1.56","N","plus"
"27","Tim Patrick","Left Corner",12.9,52.4,"13.55","1.38","N","minus"
"28","Davante Adams","Right Corner",13.5,47.2,"17.72","1.53","N","neutral"
"29","Allen Lazard","Slot Corner",14.2,71.4,"11.00","2.07","N","plus"
"30","Marquez ValdesScantling","Left Corner",12.9,47.1,"11.63","1.14","N","minus"
"31","Michael Pittman Jr","Right Corner",17.6,62.5,"11.53","1.51","N","neutral"
"32","Zach Pascal","Slot Corner",8.2,63.6,"11.71","1.38","N","minus"
"33","TY Hilton","Left Corner",NA,NA,"-","-","N","neutral"
"34","Collin Johnson","Right Corner",13.9,55.2,"13.56","1.40","N","minus"
"35","Keelan Cole","Slot Corner",11.5,85.7,"9.17","2.07","N","plus"
"36","Laviska Shenault","Left Corner",6.8,69.2,"8.56","1.28","N","minus"
"37","Mecole Hardman","Right Corner",12.6,55.6,"11.56","1.86","N","plus"
"38","Tyreek Hill","Slot Corner",8.9,77.4,"14.08","2.45","N","plus"
"39","Sammy Watkins","Left Corner",14.6,52.3,"10.56","1.26","N","minus"
"40","Mike Williams","Right Corner",9.1,51.6,"15.75","1.91","N","plus"
"41","Keenan Allen","Slot Corner",13.4,70.7,"12.41","1.73","N","plus"
"42","Jalen Guyton","Left Corner",15,82.4,"9.43","1.95","N","plus"
"43","Josh Reynolds","Right Corner",10.4,63,"10.88","1.54","N","neutral"
"44","Cooper Kupp","Slot Corner",9.7,54.5,"22.33","1.76","N","plus"
"45","Robert Woods","Left Corner",17.1,58.1,"13.36","1.92","N","plus"
"46","Nelson Agholor","Right Corner",15.7,46.7,"10.79","1.17","N","minus"
"47","Hunter Renfrow","Slot Corner",12.4,61.9,"17.12","2.11","N","plus"
"48","Henry Ruggs","Left Corner",10.4,67.6,"14.61","2.19","N","plus"
