"team","home_or_away","line","total","favorite","implied_total"
"ATL","home",3.5,53,0,24.75
"NWE","home",1,50.5,0,24.75
"CIN","home",6.5,45,0,19.25
"JAX","home",7.5,48.5,0,20.5
"MIN","home",-3,50,1,26.5
"IND","home",0,51.5,1,25.75
"BUF","home",-4,51.5,1,27.75
"NYJ","home",7.5,45.5,0,19
"DEN","home",16.5,36.5,0,10
"LAR","home",-5.5,44.5,1,25
"TAM","home",3.5,56,0,26.25
"LVR","away",-3.5,53,1,28.25
"ARI","away",-1,50.5,1,25.75
"NYG","away",-6.5,45,1,25.75
"CLE","away",-7.5,48.5,1,28
"CAR","away",3,50,0,23.5
"TEN","away",0,51.5,0,25.75
"LAC","away",4,51.5,0,23.75
"MIA","away",-7.5,45.5,1,26.5
"NOR","away",-16.5,36.5,1,26.5
"SFO","away",5.5,44.5,0,19.5
"KAN","away",-3.5,56,1,29.75
