"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","Julio Jones","Right Corner",10.5,54.2,"11.00","1.14","Y","minus"
"2","Russell Gage","Slot Corner",6.5,44.4,"10.00","0.89","N","minus"
"3","Calvin Ridley","Left Corner",9.8,53.3,"7.75","1.75","Y","plus"
"4","Miles Boykin","Right Corner",10.4,64,"14.81","2.31","N","plus"
"5","Willie Snead","Slot Corner",14.2,61.1,"13.64","1.78","N","plus"
"6","Marquise Brown","Left Corner",13.6,51.5,"13.76","1.59","N","plus"
"7","John Brown","Right Corner",8.1,63.6,"20.00","3.00","N","plus"
"8","Cole Beasley","Slot Corner",22.5,50,"13.00","1.31","N","minus"
"9","Stefon Diggs","Left Corner",12.7,60,"9.50","1.47","N","neutral"
"10","DJ Moore","Right Corner",20,69,"18.20","2.15","N","plus"
"11","Curtis Samuel","Slot Corner",12.1,57.6,"19.21","2.23","N","plus"
"12","Robby Anderson","Left Corner",9.4,78.9,"14.07","2.53","N","plus"
"13","Allen Robinson","Right Corner",12,69.6,"16.13","2.34","Y","plus"
"14","Anthony Miller","Slot Corner",10.6,66.7,"9.71","1.60","N","plus"
"15","Darnell Mooney","Left Corner",12.7,47.4,"11.89","1.04","N","minus"
"16","AJ Green","Right Corner",20.7,60,"12.97","1.62","N","plus"
"17","Tyler Boyd","Slot Corner",14.4,73.3,"8.36","1.75","N","plus"
"18","Tee Higgins","Left Corner",11.9,59.1,"16.62","2.39","N","plus"
"19","Rashard Higgins","Right Corner",10.7,68.8,"13.27","2.35","N","plus"
"20","Jarvis Landry","Slot Corner",11,68.2,"11.27","1.72","N","plus"
"21","Donovan PeoplesJones","Left Corner",11,64,"12.00","1.89","N","plus"
"22","Michael Gallup","Right Corner",8.8,81.3,"11.85","2.15","N","plus"
"23","CeeDee Lamb","Slot Corner",13.5,77.8,"11.50","2.01","N","plus"
"24","Amari Cooper","Left Corner",13.9,67.6,"12.00","1.65","Y","plus"
"25","KJ Hamler","Right Corner",11.9,70,"12.29","1.76","N","plus"
"26","Jerry Jeudy","Slot Corner",0,NA,"-","-","N","plus"
"27","Tim Patrick","Left Corner",15.6,50,"13.05","1.31","N","minus"
"28","Kenny Golladay","Right Corner",14.4,40.7,"15.73","1.27","N","minus"
"29","Danny Amendola","Slot Corner",10.7,52.4,"13.55","1.23","N","minus"
"30","Marvin Jones","Left Corner",13.2,61.1,"8.91","1.16","N","minus"
"31","Davante Adams","Right Corner",19.9,62.5,"12.80","2.18","N","plus"
