"pos","player","tm","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"WR","Randall Cobb","HOU",5400,3,32,4,3,1.07
"WR","Michael Gallup","DAL",5400,3,31,3,3,1.02
"RB","Joshua Kelley","LAC",5400,3,30,2,3,0.88
"RB","Gus Edwards","BAL",5400,3,28,2,2,0.71
"TE","Eric Ebron","PIT",5400,7.5,37,7,4,0.58
"TE","Jimmy Graham","CHI",5300,0.5,35,7,4,8.79
"WR","Tim Patrick","DEN",5300,0.5,35,4,4,7.68
"TE","Mike Gesicki","MIA",5300,0.5,33,6,3,6.91
"WR","Danny Amendola","DET",5300,0.5,30,3,3,5.6
"RB","Adrian Peterson","DET",5300,0.5,22,1,1,2.25
"WR","Cole Beasley","BUF",5300,3,39,5,5,1.59
"RB","JK Dobbins","BAL",5300,7.5,49,6,8,1.04
"WR","Keelan Cole","JAX",5200,0.5,35,5,4,8.28
"WR","Zach Pascal","IND",5200,0.5,33,4,3,7
"RB","JD McKissic","WAS",5200,0.5,27,1,2,3.26
"WR","David Moore","SEA",5200,0.5,23,1,1,2.64
"TE","Darren Fells","HOU",5200,0.5,20,2,1,2.43
"RB","Travis Homer","SEA",5200,0.5,19,1,1,1.47
"RB","Kerryon Johnson","DET",5200,0.5,5,0,0,0.03
"WR","Preston Williams","MIA",5100,0.5,35,5,4,8.38
"WR","Anthony Miller","CHI",5100,0.5,29,3,2,4.83
"WR","Hunter Renfrow","LVR",5100,0.5,26,2,2,3.83
"TE","Dalton Schultz","DAL",5100,0.5,25,3,2,3.63
"WR","Willie Snead","BAL",5100,0.5,20,1,1,1.91
"RB","DeeJay Dallas","SEA",5100,22.5,53,9,11,0.5
"RB","Alexander Mattison","MIN",5100,0.5,10,0,0,0.23
"WR","Nelson Agholor","LVR",5000,0.5,35,5,4,8.33
"DEF","Pittsburgh Steelers","PIT",5000,17.5,53,13,51,2.9
"TE","Albert Okwuegbunam","DEN",5000,0.5,22,2,1,2.63
"WR","Michael Pittman Jr","IND",5000,0.5,23,1,1,2.5
"RB","Brian Hill","ATL",5000,0.5,23,1,1,2.25
"WR","Larry Fitzgerald","ARI",5000,0.5,21,1,1,1.79
"TE","Logan Thomas","WAS",5000,3,37,7,4,1.43
"TE","Mo AlieCox","IND",5000,0.5,15,1,1,1.24
"RB","Benny Snell Jr","PIT",5000,0.5,10,0,0,0.19
"WR","James Washington","PIT",5000,0.5,7,0,0,0.09
"WR","Marcus Johnson","IND",4900,0.5,34,4,3,6.46
"RB","Tony Pollard","DAL",4900,0.5,30,2,2,4.14
"WR","Jalen Guyton","LAC",4900,0.5,26,2,2,3.45
"WR","Kalif Raymond","TEN",4900,0.5,26,2,2,3.45
"TE","Anthony Firkser","TEN",4900,0.5,24,3,2,3.17
"TE","Jack Doyle","IND",4900,0.5,16,1,1,1.24
"RB","Devontae Booker","LVR",4900,0.5,12,0,0,0.33
"WR","Cedrick Wilson","DAL",4900,0.5,2,0,0,0
"TE","Jordan Akins","HOU",4800,0.5,34,5,3,6.53
"WR","KJ Hamler","DEN",4800,0.5,27,2,2,3.87
"DEF","Indianapolis Colts","IND",4800,0.5,22,0,1,1.38
"WR","Devin Duvernay","BAL",4800,0.5,15,0,0,0.78
"WR","Miles Boykin","BAL",4800,0.5,14,0,0,0.61
"WR","Christian Blake","ATL",4800,3,25,2,1,0.49
"TE","Greg Olsen","SEA",4800,3,21,2,1,0.36
"RB","Duke Johnson","HOU",4800,0.5,9,0,0,0.13
"WR","Gabriel Davis","BUF",4800,0.5,4,0,0,0.02
"RB","Qadree Ollison","ATL",4800,0.5,1,0,0,0
"RB","Chris Thompson","JAX",4700,0.5,17,0,0,0.89
"DEF","Washington Football Team","WAS",4700,12.5,37,2,7,0.58
"TE","Tyler Kroft","BUF",4700,0.5,9,0,0,0.29
"WR","Olamide Zaccheaus","ATL",4700,0.5,10,0,0,0.22
"WR","Andy Isabella","ARI",4700,0.5,6,0,0,0.06
"WR","Byron Pringle","KAN",4700,0.5,6,0,0,0.05
"WR","Cordarrelle Patterson","CHI",4700,0.5,5,0,0,0.04
"WR","Steven Sims","WAS",4600,0.5,35,4,4,7.48
"WR","Marvin Hall","DET",4600,0.5,35,4,3,6.99
"WR","Jakeem Grant","MIA",4600,0.5,27,2,2,3.37
"TE","Will Dissly","SEA",4600,0.5,22,2,1,2.27
"TE","Ian Thomas","CAR",4600,0.5,18,1,1,1.42
"TE","Irv Smith Jr","MIN",4600,3,38,6,4,1.3
"WR","Chris Conley","JAX",4600,0.5,17,1,1,1.06
"DEF","Kansas City Chiefs","KAN",4600,12.5,39,2,7,0.59
"WR","Austin Mack","NYG",4600,0.5,12,0,0,0.38
"WR","Kenny Stills","HOU",4600,0.5,12,0,0,0.37
"WR","DaeSean Hamilton","DEN",4600,0.5,9,0,0,0.15
"WR","Bryan Edwards","LVR",4600,0.5,9,0,0,0.15
