"pos","player","tm","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"RB","Dalvin Cook","MIN",10500,27.5,61,23,30,1.1
"RB","Derrick Henry","TEN",10000,22.5,49,14,18,0.81
"WR","Davante Adams","GNB",9500,17.5,62,23,23,1.3
"QB","Russell Wilson","SEA",9000,12.5,54,25,7,0.54
"QB","Kyler Murray","ARI",8700,7.5,51,24,6,0.86
"RB","Nick Chubb","CLE",8700,22.5,53,15,19,0.85
"WR","DK Metcalf","SEA",8500,22.5,51,14,14,0.61
"QB","Aaron Rodgers","GNB",8500,12.5,56,25,7,0.54
"WR","Calvin Ridley","ATL",8400,7.5,44,11,11,1.43
"RB","Aaron Jones","GNB",8400,12.5,40,7,9,0.74
"WR","AJ Brown","TEN",8200,12.5,56,17,17,1.37
"QB","Deshaun Watson","HOU",8200,7.5,54,24,7,0.87
"WR","Keenan Allen","LAC",8100,17.5,44,10,10,0.56
"WR","DeAndre Hopkins","ARI",8000,7.5,43,8,8,1.09
"WR","Julio Jones","ATL",8000,7.5,41,8,8,1.08
"RB","Chris Carson","SEA",8000,12.5,40,8,10,0.8
"QB","Justin Herbert","LAC",7900,7.5,54,24,6,0.86
"WR","Tyler Lockett","SEA",7900,12.5,43,9,9,0.72
"QB","Ryan Tannehill","TEN",7800,7.5,57,25,7,0.92
"RB","James Robinson","JAX",7800,22.5,57,16,20,0.91
"WR","Adam Thielen","MIN",7800,17.5,46,12,12,0.67
"QB","Taysom Hill","NOR",7700,3,52,21,6,1.95
"WR","Justin Jefferson","MIN",7700,17.5,45,10,10,0.57
"QB","Cam Newton","NWE",7500,3,47,17,5,1.56
"RB","Alvin Kamara","NOR",7500,7.5,40,7,9,1.21
"QB","Matt Ryan","ATL",7400,3,42,13,4,1.22
"QB","Carson Wentz","PHI",7300,0.5,40,14,4,7.39
"QB","Kirk Cousins","MIN",7300,3,53,20,5,1.83
"RB","Miles Sanders","PHI",7200,3,44,6,8,2.79
"QB","Derek Carr","LVR",7200,3,50,18,5,1.63
"WR","Michael Thomas","NOR",7200,7.5,45,9,8,1.12
"QB","Jared Goff","LAR",7200,7.5,47,16,4,0.6
"QB","Baker Mayfield","CLE",7100,3,43,14,4,1.23
