"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",10,46.3,"11.58","1.29","Y","minus"
"2","Andy Isabella","Slot Corner",9.7,70,"11.04","1.62","N","plus"
"3","Christian Kirk","Left Corner",12.8,44.2,"12.57","1.11","N","minus"
"4","Julio Jones","Right Corner",14.2,62.8,"14.30","2.08","N","plus"
"5","Russell Gage","Slot Corner",12.3,56.8,"11.04","1.33","N","minus"
"6","Calvin Ridley","Left Corner",NA,NA,"-","-","N","minus"
"7","Dez Bryant","Right Corner",11.9,62.5,"17.30","2.08","N","plus"
"8","Willie Snead","Slot Corner",10.6,62.5,"9.25","1.58","N","neutral"
"9","Marquise Brown","Left Corner",14.1,67.9,"14.11","2.28","N","plus"
"10","Gabriel Davis","Right Corner",10.1,66.7,"10.50","1.57","N","neutral"
"11","Cole Beasley","Slot Corner",17.5,56.3,"13.89","1.84","N","plus"
"12","Stefon Diggs","Left Corner",6.8,50,"10.00","1.00","N","minus"
"13","Allen Robinson","Right Corner",14.2,50,"18.27","1.53","N","neutral"
"14","Anthony Miller","Slot Corner",13.1,73.7,"10.79","1.85","N","plus"
"15","Darnell Mooney","Left Corner",16.3,60.7,"13.82","1.88","N","plus"
"16","AJ Green","Right Corner",12.5,56.8,"13.05","1.47","N","minus"
"17","Tyler Boyd","Slot Corner",13.3,58.3,"14.33","1.42","N","minus"
"18","Tee Higgins","Left Corner",14.3,40.4,"17.22","1.41","N","minus"
"19","Rashard Higgins","Right Corner",16.4,62.7,"11.79","1.53","N","neutral"
"20","Jarvis Landry","Slot Corner",7.1,63.6,"11.71","1.38","N","minus"
"21","Khadarel Hodge","Left Corner",NA,NA,"-","-","N","neutral"
"22","Michael Gallup","Right Corner",8.3,37.5,"7.44","0.65","N","minus"
"23","CeeDee Lamb","Slot Corner",15.3,63.5,"9.91","1.26","N","minus"
"24","Amari Cooper","Left Corner",11,56.8,"15.28","1.85","N","plus"
"25","Jerry Jeudy","Right Corner",10.4,42.3,"10.27","1.32","N","minus"
"26","KJ Hamler","Slot Corner",13.2,45.7,"12.38","1.37","N","minus"
"27","Tim Patrick","Left Corner",11.4,61.1,"12.59","2.05","N","plus"
"28","Marvin Hall","Right Corner",13.4,47.4,"17.00","1.59","N","neutral"
"29","Danny Amendola","Slot Corner",15.3,73.5,"10.78","2.02","N","plus"
