"pos","player","tm","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"RB","Dalvin Cook","MIN",11000,32.5,54,19,33,1
"QB","Kyler Murray","ARI",9100,12.5,61,32,9,0.76
"QB","Patrick Mahomes","KAN",9000,12.5,61,31,9,0.73
"QB","Josh Allen","BUF",8600,17.5,64,35,10,0.58
"WR","Tyreek Hill","KAN",8600,12.5,53,17,16,1.28
"RB","Alvin Kamara","NOR",8600,7.5,37,7,12,1.58
"WR","DeAndre Hopkins","ARI",8500,12.5,47,11,11,0.85
"RB","Nick Chubb","CLE",8400,12.5,47,11,18,1.45
"QB","Justin Herbert","LAC",8400,7.5,52,23,7,0.91
"RB","Derrick Henry","TEN",8300,17.5,52,13,22,1.27
"WR","Keenan Allen","LAC",8200,22.5,52,14,13,0.59
"WR","Calvin Ridley","ATL",8100,17.5,50,14,13,0.73
"TE","Travis Kelce","KAN",8000,17.5,59,27,20,1.17
"RB","Josh Jacobs","LVR",8000,17.5,46,10,17,0.97
"WR","Stefon Diggs","BUF",7900,22.5,51,13,12,0.52
"QB","Tom Brady","TAM",7900,7.5,48,18,5,0.68
"QB","Cam Newton","NWE",7700,7.5,49,20,6,0.79
"WR","Michael Thomas","NOR",7700,7.5,40,8,7,0.98
"QB","Matt Ryan","ATL",7600,7.5,49,18,5,0.7
"WR","AJ Brown","TEN",7500,7.5,47,12,11,1.46
"QB","Ryan Tannehill","TEN",7500,0.5,47,18,5,10.34
"RB","James Robinson","JAX",7400,17.5,50,11,18,1.02
"QB","Ryan Fitzpatrick","MIA",7400,7.5,50,20,6,0.78
"WR","Chris Godwin","TAM",7400,7.5,39,7,6,0.85
"WR","DJ Moore","CAR",7300,7.5,45,10,9,1.19
"QB","Taysom Hill","NOR",7300,7.5,50,20,6,0.79
"RB","Mike Davis","CAR",7200,12.5,43,7,13,1
"QB","Daniel Jones","NYG",7200,7.5,50,19,6,0.74
"TE","Darren Waller","LVR",7100,22.5,53,21,16,0.7
"QB","Derek Carr","LVR",7100,7.5,56,22,7,0.87
"WR","Mike Evans","TAM",7100,7.5,41,8,7,0.98
"QB","Kirk Cousins","MIN",7100,3,46,15,4,1.49
"WR","Justin Jefferson","MIN",7000,27.5,53,13,12,0.45
"QB","Teddy Bridgewater","CAR",7000,3,47,16,5,1.59
"RB","Raheem Mostert","SFO",7000,3,32,3,5,1.69
"QB","Jared Goff","LAR",7000,0.5,49,17,5,9.89
"QB","Baker Mayfield","CLE",6900,3,47,16,5,1.54
"WR","Tyler Boyd","CIN",6900,3,38,6,6,1.93
"WR","Robert Woods","LAR",6800,7.5,49,13,12,1.57
"QB","Philip Rivers","IND",6800,0.5,48,15,4,8.89
"RB","Melvin Gordon","DEN",6800,0.5,13,0,1,1.59
"WR","Cooper Kupp","LAR",6700,12.5,50,11,10,0.84
"RB","Clyde EdwardsHelaire","KAN",6700,7.5,40,5,8,1.1
"RB","Kareem Hunt","CLE",6600,7.5,45,7,12,1.54
"QB","Nick Mullens","SFO",6600,0.5,31,7,2,3.92
"RB","Austin Ekeler","LAC",6500,7.5,40,5,8,1.02
"WR","DeVante Parker","MIA",6500,7.5,44,9,9,1.15
"WR","Antonio Brown","TAM",6500,7.5,43,8,8,1
"RB","Ronald Jones","TAM",6500,3,36,4,6,2.1
"QB","Sam Darnold","NYJ",6500,0.5,41,13,4,7.75
"WR","Robby Anderson","CAR",6400,7.5,47,9,8,1.07
"WR","Jamison Crowder","NYJ",6300,3,41,7,7,2.22
"RB","Kenyan Drake","ARI",6200,7.5,41,5,8,1.04
"TE","Rob Gronkowski","TAM",6200,7.5,32,6,5,0.65
"WR","Tee Higgins","CIN",6200,0.5,40,7,6,12.98
"QB","Mike Glennon","JAX",6200,0.5,31,7,2,3.79
"WR","Christian Kirk","ARI",6100,12.5,44,9,8,0.65
"RB","Giovani Bernard","CIN",6100,7.5,37,4,7,0.9
"WR","Mike Williams","LAC",6100,3,41,7,7,2.3
"RB","Damien Harris","NWE",6000,7.5,39,4,7,0.98
"WR","Corey Davis","TEN",6000,3,42,7,6,2.04
"TE","Jonnu Smith","TEN",6000,3,33,7,5,1.79
"WR","Deebo Samuel","SFO",6000,0.5,41,7,7,13.37
"QB","Brandon Allen","CIN",6000,0.5,40,11,3,6.43
"QB","Kendall Hinton","DEN",6000,0.5,17,2,1,1.31
"WR","Curtis Samuel","CAR",5900,12.5,45,9,8,0.67
"WR","Darius Slayton","NYG",5900,7.5,44,9,8,1.06
"TE","Hunter Henry","LAC",5900,7.5,40,9,7,0.95
"WR","Breshad Perriman","NYJ",5900,0.5,36,5,4,9
"RB","Darrell Henderson","LAR",5900,0.5,24,1,2,4.53
"WR","Jakobi Meyers","NWE",5800,3,43,7,6,2.1
"RB","Chase Edmonds","ARI",5800,3,35,3,6,1.86
"WR","Josh Reynolds","LAR",5800,0.5,32,4,4,7.1
"TE","Jared Cook","NOR",5800,0.5,21,3,2,4.19
"RB","Nyheim Hines","IND",5700,32.5,50,8,14,0.43
"RB","Wayne Gallman","NYG",5700,7.5,45,7,12,1.58
"WR","Jarvis Landry","CLE",5700,7.5,42,7,7,0.88
"WR","Michael Pittman Jr","IND",5700,3,44,8,7,2.49
"RB","Jerick McKinnon","SFO",5700,0.5,24,1,2,4.14
"TE","Noah Fant","DEN",5700,0.5,11,1,0,0.98
"WR","Jerry Jeudy","DEN",5700,0.5,13,0,0,0.72
"TE","Evan Engram","NYG",5600,7.5,38,8,6,0.84
"RB","Leonard Fournette","TAM",5600,3,32,2,4,1.35
"TE","Mike Gesicki","MIA",5600,3,33,5,4,1.39
"RB","Zack Moss","BUF",5600,0.5,39,5,8,15.44
"WR","Denzel Mims","NYJ",5600,0.5,35,4,4,8.24
"WR","Sammy Watkins","KAN",5600,0.5,29,3,3,5.7
"WR","Emmanuel Sanders","NOR",5600,0.5,25,2,2,4.19
"RB","LeVeon Bell","KAN",5600,0.5,14,0,1,1
"TE","Hayden Hurst","ATL",5500,7.5,37,7,6,0.75
"WR","Rashard Higgins","CLE",5500,3,42,7,6,2.12
"WR","Mecole Hardman","KAN",5500,3,28,3,3,0.9
"WR","Henry Ruggs","LVR",5500,3,28,3,3,0.87
"RB","Devin Singletary","BUF",5500,0.5,23,1,2,3.07
"RB","Malcolm Brown","LAR",5500,0.5,20,1,1,2.86
"RB","Cam Akers","LAR",5500,0.5,14,0,0,0.96
"RB","Sony Michel","NWE",5500,0.5,10,0,0,0.35
"WR","Tim Patrick","DEN",5500,0.5,12,0,0,0.6
"WR","Cole Beasley","BUF",5400,7.5,47,8,8,1.02
"WR","Sterling Shepard","NYG",5400,7.5,47,9,8,1.11
"WR","Damiere Byrd","NWE",5400,3,31,3,3,0.95
"TE","Trey Burton","IND",5400,3,23,3,2,0.68
"RB","James White","NWE",5400,0.5,29,2,3,5.66
"WR","TY Hilton","IND",5400,0.5,34,4,4,7.87
"RB","Jeff Wilson","SFO",5400,0.5,3,0,0,0.01
"WR","Keelan Cole","JAX",5300,3,37,5,5,1.69
"WR","Demarcus Robinson","KAN",5300,3,15,0,0,0.15
"WR","AJ Green","CIN",5300,0.5,25,2,2,3.64
"WR","NKeal Harry","NWE",5300,0.5,24,2,2,3.2
"TE","Tyler Higbee","LAR",5300,0.5,14,1,1,1.38
"RB","Phillip Lindsay","DEN",5300,0.5,6,0,0,0.09
"WR","Nelson Agholor","LVR",5200,7.5,45,9,8,1.06
"RB","Frank Gore","NYJ",5200,3,33,2,4,1.22
