"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"WR","Russell Gage","ATL","@MIN","5500","3.0%","29%","3%","3%","0.85"
"WR","Chase Claypool","PIT","CLE","5500","27.5%","53%","14%","12%","0.43"
"RB","Leonard Fournette","TB","GB","5500","3.0%","16%","0%","0%","0.15"
"WR","Golden Tate","NYG","WAS","5400","0.5%","33%","4%","4%","7.07"
"TE","Hayden Hurst","ATL","@MIN","5400","3.0%","36%","7%","5%","1.68"
"WR","Preston Williams","MIA","NYJ","5400","3.0%","37%","6%","5%","1.63"
"WR","Tim Patrick","DEN","@NE","5400","3.0%","38%","5%","5%","1.54"
"TE","Jimmy Graham","CHI","@CAR","5400","3.0%","35%","7%","5%","1.54"
"RB","D'Andre Swift","DET","@JAX","5400","3.0%","36%","4%","4%","1.24"
"WR","N'Keal Harry","NE","DEN","5400","3.0%","32%","4%","3%","1.04"
"WR","Greg Ward","PHI","BAL","5300","0.5%","33%","4%","3%","6.68"
"WR","Travis Fulgham","PHI","BAL","5300","3.0%","39%","6%","5%","1.59"
"TE","Austin Hooper","CLE","@PIT","5200","0.5%","37%","7%","5%","9.45"
"RB","James White","NE","DEN","5200","0.5%","32%","2%","2%","4.08"
"WR","A.J. Green","CIN","@IND","5200","0.5%","27%","2%","2%","3.87"
"WR","Chris Conley","JAX","DET","5200","0.5%","24%","2%","2%","3.13"
"WR","Anthony Miller","CHI","@CAR","5200","0.5%","22%","1%","1%","2.40"
"WR","Scott Miller","TB","GB","5200","0.5%","21%","1%","1%","2.16"
"RB","Jamaal Williams","GB","@TB","5200","0.5%","23%","1%","1%","2.04"
"TE","Eric Ebron","PIT","CLE","5200","7.5%","41%","9%","6%","0.79"
"WR","Curtis Samuel","CAR","CHI","5100","0.5%","35%","5%","4%","7.86"
"WR","Damiere Byrd","NE","DEN","5100","0.5%","31%","3%","3%","5.83"
"WR","Zach Pascal","IND","CIN","5100","0.5%","27%","2%","2%","3.84"
"RB","J.K. Dobbins","BAL","@PHI","5100","0.5%","27%","2%","2%","3.18"
"TE","Darren Fells","HOU","@TEN","5100","0.5%","17%","1%","1%","1.89"
"RB","Phillip Lindsay","DEN","@NE","5100","7.5%","48%","6%","6%","0.81"
"WR","Randall Cobb","HOU","@TEN","5100","3.0%","29%","3%","2%","0.76"
"RB","D'Ernest Johnson","CLE","@PIT","5100","0.5%","14%","0%","0%","0.45"
"RB","Mike Boone","MIN","ATL","5100","0.5%","11%","0%","0%","0.21"
"TE","Rob Gronkowski","TB","GB","5000","0.5%","38%","7%","5%","9.36"
"RB","Nyheim Hines","IND","CIN","5000","0.5%","33%","2%","2%","4.79"
"RB","Frank Gore","NYJ","@MIA","5000","0.5%","31%","2%","2%","4.01"
"WR","Kalif Raymond","TEN","HOU","5000","0.5%","25%","2%","2%","3.08"
"WR","Darnell Mooney","CHI","@CAR","5000","0.5%","24%","2%","1%","2.88"
"DEF","Indianapolis Colts","IND","CIN","5000","12.5%","39%","3%","18%","1.45"
"RB","J.D. McKissic","WAS","@NYG","5000","0.5%","20%","1%","1%","1.09"
"WR","Breshad Perriman","NYJ","@MIA","5000","0.5%","16%","1%","0%","0.95"
"TE","David Njoku","CLE","@PIT","5000","0.5%","9%","0%","0%","0.42"
"RB","Kerryon Johnson","DET","@JAX","5000","0.5%","13%","0%","0%","0.41"
"WR","Tyler Johnson","TB","GB","5000","0.5%","3%","0%","0%","0.01"
"TE","Jordan Akins","HOU","@TEN","4900","0.5%","38%","7%","5%","9.11"
"WR","Danny Amendola","DET","@JAX","4900","0.5%","32%","3%","2%","4.96"
"WR","Jeff Smith","NYJ","@MIA","4900","0.5%","29%","3%","2%","4.91"
"TE","Jack Doyle","IND","CIN","4900","0.5%","26%","3%","2%","4.35"
"WR","Dontrelle Inman","WAS","@NYG","4900","0.5%","27%","2%","2%","3.57"
"RB","Royce Freeman","DEN","@NE","4900","0.5%","29%","2%","2%","3.17"
"WR","Isaiah Ford","MIA","NYJ","4900","0.5%","23%","1%","1%","2.50"
"RB","Matt Breida","MIA","NYJ","4900","0.5%","24%","1%","1%","2.30"
"DEF","Baltimore Ravens","BAL","@PHI","4900","17.5%","40%","4%","18%","1.05"
"WR","John Hightower","PHI","BAL","4900","0.5%","12%","0%","0%","0.36"
"WR","Braxton Berrios","NYJ","@MIA","4900","0.5%","9%","0%","0%","0.17"
