Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2020,8,mahomp1,Patrick Mahomes,QB,KC,NYJ,17.4,13,25.1,25.1,35.9,305.2,2.4,0.3,3.5,21.9,0.3,0.0,0.0,0.0,14.6,1.4,0.0,0.1,0.0,0.0,A-Game
2020,8,wilsor1,Russell Wilson,QB,SEA,SF,16.7,8,23.0,24.9,36.3,291.2,2.1,0.5,6.6,34.6,0.2,0.0,0.0,0.0,14.0,2.3,0.0,0.2,0.0,0.0,A-Game
2020,8,wentzc1,Carson Wentz,QB,PHI,DAL,20.4,21,21.0,22.6,36.1,262.4,1.8,0.7,5.7,30.4,0.3,0.0,0.0,0.0,12.7,2.0,0.0,0.2,0.0,0.0,A-Game
2020,8,tanner1,Ryan Tannehill,QB,TEN,@CIN,20.7,24,19.8,23.5,34.5,275.6,2.0,0.7,2.9,13.1,0.2,0.0,0.0,0.0,13.3,0.8,0.0,0.2,0.0,0.0,A-Game
2020,8,rodgea1,Aaron Rodgers,QB,GB,MIN,19.2,16,19.6,22.8,34.8,265.7,2.0,0.3,3.5,14.5,0.1,0.0,0.0,0.0,12.8,0.9,0.0,0.2,0.0,0.0,A-Game
2020,8,jacksl1,Lamar Jackson,QB,BAL,PIT,16.9,11,19.5,20.0,30.8,234.0,1.7,0.6,4.9,32.0,0.3,0.0,0.0,0.0,11.3,2.1,0.0,0.2,0.0,0.0,A-Game
2020,8,bradyt1,Tom Brady,QB,TB,@NYG,19.0,15,19.4,24.3,36.4,281.7,2.1,0.5,0.6,1.8,0.1,0.0,0.0,0.0,13.6,0.1,0.0,0.2,0.0,0.0,A-Game
2020,8,herbej1,Justin Herbert,QB,LAC,@DEN,20.6,22,19.4,22.0,34.5,278.3,1.8,0.7,4.0,17.1,0.2,0.0,0.0,0.0,13.2,1.1,0.0,0.3,0.0,0.0,A-Game
2020,8,allenj3,Josh Allen,QB,BUF,NE,12.2,1,19.3,21.8,34.7,236.0,1.5,0.7,7.9,36.1,0.4,0.0,0.0,0.0,11.6,2.4,0.0,0.2,0.0,0.0,A-Game
2020,8,bridgt1,Teddy Bridgewater,QB,CAR,ATL,27.9,32,19.0,23.5,35.0,270.2,1.9,0.7,5.2,17.1,0.1,0.0,0.0,0.0,13.1,1.1,0.0,0.2,0.0,0.0,A-Game
2020,8,ryanm1,Matt Ryan,QB,ATL,@CAR,12.3,2,18.5,25.0,37.7,302.1,1.8,0.7,1.1,5.0,0.1,0.0,0.0,0.0,14.4,0.3,0.0,0.2,0.0,0.0,A-Game
2020,8,burroj1,Joe Burrow,QB,CIN,TEN,20.6,23,17.8,24.2,37.3,267.7,1.5,0.8,2.5,12.7,0.3,0.0,0.0,0.0,13.1,0.8,0.0,0.3,0.0,0.0,A-Game
2020,8,garopj1,Jimmy Garoppolo,QB,SF,@SEA,26.6,31,17.2,23.6,35.0,281.0,1.8,0.7,1.3,4.1,0.0,0.0,0.0,0.0,13.5,0.3,0.0,0.2,0.0,0.0,A-Game
2020,8,goffj1,Jared Goff,QB,LAR,@MIA,16.6,7,17.0,22.5,33.4,258.1,1.8,0.8,2.4,8.5,0.1,0.0,0.0,0.0,12.5,0.6,0.0,0.2,0.0,0.0,A-Game
2020,8,staffm1,Matthew Stafford,QB,DET,IND,14.1,5,16.8,22.7,35.3,265.2,1.6,0.6,2.6,9.7,0.1,0.0,0.0,0.0,12.8,0.6,0.0,0.3,0.0,0.0,A-Game
2020,8,carrd2,Derek Carr,QB,LV,@CLE,23.6,30,16.0,23.2,34.7,258.8,1.7,0.7,2.5,7.2,0.0,0.0,0.0,0.0,12.6,0.5,0.0,0.2,0.0,0.0,B-Game
2020,8,riverp1,Philip Rivers,QB,IND,@DET,16.8,9,15.9,23.5,35.3,274.0,1.9,1.2,0.4,1.2,0.0,0.0,0.0,0.0,13.2,0.1,0.0,0.2,0.0,0.0,B-Game
2020,8,newtoc1,Cam Newton,QB,NE,@BUF,20.1,20,15.6,17.9,29.1,193.1,1.1,1.0,8.7,37.9,0.4,0.0,0.0,0.0,9.5,2.5,0.0,0.3,0.0,0.0,B-Game
2020,8,roethb1,Ben Roethlisberger,QB,PIT,@BAL,19.6,17,15.5,22.2,33.8,252.0,1.6,0.6,1.3,3.8,0.1,0.0,0.0,0.0,12.2,0.2,0.0,0.3,0.0,0.0,B-Game
2020,8,mayfib1,Baker Mayfield,QB,CLE,LV,21.5,25,15.5,21.2,32.3,246.9,1.7,0.8,0.9,4.1,0.1,0.0,0.0,0.0,11.9,0.3,0.0,0.2,0.0,0.0,B-Game
2020,8,breesd1,Drew Brees,QB,NO,@CHI,13.6,4,15.2,22.3,33.1,239.0,1.6,0.6,0.2,0.6,0.1,0.0,0.0,0.0,11.8,0.0,0.0,0.2,0.0,0.0,B-Game
2020,8,cousik1,Kirk Cousins,QB,MIN,@GB,18.1,14,14.7,20.3,31.4,250.8,1.4,0.8,2.3,7.1,0.1,0.0,0.0,0.0,11.9,0.5,0.0,0.3,0.0,0.0,B-Game
2020,8,tagovt1,Tua Tagovailoa,QB,MIA,LAR,17.1,12,14.5,22.2,33.8,245.7,1.5,1.2,2.1,9.6,0.1,0.0,0.0,0.0,12.0,0.6,0.0,0.3,0.0,0.0,B-Game
2020,8,jonesd4,Daniel Jones,QB,NYG,TB,13.2,3,14.1,20.1,33.1,220.6,1.2,1.1,3.8,23.8,0.2,0.0,0.0,0.0,10.8,1.5,0.0,0.3,0.0,0.0,C-Game
2020,8,folesn1,Nick Foles,QB,CHI,NO,22.1,26,13.4,21.6,35.5,233.4,1.3,1.0,0.6,1.5,0.2,0.0,0.0,0.0,11.5,0.1,0.0,0.3,0.0,0.0,C-Game
