"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"QB","Lamar Jackson","BAL","@WAS","9600","12.5%","64%","36%","9%","0.70"
"RB","Ezekiel Elliott","DAL","CLE","9000","22.5%","53%","15%","15%","0.66"
"QB","Russell Wilson","SEA","@MIA","9000","12.5%","68%","38%","9%","0.74"
"RB","Alvin Kamara","NO","@DET","8800","42.5%","91%","60%","57%","1.35"
"RB","Dalvin Cook","MIN","@HOU","8700","22.5%","60%","19%","18%","0.80"
"WR","DeAndre Hopkins","ARI","@CAR","8700","7.5%","60%","21%","17%","2.32"
"QB","Josh Allen","BUF","@LV","8600","12.5%","66%","36%","9%","0.70"
"QB","Kyler Murray","ARI","@CAR","8400","12.5%","65%","35%","9%","0.68"
"RB","Nick Chubb","CLE","@DAL","8300","7.5%","46%","10%","10%","1.29"
"QB","Dak Prescott","DAL","CLE","8200","12.5%","67%","36%","9%","0.71"
"RB","Josh Jacobs","LV","BUF","8000","7.5%","50%","12%","11%","1.52"
"RB","Chris Carson","SEA","@MIA","7900","7.5%","36%","5%","5%","0.70"
"QB","Deshaun Watson","HOU","MIN","7800","12.5%","64%","33%","8%","0.64"
"QB","Drew Brees","NO","@DET","7700","7.5%","46%","15%","4%","0.48"
"WR","Tyler Lockett","SEA","@MIA","7500","22.5%","58%","18%","15%","0.65"
"RB","Jonathan Taylor","IND","@CHI","7500","7.5%","54%","13%","13%","1.67"
"QB","Jared Goff","LAR","NYG","7500","7.5%","53%","20%","5%","0.66"
"WR","Mike Evans","TB","LAC","7400","17.5%","52%","14%","12%","0.67"
"TE","Mark Andrews","BAL","@WAS","7400","12.5%","40%","13%","8%","0.68"
"QB","Joe Burrow","CIN","JAX","7400","3.0%","59%","27%","7%","2.18"
"QB","Gardner Minshew","JAX","@CIN","7400","0.5%","46%","17%","4%","8.17"
"WR","Kenny Golladay","DET","NO","7300","12.5%","43%","10%","8%","0.64"
"QB","Tom Brady","TB","LAC","7300","3.0%","46%","15%","4%","1.21"
"WR","Cooper Kupp","LAR","NYG","7200","12.5%","53%","15%","13%","1.00"
"QB","Matthew Stafford","DET","NO","7200","3.0%","49%","17%","4%","1.41"
"WR","Amari Cooper","DAL","CLE","7100","17.5%","57%","16%","13%","0.75"
"WR","Adam Thielen","MIN","@HOU","7100","7.5%","54%","15%","13%","1.69"
"QB","Ryan Fitzpatrick","MIA","SEA","7100","7.5%","50%","20%","5%","0.64"
"QB","Nick Foles","CHI","IND","7100","0.5%","34%","9%","2%","4.21"
"WR","Stefon Diggs","BUF","@LV","7000","17.5%","55%","14%","12%","0.67"
"RB","Kenyan Drake","ARI","@CAR","7000","12.5%","55%","13%","13%","1.01"
"WR","Allen Robinson","CHI","IND","7000","7.5%","56%","15%","12%","1.59"
"QB","Baker Mayfield","CLE","@DAL","7000","0.5%","47%","15%","4%","7.54"
"WR","DK Metcalf","SEA","@MIA","6900","22.5%","60%","18%","15%","0.67"
"RB","Austin Ekeler","LAC","@TB","6900","7.5%","53%","10%","9%","1.26"
"WR","Keenan Allen","LAC","@TB","6900","7.5%","47%","9%","8%","1.04"
